Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,218.24,BUY,2024,,0
2024-07-11,230.3,SELL,2024,Y,0
2024-06-26,212.25,BUY,2024,Y,0
2024-06-20,213.16,SELL,2024,Y,0
2024-06-12,208.12,BUY,2024,Y,0
2024-06-10,193.12,SELL,2024,X,3
2024-05-29,190.29,BUY,2024,Y,0
2024-05-23,190.21,SELL,2024,X,2
2024-05-02,173.03,BUY,2024,Y,0
2024-04-26,169.3,SELL,2024,X,1
2024-04-23,166.44,BUY,2024,Y,0
2024-04-16,171.13,SELL,2024,Y,0
2024-04-03,169.65,BUY,2024,Y,0
2024-03-26,169.71,SHORT,2024,Y,0
2024-03-12,173.23,BUY,2024,X,2
2024-02-26,181.58,SHORT,2024,Y,0
2024-02-21,182.32,BUY,2024,X,1
2024-02-08,188.7,SELL,2024,Y,0
2024-02-01,186.39,BUY,2024,Y,0
2024-01-25,194.17,SHORT,2024,Y,0
2024-01-08,185.56,BUY,2024,Y,0
2023-12-18,195.89,SELL,2023,Y,0
2023-12-01,191.24,BUY,2023,Y,0
2023-11-24,189.97,SELL,2023,X,1
2023-10-30,169.63,BUY,2023,Y,0
2023-10-26,169.75,SHORT,2023,Y,0
2023-10-24,173.44,BUY,2023,X,1
2023-10-19,175.46,SELL,2023,Y,0
2023-10-05,174.42,BUY,2023,Y,0
2023-09-21,173.93,SHORT,2023,X,1
2023-09-18,177.11,BUY,2023,X,1
2023-09-06,187.07,SELL,2023,Y,0
2023-08-23,179.16,BUY,2023,Y,0
2023-08-02,192.58,SHORT,2023,Y,0
2023-07-25,193.62,BUY,2023,X,2
2023-07-21,192.43,SELL,2023,X,8
2023-07-17,192.59,BUY,2023,X,1
2023-07-05,191.33,SELL,2023,X,7
2023-06-27,187.66,BUY,2023,Y,0
2023-06-21,184.23,SELL,2023,X,6
2023-06-08,180.57,BUY,2023,Y,0
2023-06-05,179.87,SELL,2023,X,5
2023-06-01,178.34,BUY,2023,Y,0
2023-05-23,172.5,SELL,2023,X,4
2023-05-08,173.11,BUY,2023,X,4
2023-05-02,168.54,SELL,2023,X,3
2023-04-28,169.1,BUY,2023,X,3
2023-04-21,165.02,SELL,2023,X,2
2023-04-14,165.21,BUY,2023,X,2
2023-04-12,160.22,SHORT,2023,X,1
2023-03-31,163.02,BUY,2023,X,1
2023-03-28,157.65,SELL,2023,X,1
2023-03-14,151.82,BUY,2023,Y,0
2023-03-07,151.86,SELL,2023,Y,0
2023-02-27,147.92,BUY,2023,Y,0
2023-02-21,149.66,SHORT,2023,Y,0
2023-02-13,151.55,BUY,2023,X,1
2023-02-09,151.38,SELL,2023,X,1
2023-01-06,129.62,BUY,2023,Y,0
2023-01-05,125.42,SHORT,2023,X,1
2022-12-30,129.93,BUY,2022,X,5
2022-12-27,130.92,SHORT,2022,Y,0
2022-12-21,133.45,BUY,2022,X,4
2022-12-06,146.11,SELL,2022,Y,0
2022-12-01,148.31,BUY,2022,X,3
2022-11-28,144.62,SELL,2022,X,1
2022-11-11,147.39,BUY,2022,X,2
2022-11-02,148.42,SELL,2022,Y,0
2022-10-31,153.34,BUY,2022,X,1
2022-10-27,147.54,SELL,2022,X,1
2022-10-13,141.81,BUY,2022,Y,0
2022-10-07,142.03,SHORT,2022,Y,0
2022-10-03,140.23,BUY,2022,Y,0
2022-09-23,150.65,SHORT,2022,Y,0
2022-09-20,155.02,BUY,2022,X,3
2022-09-15,153.29,SHORT,2022,X,1
2022-09-09,156.5,BUY,2022,X,2
2022-08-30,161.56,SHORT,2022,Y,0
2022-08-24,167.53,BUY,2022,X,1
2022-08-19,172.42,SELL,2022,Y,0
2022-08-05,164.21,BUY,2022,Y,0
