Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,250.37,BUY,2024,,0
2024-07-18,247.4,SELL,2024,X,1
2024-07-11,235.45,BUY,2024,Y,0
2024-06-27,237.3,SELL,2024,Y,0
2024-06-20,245.73,BUY,2024,X,1
2024-06-11,246.58,SHORT,2024,Y,0
2024-05-31,242.28,BUY,2024,Y,0
2024-05-24,250.69,SELL,2024,Y,0
2024-05-16,248.07,BUY,2024,Y,0
2024-05-14,246.39,SELL,2024,X,2
2024-05-07,244.87,BUY,2024,Y,0
2024-04-26,243.07,SHORT,2024,X,1
2024-04-22,245.87,BUY,2024,X,2
2024-04-11,245.01,SELL,2024,X,1
2024-04-08,245.62,BUY,2024,X,1
2024-03-25,246.64,SHORT,2024,Y,0
2024-03-20,245.78,BUY,2024,Y,0
2024-02-26,254.75,SELL,2024,Y,0
2024-01-29,237.68,BUY,2024,Y,0
2024-01-24,239.12,SELL,2024,Y,0
2023-12-26,232.54,BUY,2023,Y,0
2023-12-15,235.14,SELL,2023,Y,0
2023-12-11,232.05,BUY,2023,Y,0
2023-12-07,230.76,SELL,2023,X,1
2023-12-01,232.44,BUY,2023,X,1
2023-11-17,229.39,SHORT,2023,X,4
2023-10-31,217.36,BUY,2023,Y,0
2023-10-12,247.65,SELL,2023,Y,0
2023-10-06,244.78,BUY,2023,Y,0
2023-10-02,239.81,SHORT,2023,X,3
2023-09-28,243.31,BUY,2023,X,3
2023-09-07,250.12,SELL,2023,Y,0
2023-08-29,254.35,BUY,2023,X,2
2023-08-22,249.53,SHORT,2023,X,2
2023-08-09,249.6,BUY,2023,X,1
2023-08-04,246.87,SELL,2023,X,3
2023-07-11,225.55,BUY,2023,Y,0
2023-06-23,217.75,SELL,2023,X,2
2023-06-02,213.38,BUY,2023,Y,0
2023-05-25,211.13,SELL,2023,X,1
2023-05-15,213.42,BUY,2023,X,6
2023-05-03,215.98,SELL,2023,Y,0
2023-05-01,219.93,BUY,2023,X,5
2023-04-25,213.54,SHORT,2023,X,1
2023-04-06,214.41,BUY,2023,X,4
2023-04-04,215.47,SHORT,2023,Y,0
2023-03-21,217.21,BUY,2023,X,3
2023-02-21,225.39,SELL,2023,Y,0
2023-02-13,227.36,BUY,2023,X,2
2023-02-09,223.91,SHORT,2023,X,1
2023-01-31,224.43,BUY,2023,X,1
2023-01-17,242.74,SELL,2023,Y,0
2023-01-06,239.96,BUY,2023,Y,0
2022-12-19,245.06,SHORT,2022,Y,0
2022-12-12,260.86,BUY,2022,X,1
2022-12-06,263.45,SELL,2022,Y,0
2022-11-08,241.69,BUY,2022,Y,0
2022-10-27,234.97,SELL,2022,X,1
2022-10-13,229.9,BUY,2022,Y,0
2022-10-07,231.22,SHORT,2022,Y,0
2022-10-03,232.25,BUY,2022,X,2
2022-09-21,232.54,SHORT,2022,Y,0
2022-09-19,234.37,BUY,2022,X,1
2022-09-14,235.27,SHORT,2022,Y,0
2022-09-07,239.18,BUY,2022,Y,0
