Date,Price,Signal,Year,Strike,StrikeCount
2025-02-18,10.2,BUY,2025,,0
2025-02-11,10.4,SHORT,2025,Y,0
2025-02-06,10.7,BUY,2025,X,3
2025-01-31,11.03,SHORT,2025,Y,0
2025-01-24,11.6,BUY,2025,X,2
2025-01-21,11.77,SHORT,2025,Y,0
2025-01-14,11.85,BUY,2025,X,1
2025-01-07,12.96,SHORT,2025,Y,0
2024-12-31,12.85,BUY,2024,Y,0
2024-12-26,12.91,SHORT,2024,Y,0
2024-12-20,13.0,BUY,2024,X,6
2024-12-19,12.44,SHORT,2024,X,1
2024-11-29,13.04,BUY,2024,X,5
2024-11-21,13.25,SHORT,2024,Y,0
2024-11-14,13.77,BUY,2024,X,4
2024-11-07,14.1,SHORT,2024,Y,0
2024-11-05,15.46,BUY,2024,X,3
2024-10-21,17.23,SHORT,2024,Y,0
2024-10-16,17.66,BUY,2024,X,2
2024-10-04,19.0,SHORT,2024,Y,0
2024-09-23,19.31,BUY,2024,X,1
2024-09-19,19.14,SELL,2024,X,1
2024-09-11,16.85,BUY,2024,Y,0
2024-08-27,17.73,SELL,2024,Y,0
2024-08-08,16.59,BUY,2024,Y,0
2024-07-25,17.24,SHORT,2024,Y,0
2024-07-22,17.47,BUY,2024,X,5
2024-07-15,17.63,SELL,2024,Y,0
2024-07-12,18.85,BUY,2024,X,4
2024-07-09,17.68,SHORT,2024,X,2
2024-07-03,17.79,BUY,2024,X,3
2024-07-01,17.76,SHORT,2024,X,1
2024-06-27,18.99,BUY,2024,X,2
2024-06-07,19.93,SHORT,2024,Y,0
2024-05-28,21.13,BUY,2024,X,1
2024-05-23,20.84,SELL,2024,X,1
2024-04-19,16.3,BUY,2024,Y,0
2024-04-12,17.61,SELL,2024,Y,0
2024-04-05,18.08,BUY,2024,X,1
2024-04-02,17.87,SELL,2024,X,1
2024-03-21,15.61,BUY,2024,Y,0
2024-03-12,16.03,SELL,2024,Y,0
2024-03-04,15.54,BUY,2024,Y,0
2024-02-20,16.5,SELL,2024,Y,0
2024-02-12,16.59,BUY,2024,X,1
2024-01-30,17.08,SHORT,2024,Y,0
2024-01-25,16.96,BUY,2024,Y,0
2024-01-11,18.64,SELL,2024,Y,0
2024-01-08,18.92,BUY,2024,X,1
2024-01-03,19.03,SHORT,2024,Y,0
2023-11-28,17.01,BUY,2023,Y,0
2023-11-21,16.84,SELL,2023,X,1
2023-11-14,16.23,BUY,2023,Y,0
2023-11-07,16.27,SELL,2023,Y,0
2023-11-03,16.06,BUY,2023,Y,0
2023-11-01,14.85,SELL,2023,X,1
2023-10-16,13.31,BUY,2023,Y,0
2023-09-18,17.14,SHORT,2023,Y,0
2023-09-14,17.35,BUY,2023,X,3
2023-09-01,17.89,SHORT,2023,Y,0
2023-08-29,18.13,BUY,2023,X,2
2023-07-24,21.74,SELL,2023,Y,0
2023-07-19,21.89,BUY,2023,X,1
2023-07-17,21.38,SELL,2023,X,2
2023-07-05,21.1,BUY,2023,Y,0
2023-06-28,20.7,SELL,2023,X,1
2023-06-13,20.37,BUY,2023,Y,0
2023-06-09,20.33,SHORT,2023,X,1
2023-06-02,20.19,BUY,2023,Y,0
2023-05-15,21.99,SHORT,2023,Y,0
2023-05-05,22.67,BUY,2023,X,3
2023-05-02,23.04,SHORT,2023,Y,0
2023-04-28,23.66,BUY,2023,X,2
2023-04-26,23.54,SHORT,2023,X,2
2023-04-24,24.16,BUY,2023,X,1
2023-04-14,25.2,SELL,2023,Y,0
2023-03-27,22.6,BUY,2023,Y,0
2023-03-23,22.11,SHORT,2023,X,1
2023-03-21,22.97,BUY,2023,X,1
