Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,174.54,SELL,2024,,0
2024-07-30,174.04,BUY,2024,Y,0
2024-07-25,169.59,SELL,2024,X,1
2024-07-23,170.26,BUY,2024,X,1
2024-07-19,171.19,SELL,2024,Y,0
2024-07-09,161.61,BUY,2024,Y,0
2024-06-25,168.16,SHORT,2024,Y,0
2024-06-18,168.37,BUY,2024,X,1
2024-06-11,171.08,SELL,2024,Y,0
2024-05-29,169.05,BUY,2024,Y,0
2024-05-20,174.86,SELL,2024,Y,0
2024-05-14,177.05,BUY,2024,X,1
2024-05-08,177.97,SELL,2024,Y,0
2024-04-29,173.87,BUY,2024,Y,0
2024-04-25,173.64,SHORT,2024,X,7
2024-04-19,172.47,BUY,2024,Y,0
2024-04-03,185.76,SELL,2024,Y,0
2024-03-20,180.23,BUY,2024,Y,0
2024-03-04,178.87,SELL,2024,X,1
2024-02-15,172.51,BUY,2024,Y,0
2024-02-12,173.97,SELL,2024,Y,0
2024-02-06,168.89,BUY,2024,Y,0
2024-02-02,167.37,SELL,2024,X,1
2024-01-18,166.58,BUY,2024,Y,0
2024-01-16,164.49,SHORT,2024,X,6
2024-01-11,164.3,BUY,2024,Y,0
2024-01-04,169.41,SELL,2024,Y,0
2024-01-02,169.07,BUY,2024,Y,0
2023-12-14,168.61,SHORT,2023,X,5
2023-12-12,169.53,BUY,2023,X,1
2023-12-07,169.01,SELL,2023,X,1
2023-11-09,160.68,BUY,2023,Y,0
2023-11-06,162.05,SELL,2023,Y,0
2023-10-31,147.64,BUY,2023,Y,0
2023-10-19,151.15,SELL,2023,Y,0
2023-10-04,144.46,BUY,2023,Y,0
2023-09-27,145.76,SELL,2023,Y,0
2023-09-19,140.73,BUY,2023,Y,0
2023-09-15,138.65,SELL,2023,X,2
2023-09-12,141.04,BUY,2023,X,3
2023-08-28,138.46,SHORT,2023,X,4
2023-08-24,140.38,BUY,2023,X,2
2023-08-22,140.23,SHORT,2023,X,3
2023-08-11,142.2,BUY,2023,X,1
2023-08-09,140.89,SELL,2023,X,1
2023-07-19,126.91,BUY,2023,Y,0
2023-07-17,124.65,SHORT,2023,X,2
2023-07-11,126.53,BUY,2023,X,2
2023-06-23,128.04,SELL,2023,Y,0
2023-06-13,128.91,BUY,2023,X,1
2023-06-09,125.52,SHORT,2023,X,1
2023-06-02,122.27,BUY,2023,Y,0
2023-05-24,128.49,SELL,2023,Y,0
2023-05-11,128.79,BUY,2023,X,1
2023-05-02,121.3,SELL,2023,X,4
2023-04-27,119.31,BUY,2023,Y,0
2023-04-12,119.06,SELL,2023,X,3
2023-03-21,116.44,BUY,2023,Y,0
2023-02-23,129.77,SHORT,2023,Y,0
2023-02-16,132.4,BUY,2023,X,1
2023-02-14,131.44,SELL,2023,X,2
2023-01-23,129.43,BUY,2023,Y,0
2023-01-19,126.19,SELL,2023,X,1
2023-01-13,127.11,BUY,2023,X,1
2023-01-09,125.72,SHORT,2023,X,2
2022-12-23,123.95,BUY,2022,Y,0
2022-12-14,129.39,SELL,2022,Y,0
2022-11-30,126.82,BUY,2022,Y,0
2022-11-28,125.22,SELL,2022,X,1
2022-11-21,126.19,BUY,2022,X,1
2022-11-15,124.62,SHORT,2022,X,1
2022-11-08,121.67,BUY,2022,Y,0
2022-11-02,132.63,SHORT,2022,Y,0
2022-10-31,135.15,BUY,2022,X,2
2022-10-27,136.09,SELL,2022,Y,0
2022-10-24,148.82,BUY,2022,X,1
2022-10-19,152.36,SELL,2022,Y,0
2022-10-17,150.07,BUY,2022,Y,0
2022-10-14,147.49,SHORT,2022,X,1
2022-10-11,150.08,BUY,2022,X,5
2022-10-06,150.99,SHORT,2022,Y,0
2022-10-04,151.02,BUY,2022,X,4
2022-09-14,157.87,SHORT,2022,Y,0
2022-09-08,162.72,BUY,2022,X,3
2022-09-06,158.66,SELL,2022,X,2
2022-09-01,160.0,BUY,2022,X,2
2022-08-30,160.35,SHORT,2022,Y,0
2022-08-25,165.14,BUY,2022,X,1
2022-08-22,164.84,SELL,2022,X,1
2022-08-11,163.44,BUY,2022,Y,0
