Date,Price,Signal,Year,Strike,StrikeCount
2024-07-24,274.32,BUY,2024,,0
2024-07-16,269.63,SELL,2024,X,4
2024-07-02,260.92,BUY,2024,Y,0
2024-06-25,259.97,SELL,2024,X,3
2024-06-10,254.31,BUY,2024,Y,0
2024-06-06,252.32,SELL,2024,X,2
2024-05-31,252.65,BUY,2024,X,1
2024-05-28,248.73,SELL,2024,X,1
2024-05-03,238.72,BUY,2024,Y,0
2024-04-29,233.55,SHORT,2024,X,1
2024-04-18,233.99,BUY,2024,X,2
2024-04-11,238.17,SHORT,2024,Y,0
2024-04-08,244.16,BUY,2024,X,1
2024-03-14,254.91,SELL,2024,Y,0
2024-03-06,246.1,BUY,2024,Y,0
2024-02-26,244.09,SELL,2024,X,1
2024-01-31,232.16,BUY,2024,Y,0
2024-01-26,233.03,SHORT,2024,Y,0
2023-12-27,223.01,BUY,2023,Y,0
2023-11-28,250.63,SELL,2023,Y,0
2023-11-20,246.26,BUY,2023,Y,0
2023-11-14,246.73,SELL,2023,Y,0
2023-10-31,235.11,BUY,2023,Y,0
2023-10-26,230.4,SHORT,2023,X,4
2023-10-24,229.98,BUY,2023,Y,0
2023-10-18,235.01,SELL,2023,Y,0
2023-10-04,226.65,BUY,2023,Y,0
2023-09-21,233.68,SELL,2023,Y,0
2023-09-12,230.24,BUY,2023,Y,0
2023-08-31,230.48,SELL,2023,Y,0
2023-08-28,228.01,BUY,2023,Y,0
2023-08-17,223.18,SHORT,2023,X,3
2023-08-11,224.36,BUY,2023,X,1
2023-08-08,220.53,SELL,2023,X,6
2023-08-02,219.03,BUY,2023,Y,0
2023-07-31,214.8,SELL,2023,X,5
2023-07-24,219.64,BUY,2023,X,2
2023-07-19,212.72,SHORT,2023,X,2
2023-07-17,214.99,BUY,2023,X,1
2023-07-07,214.64,SELL,2023,X,4
2023-06-29,212.79,BUY,2023,Y,0
2023-06-20,212.5,SELL,2023,X,3
2023-06-09,205.46,BUY,2023,Y,0
2023-06-07,204.65,SHORT,2023,X,1
2023-06-02,203.1,BUY,2023,Y,0
2023-05-24,205.08,SHORT,2023,Y,0
2023-05-19,216.07,BUY,2023,X,1
2023-05-17,215.92,SELL,2023,X,2
2023-05-05,211.63,BUY,2023,Y,0
2023-05-03,209.13,SELL,2023,X,1
2023-03-16,183.6,BUY,2023,Y,0
2023-02-09,194.85,SELL,2023,Y,0
2023-02-07,195.13,BUY,2023,X,1
2023-02-02,194.89,SELL,2023,X,1
2023-01-10,192.68,BUY,2023,Y,0
2023-01-05,187.47,SHORT,2023,X,2
2023-01-04,189.74,BUY,2023,X,3
2022-12-28,187.95,SHORT,2022,X,1
2022-12-21,188.55,BUY,2022,X,2
2022-12-05,196.83,SELL,2022,Y,0
2022-12-02,199.13,BUY,2022,X,1
2022-11-28,196.68,SELL,2022,X,3
2022-11-22,196.53,BUY,2022,Y,0
2022-11-09,191.54,SELL,2022,X,2
2022-11-07,189.48,BUY,2022,Y,0
2022-11-02,186.24,SELL,2022,X,1
2022-10-13,177.09,BUY,2022,Y,0
2022-10-07,177.63,SHORT,2022,Y,0
2022-09-28,170.8,BUY,2022,Y,0
2022-09-15,184.86,SHORT,2022,Y,0
2022-09-07,182.13,BUY,2022,Y,0
2022-08-29,185.61,SHORT,2022,Y,0
2022-08-25,188.55,BUY,2022,X,1
2022-08-19,190.7,SELL,2022,Y,0
2022-08-05,177.76,BUY,2022,Y,0
