Date,Price,Signal,Year,Strike,StrikeCount
2024-07-22,93.57,BUY,2024,,0
2024-07-18,94.13,SHORT,2024,Y,0
2024-07-16,97.38,BUY,2024,X,5
2024-07-09,96.35,SHORT,2024,X,2
2024-07-03,98.59,BUY,2024,X,4
2024-06-28,95.79,SHORT,2024,X,1
2024-06-24,96.23,BUY,2024,X,3
2024-05-31,122.82,SHORT,2024,Y,0
2024-05-24,127.1,BUY,2024,X,2
2024-05-15,128.94,SELL,2024,Y,0
2024-05-06,130.78,BUY,2024,X,1
2024-05-01,119.71,SHORT,2024,X,2
2024-04-26,116.58,BUY,2024,Y,0
2024-04-02,126.48,SELL,2024,Y,0
2024-03-27,120.24,BUY,2024,Y,0
2024-03-25,119.94,SHORT,2024,X,1
2024-03-07,120.19,BUY,2024,X,1
2024-03-04,139.44,SELL,2024,Y,0
2024-02-07,114.69,BUY,2024,Y,0
2024-01-31,118.65,SHORT,2024,Y,0
2024-01-29,120.83,BUY,2024,X,1
2023-12-29,148.29,SELL,2023,Y,0
2023-12-22,146.66,BUY,2023,Y,0
2023-12-18,145.91,SELL,2023,X,2
2023-12-11,126.54,BUY,2023,Y,0
2023-12-05,115.62,SELL,2023,X,1
2023-12-01,124.51,BUY,2023,X,2
2023-11-27,124.76,SELL,2023,Y,0
2023-11-20,128.2,BUY,2023,X,1
2023-11-16,124.16,SELL,2023,X,1
2023-11-14,119.32,BUY,2023,Y,0
2023-11-08,119.01,SHORT,2023,X,2
2023-11-03,127.98,BUY,2023,X,2
2023-11-01,125.15,SHORT,2023,X,1
2023-10-24,137.68,BUY,2023,X,1
2023-10-18,162.54,SELL,2023,Y,0
2023-10-06,159.17,BUY,2023,Y,0
2023-09-08,186.12,SHORT,2023,Y,0
2023-08-21,186.89,BUY,2023,X,2
2023-08-02,204.46,SHORT,2023,Y,0
2023-07-31,209.47,BUY,2023,X,1
2023-07-14,240.3,SELL,2023,Y,0
2023-06-27,226.33,BUY,2023,Y,0
2023-06-22,227.64,SELL,2023,Y,0
2023-06-07,214.96,BUY,2023,Y,0
2023-05-25,210.21,SELL,2023,X,1
2023-05-05,179.7,BUY,2023,Y,0
2023-05-01,183.03,SHORT,2023,Y,0
2023-04-27,182.73,BUY,2023,Y,0
2023-04-25,179.05,SHORT,2023,X,1
2023-04-10,195.88,BUY,2023,X,3
2023-03-31,221.36,SHORT,2023,Y,0
2023-03-29,224.06,BUY,2023,X,2
2023-03-23,215.64,SHORT,2023,X,1
2023-03-21,219.61,BUY,2023,X,1
2023-03-01,253.09,SHORT,2023,Y,0
2023-02-23,251.18,BUY,2023,Y,0
2023-02-21,255.24,SHORT,2023,Y,0
2023-02-16,282.89,BUY,2023,X,1
2023-02-03,287.23,SELL,2023,Y,0
2023-01-23,250.68,BUY,2023,Y,0
2023-01-19,241.03,SELL,2023,X,1
2023-01-11,229.37,BUY,2023,Y,0
2022-12-06,266.13,SHORT,2022,Y,0
2022-12-02,281.85,BUY,2022,X,2
2022-11-28,266.11,SHORT,2022,X,1
2022-11-21,281.86,BUY,2022,X,1
2022-11-15,299.18,SELL,2022,Y,0
2022-10-19,251.19,BUY,2022,Y,0
2022-10-12,270.72,SHORT,2022,Y,0
2022-10-06,275.69,BUY,2022,X,1
2022-09-15,295.53,SELL,2022,Y,0
2022-09-07,266.31,BUY,2022,Y,0
2022-08-26,291.76,SELL,2022,Y,0
2022-08-23,278.87,BUY,2022,Y,0
2022-08-19,274.62,SELL,2022,X,1
2022-08-10,251.12,BUY,2022,X,1
