Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,228.99,SHORT,2024,,0
2024-07-30,225.27,BUY,2024,Y,0
2024-07-26,225.06,SHORT,2024,X,2
2024-07-17,249.0,BUY,2024,X,5
2024-07-12,244.34,SELL,2024,X,3
2024-07-09,247.48,BUY,2024,X,4
2024-07-01,240.01,SHORT,2024,X,1
2024-06-26,243.61,BUY,2024,X,3
2024-06-17,249.92,SHORT,2024,Y,0
2024-06-06,257.46,BUY,2024,X,2
2024-05-16,276.3,SHORT,2024,Y,0
2024-05-14,277.81,BUY,2024,X,1
2024-04-26,309.02,SHORT,2024,Y,0
2024-04-23,304.31,BUY,2024,Y,0
2024-04-11,324.9,SHORT,2024,Y,0
2024-03-27,326.98,BUY,2024,X,1
2024-03-18,316.14,SELL,2024,X,2
2024-03-04,307.39,BUY,2024,Y,0
2024-02-28,302.81,SELL,2024,X,1
2024-01-29,264.7,BUY,2024,Y,0
2024-01-24,264.86,SHORT,2024,Y,0
2024-01-22,270.57,BUY,2024,X,1
2024-01-12,271.8,SELL,2024,Y,0
2024-01-05,262.91,BUY,2024,Y,0
2024-01-03,260.49,SELL,2024,X,3
2023-12-13,222.52,BUY,2023,Y,0
2023-12-05,215.58,SELL,2023,X,2
2023-12-01,217.35,BUY,2023,X,1
2023-11-28,214.14,SELL,2023,X,1
2023-11-20,207.87,BUY,2023,Y,0
2023-11-16,203.12,SHORT,2023,X,2
2023-11-14,200.93,BUY,2023,Y,0
2023-11-07,197.52,SHORT,2023,X,1
2023-11-02,190.04,BUY,2023,Y,0
2023-10-04,291.7,SHORT,2023,Y,0
2023-09-26,299.01,BUY,2023,X,1
2023-09-05,368.63,SELL,2023,Y,0
2023-08-14,354.97,BUY,2023,Y,0
2023-08-07,361.25,SELL,2023,Y,0
2023-08-01,376.62,BUY,2023,X,3
2023-07-25,333.1,SELL,2023,X,1
2023-07-21,337.37,BUY,2023,X,2
2023-07-19,352.87,SELL,2023,Y,0
2023-07-13,361.1,BUY,2023,X,1
2023-07-05,337.68,SELL,2023,X,3
2023-06-27,335.25,BUY,2023,Y,0
2023-06-23,328.83,SELL,2023,X,2
2023-06-12,308.56,BUY,2023,Y,0
2023-06-07,301.78,SELL,2023,X,1
2023-06-01,287.06,BUY,2023,Y,0
2023-05-24,281.23,SHORT,2023,X,3
2023-05-22,299.01,BUY,2023,X,3
2023-04-27,319.85,SELL,2023,Y,0
2023-04-10,325.06,BUY,2023,X,2
2023-04-05,322.5,SHORT,2023,X,2
2023-03-31,329.49,BUY,2023,X,1
2023-03-07,334.78,SELL,2023,Y,0
2023-02-23,305.46,BUY,2023,Y,0
2023-02-17,320.22,SELL,2023,Y,0
2023-02-14,327.19,BUY,2023,X,1
2023-02-06,342.46,SELL,2023,Y,0
2023-01-23,247.55,BUY,2023,Y,0
2023-01-19,240.62,SELL,2023,X,2
2022-12-30,209.35,BUY,2022,Y,0
2022-12-28,201.58,SELL,2022,X,1
2022-12-12,192.06,BUY,2022,Y,0
2022-11-16,207.14,SELL,2022,Y,0
2022-11-10,189.64,BUY,2022,Y,0
2022-11-03,175.83,SHORT,2022,X,1
2022-10-31,191.11,BUY,2022,X,2
2022-10-27,187.59,SELL,2022,X,1
2022-10-24,209.19,BUY,2022,X,1
2022-10-06,224.45,SHORT,2022,Y,0
2022-10-04,222.94,BUY,2022,Y,0
2022-09-14,246.74,SHORT,2022,Y,0
2022-09-08,251.41,BUY,2022,X,3
2022-08-29,248.52,SHORT,2022,X,1
2022-08-25,267.17,BUY,2022,X,2
2022-08-19,275.91,SHORT,2022,Y,0
2022-08-12,289.0,BUY,2022,X,1
