Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,319.34,SHORT,2024,,0
2024-07-31,339.52,BUY,2024,X,2
2024-07-25,325.4,SHORT,2024,X,2
2024-07-23,343.92,BUY,2024,X,1
2024-07-09,365.75,SELL,2024,Y,0
2024-06-11,299.78,BUY,2024,Y,0
2024-05-17,319.89,SELL,2024,Y,0
2024-05-03,273.17,BUY,2024,Y,0
2024-04-29,263.67,SHORT,2024,X,1
2024-04-25,259.7,BUY,2024,Y,0
2024-03-27,294.79,SHORT,2024,Y,0
2024-03-14,283.23,BUY,2024,Y,0
2024-03-05,282.63,SELL,2024,X,2
2024-02-22,268.76,BUY,2024,Y,0
2024-02-14,268.71,SHORT,2024,X,5
2024-02-07,267.05,BUY,2024,Y,0
2024-01-31,260.71,SELL,2024,X,1
2024-01-04,230.56,BUY,2024,Y,0
2023-12-19,236.7,SELL,2023,Y,0
2023-12-08,217.48,BUY,2023,Y,0
2023-12-06,213.4,SHORT,2023,X,4
2023-11-14,214.83,BUY,2023,X,1
2023-11-10,207.6,SELL,2023,X,2
2023-10-31,195.16,BUY,2023,Y,0
2023-10-11,191.86,SELL,2023,X,1
2023-09-25,181.18,BUY,2023,Y,0
2023-09-12,189.69,SELL,2023,Y,0
2023-08-29,183.7,BUY,2023,Y,0
2023-08-24,179.58,SELL,2023,X,3
2023-08-15,178.99,BUY,2023,Y,0
2023-08-10,176.59,SELL,2023,X,2
2023-08-01,178.26,BUY,2023,X,2
2023-07-26,170.56,SHORT,2023,X,3
2023-07-18,171.26,BUY,2023,X,1
2023-07-14,166.08,SELL,2023,X,1
2023-06-27,153.04,BUY,2023,Y,0
2023-06-20,156.53,SELL,2023,Y,0
2023-06-12,164.24,BUY,2023,X,1
2023-05-31,169.16,SELL,2023,Y,0
2023-05-19,143.5,BUY,2023,Y,0
2023-05-12,138.63,SHORT,2023,X,2
2023-05-05,136.05,BUY,2023,Y,0
2023-05-03,134.44,SHORT,2023,X,1
2023-04-28,157.53,BUY,2023,X,2
2023-04-17,163.42,SHORT,2023,Y,0
2023-04-13,163.43,BUY,2023,X,1
2023-03-27,167.96,SELL,2023,Y,0
2023-03-15,152.82,BUY,2023,Y,0
2023-03-10,147.7,SELL,2023,X,3
2023-03-06,142.58,BUY,2023,Y,0
2023-02-17,139.68,SELL,2023,X,2
2023-02-14,136.66,BUY,2023,Y,0
2023-02-10,134.78,SELL,2023,X,1
2023-01-23,116.19,BUY,2023,Y,0
2023-01-19,113.99,SHORT,2023,X,1
2023-01-09,114.32,BUY,2023,X,3
2022-12-23,119.77,SHORT,2022,Y,0
2022-12-21,123.09,BUY,2022,X,2
2022-12-19,123.65,SHORT,2022,Y,0
2022-12-12,128.75,BUY,2022,X,1
2022-12-02,135.82,SELL,2022,Y,0
2022-11-30,135.2,BUY,2022,Y,0
2022-11-28,134.74,SELL,2022,X,2
2022-10-28,120.01,BUY,2022,Y,0
2022-10-26,109.92,SELL,2022,X,1
2022-10-19,105.11,BUY,2022,Y,0
2022-10-11,107.96,SHORT,2022,Y,0
2022-10-04,119.55,BUY,2022,X,2
2022-09-30,113.55,SHORT,2022,X,1
2022-09-28,116.69,BUY,2022,X,1
2022-09-13,121.41,SHORT,2022,Y,0
2022-09-07,118.49,BUY,2022,Y,0
2022-08-22,127.14,SELL,2022,Y,0
2022-08-15,127.46,BUY,2022,Y,0
