Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,306.68,SHORT,2024,,0
2024-07-31,313.53,BUY,2024,X,3
2024-07-25,311.31,SHORT,2024,X,4
2024-07-23,319.97,BUY,2024,X,2
2024-07-18,319.67,SELL,2024,X,3
2024-07-16,330.37,BUY,2024,X,1
2024-07-09,327.35,SELL,2024,X,2
2024-07-02,324.65,BUY,2024,Y,0
2024-06-14,323.64,SELL,2024,X,1
2024-06-05,318.97,BUY,2024,Y,0
2024-05-29,323.77,SELL,2024,Y,0
2024-05-24,330.24,BUY,2024,X,1
2024-05-14,326.82,SELL,2024,X,1
2024-05-06,321.59,BUY,2024,Y,0
2024-04-04,341.39,SELL,2024,Y,0
2024-03-18,334.42,BUY,2024,Y,0
2024-03-11,333.7,SHORT,2024,X,3
2024-03-07,339.37,BUY,2024,X,1
2024-03-05,335.82,SHORT,2024,X,2
2024-02-20,331.39,BUY,2024,Y,0
2024-02-12,339.98,SELL,2024,Y,0
2024-02-02,335.25,BUY,2024,Y,0
2024-01-16,332.46,SHORT,2024,X,1
2024-01-08,348.23,BUY,2024,X,1
2024-01-02,357.28,SELL,2024,Y,0
2023-12-07,285.39,BUY,2023,Y,0
2023-12-04,287.54,SELL,2023,Y,0
2023-11-29,298.86,BUY,2023,X,1
2023-11-22,298.52,SELL,2023,X,1
2023-10-30,275.14,BUY,2023,Y,0
2023-10-19,289.91,SHORT,2023,Y,0
2023-10-17,297.69,BUY,2023,X,1
2023-10-12,302.8,SELL,2023,Y,0
2023-10-06,292.03,BUY,2023,Y,0
2023-09-19,309.25,SELL,2023,Y,0
2023-09-14,313.91,BUY,2023,X,1
2023-09-05,317.46,SELL,2023,Y,0
2023-08-25,304.09,BUY,2023,Y,0
2023-08-17,295.26,SHORT,2023,X,1
2023-08-11,300.71,BUY,2023,X,3
2023-08-03,309.66,SHORT,2023,Y,0
2023-07-31,340.13,BUY,2023,X,2
2023-07-27,338.18,SHORT,2023,X,1
2023-07-25,344.17,BUY,2023,X,1
2023-07-20,342.43,SELL,2023,X,1
2023-06-28,324.31,BUY,2023,Y,0
2023-06-21,328.83,SELL,2023,Y,0
2023-06-02,325.0,BUY,2023,Y,0
2023-05-31,325.43,SELL,2023,Y,0
2023-05-25,302.53,BUY,2023,Y,0
2023-04-25,318.87,SHORT,2023,Y,0
2023-04-17,320.18,BUY,2023,X,1
2023-04-04,328.76,SELL,2023,Y,0
2023-03-28,317.71,BUY,2023,Y,0
2023-03-22,309.68,SELL,2023,X,1
2023-03-14,306.01,BUY,2023,Y,0
2023-03-07,307.4,SELL,2023,Y,0
2023-02-14,273.91,BUY,2023,Y,0
2023-02-09,271.42,SELL,2023,X,2
2023-01-23,257.52,BUY,2023,Y,0
2023-01-19,248.4,SELL,2023,X,1
2023-01-09,242.98,BUY,2023,Y,0
2023-01-03,238.93,SHORT,2023,X,1
2022-12-29,238.54,BUY,2022,Y,0
2022-12-05,252.38,SELL,2022,Y,0
2022-12-01,255.43,BUY,2022,X,1
2022-11-17,246.64,SELL,2022,X,1
2022-11-07,216.55,BUY,2022,Y,0
2022-11-02,218.31,SHORT,2022,Y,0
2022-10-13,205.0,BUY,2022,Y,0
2022-10-07,226.17,SHORT,2022,Y,0
2022-09-28,231.56,BUY,2022,X,2
2022-09-21,238.33,SHORT,2022,Y,0
2022-09-19,241.43,BUY,2022,X,1
2022-09-14,247.71,SHORT,2022,Y,0
2022-09-07,247.51,BUY,2022,Y,0
2022-08-29,251.16,SHORT,2022,Y,0
2022-08-25,263.78,BUY,2022,Y,0
