Date,Price,Signal,Year,Strike,StrikeCount
2025-02-11,65.97,BUY,2025,,0
2025-01-29,69.49,SELL,2025,Y,0
2025-01-06,68.9,BUY,2025,Y,0
2024-12-27,68.43,SHORT,2024,X,1
2024-12-24,68.89,BUY,2024,X,4
2024-12-11,72.88,SHORT,2024,Y,0
2024-12-09,73.19,BUY,2024,X,3
2024-11-27,74.1,SHORT,2024,Y,0
2024-11-25,75.43,BUY,2024,X,2
2024-11-13,73.11,SHORT,2024,X,2
2024-11-05,75.68,BUY,2024,X,1
2024-09-30,89.95,SELL,2024,Y,0
2024-09-24,84.35,BUY,2024,Y,0
2024-09-20,83.52,SELL,2024,X,1
2024-09-10,78.42,BUY,2024,Y,0
2024-09-04,80.79,SELL,2024,Y,0
2024-08-19,80.2,BUY,2024,Y,0
2024-07-18,89.47,SELL,2024,Y,0
2024-07-10,82.99,BUY,2024,Y,0
2024-06-25,83.57,SELL,2024,Y,0
2024-06-13,83.67,BUY,2024,X,2
2024-06-04,81.64,SHORT,2024,X,1
2024-05-31,82.51,BUY,2024,X,1
2024-05-13,86.06,SELL,2024,Y,0
2024-05-02,83.39,BUY,2024,Y,0
2024-04-25,83.58,SELL,2024,Y,0
2024-04-23,87.56,BUY,2024,X,2
2024-04-04,88.23,SHORT,2024,Y,0
2024-03-28,89.46,BUY,2024,X,1
2024-03-25,88.53,SELL,2024,X,5
2024-03-20,87.25,BUY,2024,Y,0
2024-03-11,85.31,SELL,2024,X,4
2024-02-21,80.23,BUY,2024,Y,0
2024-02-13,79.25,SELL,2024,X,3
2024-02-07,79.31,BUY,2024,X,2
2024-01-31,79.57,SHORT,2024,Y,0
2024-01-29,81.58,BUY,2024,X,1
2024-01-24,81.55,SELL,2024,X,2
2024-01-19,80.88,BUY,2024,Y,0
2024-01-17,80.27,SELL,2024,X,1
2024-01-09,79.39,BUY,2024,Y,0
2024-01-03,79.93,SELL,2024,Y,0
2023-10-30,69.37,BUY,2023,Y,0
2023-10-18,70.47,SELL,2023,Y,0
2023-10-06,66.72,BUY,2023,Y,0
2023-09-05,71.94,SELL,2023,Y,0
2023-08-22,69.31,BUY,2023,Y,0
2023-08-09,72.97,SHORT,2023,Y,0
2023-08-07,73.65,BUY,2023,X,1
2023-07-20,76.36,SELL,2023,Y,0
2023-07-10,71.13,BUY,2023,Y,0
2023-07-05,71.47,SELL,2023,Y,0
2023-06-26,69.75,BUY,2023,Y,0
2023-06-22,69.51,SELL,2023,X,4
2023-06-16,71.0,BUY,2023,X,1
2023-06-09,69.13,SELL,2023,X,3
2023-05-26,66.67,BUY,2023,Y,0
2023-05-16,67.21,SHORT,2023,Y,0
2023-05-05,70.26,BUY,2023,X,1
2023-05-03,69.46,SELL,2023,X,2
2023-05-01,69.44,BUY,2023,Y,0
2023-04-26,68.17,SELL,2023,X,1
2023-04-10,64.85,BUY,2023,Y,0
2023-03-30,68.23,SELL,2023,Y,0
2023-03-24,66.7,BUY,2023,Y,0
2023-03-06,67.64,SELL,2023,Y,0
2023-03-01,65.99,BUY,2023,Y,0
