Date,Price,Signal,Year,Strike,StrikeCount
2025-02-13,313.24,BUY,2025,,0
2025-02-05,333.15,SELL,2025,Y,0
2025-01-24,327.11,BUY,2025,Y,0
2025-01-22,318.33,SELL,2025,X,2
2025-01-17,315.48,BUY,2025,Y,0
2025-01-15,306.9,SELL,2025,X,1
2025-01-07,286.33,BUY,2025,Y,0
2024-12-27,292.81,SHORT,2024,Y,0
2024-12-24,295.92,BUY,2024,X,2
2024-12-17,304.71,SHORT,2024,Y,0
2024-12-13,312.3,BUY,2024,X,1
2024-12-03,331.94,SELL,2024,Y,0
2024-11-08,312.99,BUY,2024,Y,0
2024-10-23,328.69,SELL,2024,Y,0
2024-10-07,306.9,BUY,2024,Y,0
2024-10-01,294.78,SELL,2024,X,2
2024-09-23,290.45,BUY,2024,Y,0
2024-09-18,289.46,SELL,2024,X,1
2024-08-23,275.86,BUY,2024,Y,0
2024-08-07,277.65,SELL,2024,Y,0
2024-07-24,257.21,BUY,2024,Y,0
2024-07-22,251.36,SHORT,2024,X,1
2024-07-03,252.73,BUY,2024,X,1
2024-06-17,273.11,SELL,2024,Y,0
2024-05-31,262.32,BUY,2024,Y,0
2024-05-23,263.06,SELL,2024,Y,0
2024-05-15,250.9,BUY,2024,Y,0
2024-05-08,246.27,SELL,2024,X,1
2024-04-18,231.64,BUY,2024,Y,0
2024-04-08,237.83,SHORT,2024,Y,0
2024-04-01,243.42,BUY,2024,X,1
2024-03-19,244.37,SELL,2024,Y,0
2024-02-20,227.16,BUY,2024,Y,0
2024-02-14,217.01,SHORT,2024,X,1
2024-02-12,221.06,BUY,2024,X,3
2024-01-31,256.35,SHORT,2024,Y,0
2024-01-19,260.64,BUY,2024,X,2
2024-01-03,270.86,SELL,2024,Y,0
2023-12-22,272.84,BUY,2023,X,1
2023-12-20,269.22,SELL,2023,X,2
2023-12-08,263.27,BUY,2023,Y,0
2023-12-06,261.28,SELL,2023,X,1
2023-12-01,271.44,BUY,2023,X,2
2023-11-27,272.84,SELL,2023,Y,0
2023-11-21,274.35,BUY,2023,X,1
2023-11-17,270.15,SHORT,2023,X,1
2023-11-09,263.91,BUY,2023,Y,0
2023-11-06,291.82,SELL,2023,Y,0
2023-10-24,276.75,BUY,2023,Y,0
2023-10-19,281.29,SHORT,2023,Y,0
2023-10-17,288.19,BUY,2023,X,1
2023-10-12,288.97,SELL,2023,Y,0
2023-10-04,284.88,BUY,2023,Y,0
2023-09-27,285.81,SHORT,2023,Y,0
2023-09-25,287.92,BUY,2023,X,1
2023-09-18,300.69,SELL,2023,Y,0
2023-08-23,285.71,BUY,2023,Y,0
2023-08-17,284.5,SHORT,2023,X,3
2023-08-07,286.79,BUY,2023,X,1
2023-08-03,289.07,SELL,2023,Y,0
2023-07-10,288.73,BUY,2023,Y,0
2023-07-05,293.71,SELL,2023,Y,0
2023-06-30,296.79,BUY,2023,X,1
2023-06-20,289.3,SELL,2023,X,1
2023-06-02,276.77,BUY,2023,Y,0
2023-05-23,272.25,SHORT,2023,X,2
2023-05-15,279.29,BUY,2023,X,1
2023-05-02,292.63,SELL,2023,Y,0
2023-04-28,292.29,BUY,2023,Y,0
2023-04-25,289.94,SELL,2023,X,1
2023-04-11,285.33,BUY,2023,Y,0
2023-04-06,282.0,SHORT,2023,X,1
2023-03-29,276.33,BUY,2023,Y,0
2023-03-08,290.49,SELL,2023,Y,0
2023-02-23,279.72,BUY,2023,Y,0
