Date,Price,Signal,Year,Strike,StrikeCount
2024-07-19,125.92,SELL,2024,,0
2024-07-15,126.45,BUY,2024,X,1
2024-07-05,116.8,SELL,2024,X,1
2024-06-28,116.76,BUY,2024,Y,0
2024-06-17,115.33,SHORT,2024,X,3
2024-06-13,116.78,BUY,2024,X,1
2024-05-23,120.33,SELL,2024,Y,0
2024-04-22,117.24,BUY,2024,Y,0
2024-04-12,122.37,SELL,2024,Y,0
2024-04-08,125.89,BUY,2024,X,3
2024-04-03,123.5,SHORT,2024,X,2
2024-03-27,127.61,BUY,2024,X,2
2024-03-12,126.11,SELL,2024,X,2
2024-03-08,126.25,BUY,2024,X,1
2024-03-06,123.73,SELL,2024,X,1
2024-02-15,115.16,BUY,2024,Y,0
2024-02-13,113.54,SHORT,2024,X,1
2024-02-08,117.9,BUY,2024,X,4
2024-01-31,120.9,SHORT,2024,Y,0
2024-01-25,123.42,BUY,2024,X,3
2024-01-03,126.37,SHORT,2024,Y,0
2023-12-26,129.11,BUY,2023,X,2
2023-12-18,129.73,SELL,2023,Y,0
2023-12-14,129.98,BUY,2023,X,1
2023-12-12,117.52,SELL,2023,X,1
2023-11-24,104.81,BUY,2023,Y,0
2023-11-16,104.98,SELL,2023,Y,0
2023-11-14,99.45,BUY,2023,Y,0
2023-11-07,100.47,SELL,2023,Y,0
2023-11-02,95.52,BUY,2023,Y,0
2023-10-27,93.22,SHORT,2023,X,1
2023-10-24,94.66,BUY,2023,X,4
2023-10-19,96.64,SHORT,2023,Y,0
2023-10-16,100.11,BUY,2023,X,3
2023-10-12,98.43,SHORT,2023,X,2
2023-10-09,99.54,BUY,2023,X,2
2023-10-04,97.83,SHORT,2023,X,1
2023-09-28,99.31,BUY,2023,X,1
2023-09-06,115.95,SHORT,2023,Y,0
2023-08-23,115.36,BUY,2023,Y,0
2023-08-01,122.06,SELL,2023,Y,0
2023-07-20,120.18,BUY,2023,Y,0
2023-07-18,117.11,SELL,2023,X,1
2023-06-27,114.87,BUY,2023,Y,0
2023-06-15,121.15,SELL,2023,Y,0
2023-05-31,113.13,BUY,2023,Y,0
2023-05-25,113.99,SHORT,2023,Y,0
2023-05-23,118.11,BUY,2023,X,1
2023-05-10,122.28,SHORT,2023,Y,0
2023-05-04,121.55,BUY,2023,Y,0
2023-05-02,120.54,SHORT,2023,X,2
2023-04-28,123.18,BUY,2023,X,3
2023-04-25,123.44,SELL,2023,Y,0
2023-04-19,123.96,BUY,2023,X,2
2023-04-12,122.66,SHORT,2023,X,1
2023-04-06,124.39,BUY,2023,X,1
2023-04-03,124.36,SELL,2023,X,1
2023-03-29,120.78,BUY,2023,Y,0
2023-03-17,122.31,SHORT,2023,Y,0
2023-03-15,126.89,BUY,2023,X,1
2023-02-08,165.82,SELL,2023,Y,0
2023-01-23,157.73,BUY,2023,Y,0
2023-01-18,155.3,SELL,2023,X,1
2023-01-10,147.66,BUY,2023,Y,0
2023-01-05,143.66,SHORT,2023,X,1
2022-12-30,145.64,BUY,2022,X,1
2022-12-28,145.65,SHORT,2022,Y,0
2022-12-20,144.82,BUY,2022,Y,0
2022-12-16,147.54,SELL,2022,Y,0
2022-12-09,149.11,BUY,2022,X,2
2022-12-06,149.7,SELL,2022,Y,0
2022-11-30,152.99,BUY,2022,X,1
2022-11-28,151.24,SELL,2022,X,3
2022-11-18,150.17,BUY,2022,Y,0
2022-11-14,149.46,SELL,2022,X,2
2022-11-10,149.26,BUY,2022,Y,0
2022-11-02,143.14,SELL,2022,X,1
2022-10-25,135.04,BUY,2022,Y,0
2022-10-19,131.43,SHORT,2022,X,1
2022-10-13,134.65,BUY,2022,X,2
2022-10-06,140.56,SHORT,2022,Y,0
2022-10-03,142.05,BUY,2022,X,1
2022-09-13,156.49,SELL,2022,Y,0
2022-09-07,153.42,BUY,2022,Y,0
2022-08-29,156.68,SHORT,2022,Y,0
2022-08-24,159.32,BUY,2022,X,2
2022-08-18,169.65,SELL,2022,Y,0
2022-08-08,161.96,BUY,2022,X,1
