Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,251.86,SELL,2024,,0
2024-07-26,242.78,BUY,2024,Y,0
2024-07-24,244.13,SELL,2024,Y,0
2024-07-01,233.15,BUY,2024,Y,0
2024-06-27,228.4,SHORT,2024,X,1
2024-06-17,225.61,BUY,2024,Y,0
2024-06-05,235.41,SHORT,2024,Y,0
2024-05-31,239.02,BUY,2024,X,2
2024-05-22,240.72,SELL,2024,Y,0
2024-05-21,243.08,BUY,2024,X,1
2024-05-16,241.32,SELL,2024,X,1
2024-05-08,235.23,BUY,2024,Y,0
2024-04-26,235.64,SELL,2024,Y,0
2024-04-19,219.61,BUY,2024,Y,0
2024-03-22,227.7,SELL,2024,Y,0
2024-03-19,221.69,BUY,2024,Y,0
2024-03-11,221.13,SELL,2024,X,2
2024-02-26,215.01,BUY,2024,Y,0
2024-02-13,209.67,SELL,2024,X,1
2024-01-19,182.17,BUY,2024,Y,0
2024-01-10,184.97,SHORT,2024,Y,0
2023-12-12,170.22,BUY,2023,Y,0
2023-12-05,171.48,SELL,2023,Y,0
2023-11-13,154.34,BUY,2023,Y,0
2023-11-09,152.37,SELL,2023,X,1
2023-10-31,143.84,BUY,2023,Y,0
2023-10-19,149.87,SHORT,2023,Y,0
2023-10-17,153.27,BUY,2023,X,1
2023-10-13,151.1,SHORT,2023,X,2
2023-10-05,147.09,BUY,2023,Y,0
2023-09-20,159.06,SELL,2023,Y,0
2023-09-15,162.61,BUY,2023,X,5
2023-09-07,156.78,SHORT,2023,X,1
2023-08-28,159.19,BUY,2023,X,4
2023-08-16,160.76,SHORT,2023,Y,0
2023-08-14,165.86,BUY,2023,X,3
2023-08-09,164.82,SHORT,2023,X,4
2023-07-31,167.1,BUY,2023,X,2
2023-07-21,171.54,SELL,2023,Y,0
2023-07-17,175.39,BUY,2023,X,1
2023-07-06,170.94,SHORT,2023,X,3
2023-06-28,168.78,BUY,2023,Y,0
2023-06-20,170.39,SELL,2023,Y,0
2023-05-30,157.7,BUY,2023,Y,0
2023-05-24,150.97,SHORT,2023,X,2
2023-05-17,150.52,BUY,2023,Y,0
2023-05-12,148.81,SHORT,2023,X,1
2023-05-09,153.18,BUY,2023,X,1
2023-05-02,157.8,SHORT,2023,Y,0
2023-04-27,157.08,BUY,2023,Y,0
2023-04-24,163.49,SELL,2023,Y,0
2023-04-11,161.83,BUY,2023,Y,0
2023-04-04,163.21,SELL,2023,Y,0
2023-03-31,164.23,BUY,2023,X,2
2023-03-24,159.96,SHORT,2023,X,1
2023-03-21,164.46,BUY,2023,X,1
2023-03-07,176.94,SHORT,2023,Y,0
2023-03-01,175.02,BUY,2023,Y,0
2023-02-16,178.86,SELL,2023,Y,0
2023-02-07,175.91,BUY,2023,Y,0
2023-02-02,173.13,SELL,2023,X,1
2023-01-23,152.52,BUY,2023,Y,0
2023-01-17,153.81,SELL,2023,Y,0
2022-12-20,145.7,BUY,2022,Y,0
2022-12-14,156.99,SELL,2022,Y,0
2022-12-12,154.78,BUY,2022,Y,0
2022-12-06,155.22,SELL,2022,Y,0
2022-11-14,153.89,BUY,2022,Y,0
2022-11-09,148.31,SELL,2022,X,1
2022-11-07,146.69,BUY,2022,Y,0
2022-11-01,147.95,SELL,2022,Y,0
2022-10-28,147.54,BUY,2022,Y,0
2022-10-20,143.29,SELL,2022,X,1
2022-09-28,139.21,BUY,2022,Y,0
2022-09-16,153.56,SHORT,2022,Y,0
2022-09-07,151.61,BUY,2022,Y,0
2022-08-29,155.36,SHORT,2022,Y,0
2022-08-24,159.13,BUY,2022,X,1
2022-08-19,162.95,SELL,2022,Y,0
2022-08-04,156.53,BUY,2022,Y,0
