Date,Price,Signal,Year,Strike,StrikeCount
2024-07-25,62.05,BUY,2024,,0
2024-07-19,61.4,SELL,2024,X,1
2024-07-16,61.38,BUY,2024,Y,0
2024-07-01,59.8,SHORT,2024,X,2
2024-06-24,61.4,BUY,2024,X,1
2024-06-07,69.16,SELL,2024,Y,0
2024-05-31,68.92,BUY,2024,Y,0
2024-05-28,68.3,SHORT,2024,X,1
2024-05-06,68.9,BUY,2024,X,1
2024-05-01,69.31,SELL,2024,Y,0
2024-04-18,64.35,BUY,2024,Y,0
2024-04-12,65.52,SHORT,2024,Y,0
2024-04-09,67.2,BUY,2024,X,1
2024-04-03,66.84,SELL,2024,X,2
2024-03-21,65.53,BUY,2024,Y,0
2024-03-13,65.3,SELL,2024,X,1
2024-01-22,55.82,BUY,2024,Y,0
2024-01-12,56.43,SHORT,2024,Y,0
2024-01-05,56.86,BUY,2024,X,1
2023-12-29,57.54,SELL,2023,Y,0
2023-12-22,57.02,BUY,2023,Y,0
2023-12-20,56.99,SHORT,2023,X,2
2023-11-30,55.01,BUY,2023,Y,0
2023-11-28,53.82,SELL,2023,X,1
2023-11-14,49.74,BUY,2023,Y,0
2023-11-07,50.1,SELL,2023,Y,0
2023-10-26,46.07,BUY,2023,Y,0
2023-10-20,44.9,SHORT,2023,X,1
2023-10-16,44.99,BUY,2023,X,7
2023-10-11,47.03,SHORT,2023,Y,0
2023-10-03,48.73,BUY,2023,X,6
2023-09-22,50.31,SHORT,2023,Y,0
2023-09-20,51.77,BUY,2023,X,5
2023-09-12,51.88,SHORT,2023,Y,0
2023-08-29,52.96,BUY,2023,X,4
2023-08-15,56.04,SHORT,2023,Y,0
2023-08-11,57.21,BUY,2023,X,3
2023-08-02,57.36,SELL,2023,Y,0
2023-07-20,57.43,BUY,2023,X,2
2023-07-06,56.26,SELL,2023,X,2
2023-06-27,56.56,BUY,2023,X,1
2023-06-21,55.79,SELL,2023,X,1
2023-06-13,53.5,BUY,2023,Y,0
2023-06-09,52.68,SHORT,2023,X,1
2023-06-02,52.7,BUY,2023,X,4
2023-05-25,53.29,SHORT,2023,Y,0
2023-05-23,54.62,BUY,2023,X,3
2023-05-16,55.9,SELL,2023,Y,0
2023-05-11,57.0,BUY,2023,X,2
2023-05-03,52.26,SHORT,2023,X,3
2023-04-27,52.67,BUY,2023,X,1
2023-04-20,51.61,SHORT,2023,X,2
2023-04-18,51.4,BUY,2023,Y,0
2023-04-14,51.26,SHORT,2023,X,1
2023-04-11,52.39,BUY,2023,X,1
2023-04-04,54.66,SELL,2023,Y,0
2023-03-21,52.67,BUY,2023,Y,0
2023-03-07,55.63,SHORT,2023,Y,0
2023-03-03,56.69,BUY,2023,X,1
2023-02-24,56.85,SELL,2023,Y,0
2023-02-13,55.04,BUY,2023,Y,0
2023-02-07,58.7,SELL,2023,Y,0
2023-01-31,57.84,BUY,2023,Y,0
2023-01-26,57.03,SELL,2023,X,2
2023-01-23,58.42,BUY,2023,X,1
2023-01-18,56.81,SELL,2023,X,1
2022-12-27,51.79,BUY,2022,Y,0
2022-12-19,51.19,SHORT,2022,X,4
2022-12-14,54.09,BUY,2022,X,1
2022-11-16,55.1,SELL,2022,Y,0
2022-11-04,50.85,BUY,2022,Y,0
2022-11-02,48.65,SHORT,2022,X,3
2022-10-28,49.38,BUY,2022,X,3
2022-10-20,48.76,SHORT,2022,X,2
2022-10-17,49.12,BUY,2022,X,2
2022-10-07,48.95,SHORT,2022,X,1
2022-10-03,49.28,BUY,2022,X,1
2022-09-13,58.83,SELL,2022,Y,0
2022-09-07,55.98,BUY,2022,Y,0
2022-08-22,60.54,SHORT,2022,Y,0
2022-08-10,57.48,BUY,2022,Y,0
