Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,36.44,SHORT,2024,,0
2024-07-29,34.43,BUY,2024,Y,0
2024-07-19,38.47,SELL,2024,Y,0
2024-07-16,37.65,BUY,2024,Y,0
2024-06-24,41.66,SHORT,2024,Y,0
2024-06-20,42.03,BUY,2024,X,1
2024-05-22,49.56,SELL,2024,Y,0
2024-05-03,44.76,BUY,2024,Y,0
2024-05-01,44.87,SHORT,2024,Y,0
2024-04-19,43.99,BUY,2024,Y,0
2024-04-12,45.44,SHORT,2024,Y,0
2024-03-11,45.03,BUY,2024,Y,0
2024-03-04,45.65,SELL,2024,Y,0
2024-02-28,47.66,BUY,2024,X,1
2024-02-26,46.5,SELL,2024,X,2
2024-02-16,45.4,BUY,2024,Y,0
2024-02-13,43.55,SELL,2024,X,1
2024-02-07,43.66,BUY,2024,X,1
2024-02-05,42.79,SHORT,2024,X,1
2024-01-26,42.24,BUY,2024,Y,0
2024-01-10,44.56,SELL,2024,Y,0
2024-01-05,44.33,BUY,2024,Y,0
2023-12-26,42.83,SELL,2023,X,1
2023-11-24,29.89,BUY,2023,Y,0
2023-11-17,30.18,SELL,2023,Y,0
2023-11-14,31.47,BUY,2023,X,1
2023-11-06,31.75,SELL,2023,Y,0
2023-10-30,28.86,BUY,2023,Y,0
2023-10-19,31.83,SHORT,2023,Y,0
2023-10-17,31.66,BUY,2023,Y,0
2023-10-05,32.36,SHORT,2023,Y,0
2023-09-28,32.48,BUY,2023,X,1
2023-09-08,36.97,SHORT,2023,Y,0
2023-08-28,35.29,BUY,2023,Y,0
2023-08-17,37.25,SELL,2023,Y,0
2023-07-26,35.38,BUY,2023,Y,0
2023-07-12,36.91,SHORT,2023,Y,0
2023-07-03,37.9,BUY,2023,X,1
2023-06-12,41.85,SELL,2023,Y,0
2023-06-02,37.09,BUY,2023,Y,0
2023-05-25,37.77,SELL,2023,Y,0
2023-05-12,32.69,BUY,2023,Y,0
2023-04-26,34.55,SHORT,2023,Y,0
2023-04-21,35.63,BUY,2023,X,2
2023-04-18,35.36,SHORT,2023,X,2
2023-04-10,36.92,BUY,2023,X,1
2023-03-30,37.03,SELL,2023,Y,0
2023-03-27,36.5,BUY,2023,Y,0
2023-03-23,34.72,SHORT,2023,X,1
2023-03-21,35.68,BUY,2023,X,6
2023-02-27,41.43,SHORT,2023,Y,0
2023-02-23,42.14,BUY,2023,X,5
2023-02-17,42.89,SHORT,2023,Y,0
2023-02-14,44.93,BUY,2023,X,4
2023-02-08,45.0,SELL,2023,Y,0
2023-02-03,46.43,BUY,2023,X,3
2023-01-26,45.16,SHORT,2023,X,1
2023-01-23,45.51,BUY,2023,X,2
2023-01-17,45.88,SELL,2023,Y,0
2023-01-11,46.17,BUY,2023,X,1
2023-01-09,45.71,SELL,2023,X,1
2022-12-21,41.22,BUY,2022,Y,0
2022-12-06,42.81,SELL,2022,Y,0
2022-12-01,42.61,BUY,2022,Y,0
2022-11-28,40.06,SELL,2022,X,2
2022-11-21,38.11,BUY,2022,Y,0
2022-11-16,32.19,SELL,2022,X,1
2022-11-08,32.96,BUY,2022,X,4
2022-10-27,33.32,SHORT,2022,Y,0
2022-10-18,33.71,BUY,2022,X,3
2022-10-14,33.85,SHORT,2022,Y,0
2022-10-05,35.29,BUY,2022,X,2
2022-09-21,37.32,SELL,2022,Y,0
2022-09-19,38.05,BUY,2022,X,1
2022-09-13,38.78,SHORT,2022,Y,0
2022-08-25,37.18,BUY,2022,Y,0
2022-08-18,40.26,SELL,2022,Y,0
2022-08-11,38.64,BUY,2022,X,1
