Date,Price,Signal,Year,Strike,StrikeCount
2024-07-24,307.43,BUY,2024,,0
2024-07-19,297.79,SELL,2024,X,1
2024-07-05,276.05,BUY,2024,Y,0
2024-06-24,287.82,SHORT,2024,Y,0
2024-06-17,292.99,BUY,2024,X,1
2024-05-17,294.52,SELL,2024,Y,0
2024-05-10,280.19,BUY,2024,Y,0
2024-05-08,271.38,SHORT,2024,X,3
2024-05-02,277.11,BUY,2024,X,1
2024-04-01,344.46,SELL,2024,Y,0
2024-03-21,341.02,BUY,2024,Y,0
2024-03-13,336.43,SHORT,2024,X,2
2024-03-04,334.23,BUY,2024,Y,0
2024-02-22,338.47,SELL,2024,Y,0
2024-02-15,328.73,BUY,2024,Y,0
2024-02-13,320.67,SELL,2024,X,2
2024-02-06,321.1,BUY,2024,X,3
2024-02-02,320.43,SELL,2024,X,1
2024-01-29,329.03,BUY,2024,X,2
2024-01-16,315.22,SHORT,2024,X,1
2024-01-11,320.83,BUY,2024,X,1
2024-01-03,321.55,SELL,2024,Y,0
2023-12-19,311.75,BUY,2023,Y,0
2023-12-08,304.51,SELL,2023,X,1
2023-11-21,306.18,BUY,2023,X,3
2023-10-18,327.75,SHORT,2023,Y,0
2023-10-16,347.65,BUY,2023,X,2
2023-10-12,354.81,SHORT,2023,Y,0
2023-10-06,356.65,BUY,2023,X,1
2023-09-19,364.97,SHORT,2023,Y,0
2023-09-13,364.19,BUY,2023,Y,0
2023-09-01,397.53,SHORT,2023,Y,0
2023-08-28,384.61,BUY,2023,Y,0
2023-07-28,420.41,SELL,2023,Y,0
2023-06-30,379.12,BUY,2023,Y,0
2023-06-22,364.78,SHORT,2023,X,2
2023-06-12,372.26,BUY,2023,X,3
2023-06-09,361.03,SHORT,2023,X,1
2023-06-07,372.56,BUY,2023,X,2
2023-05-31,376.54,SHORT,2023,Y,0
2023-05-26,377.32,BUY,2023,X,1
2023-05-18,380.3,SHORT,2023,Y,0
2023-05-12,372.14,BUY,2023,Y,0
2023-05-05,398.1,SHORT,2023,Y,0
2023-04-28,442.43,BUY,2023,X,1
2023-04-18,479.16,SELL,2023,Y,0
2023-04-12,476.83,BUY,2023,Y,0
2023-03-15,478.0,SELL,2023,Y,0
2023-03-09,486.94,BUY,2023,X,1
2023-03-01,475.41,SELL,2023,X,2
2023-02-17,473.04,BUY,2023,Y,0
2023-02-09,467.55,SELL,2023,X,1
2022-12-21,405.76,BUY,2022,Y,0
2022-12-16,410.37,SELL,2022,Y,0
2022-12-08,405.68,BUY,2022,Y,0
2022-12-06,402.61,SELL,2022,X,2
2022-12-02,413.84,BUY,2022,X,2
2022-11-28,400.0,SELL,2022,X,1
2022-11-22,403.66,BUY,2022,X,1
2022-11-15,421.11,SELL,2022,Y,0
2022-11-03,359.8,BUY,2022,Y,0
2022-10-28,364.13,SHORT,2022,Y,0
2022-10-25,383.72,BUY,2022,X,1
2022-10-07,444.84,SELL,2022,Y,0
2022-10-04,437.92,BUY,2022,Y,0
2022-09-14,477.48,SHORT,2022,Y,0
2022-09-07,480.28,BUY,2022,X,3
2022-08-29,490.04,SHORT,2022,Y,0
2022-08-24,499.09,BUY,2022,X,2
2022-08-15,546.52,SELL,2022,Y,0
2022-08-10,541.75,BUY,2022,X,1
