Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,64.99,SELL,2024,,0
2024-07-23,63.51,BUY,2024,Y,0
2024-07-17,64.8,SELL,2024,Y,0
2024-06-18,58.36,BUY,2024,Y,0
2024-06-11,58.86,SELL,2024,Y,0
2024-06-07,59.89,BUY,2024,X,1
2024-06-04,58.87,SHORT,2024,X,5
2024-05-31,58.7,BUY,2024,Y,0
2024-05-23,58.75,SELL,2024,Y,0
2024-05-14,58.2,BUY,2024,Y,0
2024-04-30,56.99,SELL,2024,X,1
2024-04-18,55.06,BUY,2024,Y,0
2024-04-04,56.77,SELL,2024,Y,0
2024-03-18,54.75,BUY,2024,Y,0
2024-03-08,55.47,SELL,2024,Y,0
2024-02-15,54.97,BUY,2024,Y,0
2024-02-05,55.08,SELL,2024,Y,0
2023-12-26,51.61,BUY,2023,Y,0
2023-12-20,51.26,SELL,2023,X,4
2023-12-08,48.66,BUY,2023,Y,0
2023-12-05,48.43,SELL,2023,X,3
2023-11-22,47.22,BUY,2023,Y,0
2023-11-16,46.48,SELL,2023,X,2
2023-11-10,45.47,BUY,2023,Y,0
2023-11-07,44.59,SELL,2023,X,1
2023-10-25,41.85,BUY,2023,Y,0
2023-10-19,42.19,SELL,2023,Y,0
2023-10-17,41.98,BUY,2023,Y,0
2023-10-12,41.71,SHORT,2023,X,4
2023-10-05,41.42,BUY,2023,Y,0
2023-09-19,44.47,SELL,2023,Y,0
2023-08-24,43.57,BUY,2023,Y,0
2023-08-15,44.48,SELL,2023,Y,0
2023-08-11,46.01,BUY,2023,X,3
2023-08-09,45.27,SELL,2023,X,3
2023-08-03,45.38,BUY,2023,X,2
2023-07-28,44.99,SHORT,2023,X,3
2023-07-26,45.62,BUY,2023,X,1
2023-07-21,45.32,SELL,2023,X,2
2023-07-18,44.26,BUY,2023,Y,0
2023-07-14,43.94,SHORT,2023,X,2
2023-07-03,44.77,BUY,2023,X,1
2023-06-22,43.57,SELL,2023,X,1
2023-06-02,41.95,BUY,2023,Y,0
2023-05-31,40.2,SHORT,2023,X,1
2023-05-18,40.8,BUY,2023,X,3
2023-05-12,40.88,SHORT,2023,Y,0
2023-05-09,41.4,BUY,2023,X,2
2023-04-20,44.84,SELL,2023,Y,0
2023-04-11,45.38,BUY,2023,X,1
2023-04-04,45.0,SELL,2023,X,1
2023-03-29,44.72,BUY,2023,Y,0
2023-03-23,43.75,SHORT,2023,X,1
2023-03-21,44.83,BUY,2023,X,2
2023-03-09,49.42,SHORT,2023,Y,0
2023-02-24,50.46,BUY,2023,X,1
2023-02-16,51.29,SELL,2023,Y,0
2022-12-09,44.71,BUY,2022,Y,0
2022-11-28,45.1,SELL,2022,Y,0
2022-11-08,42.63,BUY,2022,Y,0
2022-11-02,42.04,SELL,2022,X,1
2022-10-17,39.61,BUY,2022,Y,0
2022-10-06,40.81,SHORT,2022,Y,0
2022-10-03,39.66,BUY,2022,Y,0
2022-09-14,43.84,SHORT,2022,Y,0
2022-09-07,41.58,BUY,2022,Y,0
2022-08-18,44.66,SELL,2022,Y,0
2022-08-10,43.64,BUY,2022,Y,0
