Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,872.92,SELL,2024,,0
2024-07-09,796.21,BUY,2024,Y,0
2024-06-26,787.45,SELL,2024,X,1
2024-06-17,776.24,BUY,2024,Y,0
2024-06-06,784.32,SELL,2024,Y,0
2024-05-31,765.66,BUY,2024,Y,0
2024-05-23,787.6,SELL,2024,Y,0
2024-04-22,759.32,BUY,2024,Y,0
2024-04-04,812.38,SHORT,2024,Y,0
2024-03-27,829.6,BUY,2024,X,1
2024-03-25,817.62,SHORT,2024,X,1
2024-03-20,808.4,BUY,2024,Y,0
2024-03-11,825.16,SELL,2024,Y,0
2024-02-21,801.54,BUY,2024,Y,0
2024-02-13,782.51,SELL,2024,X,1
2024-02-02,787.61,BUY,2024,X,1
2024-01-23,792.56,SHORT,2024,Y,0
2024-01-08,791.9,BUY,2024,Y,0
2023-12-20,795.02,SELL,2023,Y,0
2023-12-11,751.34,BUY,2023,Y,0
2023-12-06,751.56,SELL,2023,Y,0
2023-11-10,658.8,BUY,2023,Y,0
2023-11-06,654.16,SELL,2023,X,1
2023-10-31,611.02,BUY,2023,Y,0
2023-10-20,617.88,SHORT,2023,Y,0
2023-10-16,634.31,BUY,2023,X,1
2023-10-12,639.46,SHORT,2023,Y,0
2023-10-05,638.69,BUY,2023,Y,0
2023-09-20,688.66,SELL,2023,Y,0
2023-09-14,706.81,BUY,2023,X,1
2023-09-05,702.8,SHORT,2023,X,1
2023-08-29,680.96,BUY,2023,Y,0
2023-07-26,743.16,SELL,2023,Y,0
2023-07-19,742.48,BUY,2023,Y,0
2023-07-14,733.82,SELL,2023,X,1
2023-06-27,684.64,BUY,2023,Y,0
2023-06-20,693.29,SELL,2023,Y,0
2023-06-02,678.46,BUY,2023,Y,0
2023-05-31,659.23,SELL,2023,X,1
2023-05-17,644.18,BUY,2023,Y,0
2023-05-02,655.48,SHORT,2023,Y,0
2023-04-28,664.93,BUY,2023,X,1
2023-04-21,691.67,SELL,2023,Y,0
2023-03-15,631.74,BUY,2023,Y,0
2023-03-07,676.26,SHORT,2023,Y,0
2023-02-28,689.43,BUY,2023,X,2
2023-02-08,732.87,SHORT,2023,Y,0
2023-01-23,744.36,BUY,2023,X,1
2023-01-18,747.36,SELL,2023,Y,0
2023-01-09,744.67,BUY,2023,Y,0
2023-01-05,701.24,SELL,2023,X,1
2023-01-04,721.9,BUY,2023,X,4
2022-12-27,703.26,SHORT,2022,X,4
2022-12-21,704.77,BUY,2022,X,3
2022-12-19,697.11,SHORT,2022,X,3
2022-12-12,709.23,BUY,2022,X,2
2022-12-08,707.27,SHORT,2022,X,2
2022-12-01,721.23,BUY,2022,X,1
2022-11-15,740.31,SELL,2022,Y,0
2022-11-08,680.24,BUY,2022,Y,0
2022-11-02,643.77,SELL,2022,X,1
2022-10-17,567.84,BUY,2022,Y,0
2022-10-12,531.1,SHORT,2022,X,1
2022-10-04,585.44,BUY,2022,X,1
2022-09-13,671.78,SHORT,2022,Y,0
2022-09-07,669.72,BUY,2022,Y,0
