Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,49.2,SELL,2024,,0
2024-07-17,41.33,BUY,2024,Y,0
2024-07-12,40.62,SHORT,2024,X,1
2024-07-08,39.83,BUY,2024,Y,0
2024-06-27,41.98,SELL,2024,Y,0
2024-06-21,41.39,BUY,2024,Y,0
2024-06-13,42.27,SHORT,2024,Y,0
2024-06-07,41.19,BUY,2024,Y,0
2024-06-05,41.33,SHORT,2024,Y,0
2024-05-31,40.52,BUY,2024,Y,0
2024-05-15,44.56,SHORT,2024,Y,0
2024-05-07,44.04,BUY,2024,Y,0
2024-04-23,48.99,SHORT,2024,Y,0
2024-04-19,48.46,BUY,2024,Y,0
2024-04-01,53.63,SELL,2024,Y,0
2024-03-05,51.18,BUY,2024,Y,0
2024-02-26,51.33,SELL,2024,Y,0
2024-02-06,49.01,BUY,2024,Y,0
2024-01-30,49.45,SHORT,2024,Y,0
2024-01-24,50.24,BUY,2024,X,2
2024-01-22,49.94,SHORT,2024,X,3
2024-01-18,50.09,BUY,2024,X,1
2023-12-27,51.21,SELL,2023,Y,0
2023-12-01,49.56,BUY,2023,Y,0
2023-11-28,48.92,SHORT,2023,X,2
2023-11-24,49.76,BUY,2023,X,2
2023-11-21,48.67,SHORT,2023,X,1
2023-11-15,51.57,BUY,2023,X,1
2023-11-07,52.62,SHORT,2023,Y,0
2023-11-03,51.7,BUY,2023,Y,0
2023-10-27,51.88,SHORT,2023,Y,0
2023-10-25,56.36,BUY,2023,X,6
2023-10-19,56.48,SHORT,2023,Y,0
2023-10-16,56.98,BUY,2023,X,5
2023-09-27,58.35,SHORT,2023,Y,0
2023-09-25,59.16,BUY,2023,X,4
2023-09-12,60.29,SHORT,2023,Y,0
2023-09-08,60.36,BUY,2023,X,3
2023-08-31,62.18,SELL,2023,Y,0
2023-08-29,62.28,BUY,2023,X,2
2023-08-24,61.28,SELL,2023,X,1
2023-08-10,61.29,BUY,2023,X,1
2023-07-25,64.29,SELL,2023,Y,0
2023-07-18,62.0,BUY,2023,Y,0
2023-07-13,62.28,SHORT,2023,Y,0
2023-07-11,62.77,BUY,2023,X,2
2023-07-07,63.03,SHORT,2023,Y,0
2023-07-05,64.64,BUY,2023,X,1
2023-06-21,65.5,SELL,2023,Y,0
2023-06-16,65.09,BUY,2023,Y,0
2023-06-06,65.56,SHORT,2023,Y,0
2023-06-01,64.68,BUY,2023,Y,0
2023-05-25,64.73,SHORT,2023,Y,0
2023-05-23,66.3,BUY,2023,X,2
2023-05-16,67.84,SHORT,2023,Y,0
2023-05-08,68.41,BUY,2023,X,1
2023-04-26,69.37,SELL,2023,Y,0
2023-03-21,67.51,BUY,2023,Y,0
2023-02-27,69.99,SHORT,2023,Y,0
2023-02-22,71.31,BUY,2023,X,2
2023-02-15,72.01,SHORT,2023,Y,0
2023-02-02,72.77,BUY,2023,X,1
2023-01-27,72.63,SELL,2023,X,1
2023-01-13,72.49,BUY,2023,Y,0
2023-01-12,71.6,SHORT,2023,X,1
2023-01-04,72.5,BUY,2023,X,2
2022-12-27,72.65,SHORT,2022,Y,0
2022-12-22,73.57,BUY,2022,X,1
2022-12-06,80.44,SELL,2022,Y,0
2022-11-30,80.01,BUY,2022,Y,0
2022-11-28,79.14,SELL,2022,X,1
2022-11-17,77.16,BUY,2022,Y,0
2022-11-10,79.38,SELL,2022,Y,0
2022-10-24,72.9,BUY,2022,Y,0
2022-10-20,70.82,SELL,2022,X,1
2022-10-13,69.88,BUY,2022,Y,0
2022-10-06,70.3,SELL,2022,Y,0
2022-09-22,70.22,BUY,2022,Y,0
2022-09-19,70.82,SHORT,2022,Y,0
2022-09-01,68.55,BUY,2022,Y,0
2022-08-23,74.07,SELL,2022,Y,0
2022-08-19,74.8,BUY,2022,X,1
