Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,99.54,BUY,2024,,0
2024-07-25,97.43,SELL,2024,X,1
2024-07-11,91.46,BUY,2024,Y,0
2024-07-09,90.08,SHORT,2024,X,1
2024-07-03,89.92,BUY,2024,Y,0
2024-06-25,92.2,SELL,2024,Y,0
2024-06-12,90.42,BUY,2024,Y,0
2024-06-06,89.68,SELL,2024,X,1
2024-05-31,88.56,BUY,2024,Y,0
2024-05-28,88.79,SELL,2024,Y,0
2024-05-01,82.0,BUY,2024,Y,0
2024-04-10,83.74,SHORT,2024,Y,0
2024-04-08,85.51,BUY,2024,X,2
2024-04-04,85.48,SHORT,2024,X,2
2024-03-26,86.21,BUY,2024,X,1
2024-03-22,86.0,SELL,2024,X,8
2024-03-18,85.01,BUY,2024,Y,0
2024-03-11,84.94,SELL,2024,X,7
2024-03-07,85.61,BUY,2024,X,1
2024-03-01,83.74,SELL,2024,X,6
2024-02-08,79.12,BUY,2024,Y,0
2024-02-05,77.59,SELL,2024,X,5
2024-01-29,77.08,BUY,2024,Y,0
2024-01-17,74.47,SELL,2024,X,4
2024-01-08,71.3,BUY,2024,Y,0
2024-01-02,70.75,SHORT,2024,X,1
2023-12-27,70.6,BUY,2023,Y,0
2023-12-15,69.91,SELL,2023,X,3
2023-12-11,74.72,BUY,2023,X,2
2023-11-29,73.2,SELL,2023,X,2
2023-11-20,73.42,BUY,2023,X,1
2023-11-14,73.2,SELL,2023,X,1
2023-10-31,69.12,BUY,2023,Y,0
2023-10-12,70.73,SHORT,2023,Y,0
2023-10-09,71.23,BUY,2023,X,1
2023-09-15,72.73,SELL,2023,Y,0
2023-08-11,70.78,BUY,2023,Y,0
2023-08-04,70.02,SHORT,2023,X,1
2023-08-02,70.72,BUY,2023,X,1
2023-07-27,71.44,SELL,2023,Y,0
2023-06-09,64.03,BUY,2023,Y,0
2023-05-17,65.36,SELL,2023,Y,0
2023-05-08,65.5,BUY,2023,X,1
2023-05-03,64.73,SELL,2023,X,1
2023-03-16,55.11,BUY,2023,Y,0
2023-03-07,56.71,SHORT,2023,Y,0
2023-03-03,56.52,BUY,2023,Y,0
2023-02-21,57.18,SHORT,2023,Y,0
2023-02-13,58.47,BUY,2023,X,1
2023-02-09,58.79,SELL,2023,Y,0
2023-01-31,57.72,BUY,2023,Y,0
2023-01-26,58.67,SHORT,2023,Y,0
2023-01-20,60.69,BUY,2023,X,1
2023-01-17,61.18,SELL,2023,Y,0
2023-01-06,57.79,BUY,2023,Y,0
2023-01-03,56.8,SHORT,2023,X,1
2022-12-27,57.21,BUY,2022,X,3
2022-12-16,55.67,SELL,2022,X,1
2022-12-12,57.94,BUY,2022,X,2
2022-12-06,58.72,SELL,2022,Y,0
2022-12-02,59.51,BUY,2022,X,1
2022-11-29,57.36,SELL,2022,X,2
2022-11-16,56.41,BUY,2022,Y,0
2022-11-14,56.5,SHORT,2022,Y,0
2022-11-10,57.62,BUY,2022,X,2
2022-10-25,56.8,SELL,2022,X,1
2022-10-13,62.25,BUY,2022,X,1
2022-10-07,61.98,SHORT,2022,X,2
2022-10-03,61.72,BUY,2022,Y,0
2022-09-22,60.02,SHORT,2022,X,1
2022-09-19,61.72,BUY,2022,X,1
2022-09-12,65.3,SHORT,2022,Y,0
2022-09-07,63.78,BUY,2022,Y,0
2022-08-29,64.37,SHORT,2022,Y,0
2022-08-25,65.81,BUY,2022,X,1
2022-08-19,67.36,SELL,2022,Y,0
2022-08-04,64.31,BUY,2022,Y,0
