Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,32.47,SHORT,2024,,0
2024-07-26,32.57,BUY,2024,X,1
2024-07-18,33.84,SELL,2024,Y,0
2024-07-09,31.63,BUY,2024,Y,0
2024-06-27,32.28,SHORT,2024,Y,0
2024-06-24,33.53,BUY,2024,X,3
2024-06-04,35.23,SHORT,2024,Y,0
2024-05-28,35.94,BUY,2024,X,2
2024-05-17,37.33,SELL,2024,Y,0
2024-05-09,37.72,BUY,2024,X,1
2024-05-07,36.8,SELL,2024,X,1
2024-04-29,33.58,BUY,2024,Y,0
2024-04-25,32.82,SHORT,2024,X,2
2024-04-19,32.45,BUY,2024,Y,0
2024-04-11,34.65,SELL,2024,Y,0
2024-03-20,32.39,BUY,2024,Y,0
2024-03-14,32.1,SELL,2024,X,1
2024-02-28,30.78,BUY,2024,Y,0
2024-02-26,30.17,SHORT,2024,X,1
2024-02-22,30.45,BUY,2024,X,4
2024-02-16,30.83,SHORT,2024,Y,0
2024-02-12,32.05,BUY,2024,X,3
2024-02-05,33.58,SELL,2024,Y,0
2024-01-26,34.14,BUY,2024,X,2
2024-01-03,34.85,SELL,2024,Y,0
2023-12-21,35.52,BUY,2023,X,1
2023-12-18,34.73,SELL,2023,X,2
2023-12-11,33.19,BUY,2023,Y,0
2023-12-06,33.17,SELL,2023,X,1
2023-12-04,34.1,BUY,2023,X,1
2023-11-28,34.01,SHORT,2023,X,1
2023-11-13,32.52,BUY,2023,Y,0
2023-11-06,33.31,SHORT,2023,Y,0
2023-11-01,37.11,BUY,2023,X,5
2023-10-19,38.35,SHORT,2023,Y,0
2023-10-17,39.47,BUY,2023,X,4
2023-10-13,39.02,SHORT,2023,X,2
2023-10-06,39.39,BUY,2023,X,3
2023-09-27,39.92,SELL,2023,Y,0
2023-09-25,40.94,BUY,2023,X,2
2023-09-21,40.49,SELL,2023,X,2
2023-09-15,41.05,BUY,2023,X,1
2023-09-06,40.5,SHORT,2023,X,1
2023-08-25,39.9,BUY,2023,Y,0
2023-08-02,45.56,SHORT,2023,Y,0
2023-07-12,46.4,BUY,2023,X,1
2023-07-10,44.81,SELL,2023,X,1
2023-06-28,40.99,BUY,2023,Y,0
2023-06-20,42.06,SELL,2023,Y,0
2023-06-13,40.94,BUY,2023,Y,0
2023-06-08,40.92,SELL,2023,X,2
2023-05-26,41.49,BUY,2023,X,1
2023-05-24,40.64,SELL,2023,X,1
2023-05-18,39.24,BUY,2023,Y,0
2023-05-16,38.57,SHORT,2023,X,3
2023-05-05,38.58,BUY,2023,X,1
2023-04-25,42.53,SELL,2023,Y,0
2023-04-10,40.82,BUY,2023,Y,0
2023-04-04,42.64,SELL,2023,Y,0
2023-03-28,41.93,BUY,2023,Y,0
2023-03-23,41.01,SHORT,2023,X,2
2023-03-21,41.53,BUY,2023,X,1
2023-03-07,43.96,SELL,2023,Y,0
2023-02-10,41.94,BUY,2023,Y,0
2023-02-06,41.46,SELL,2023,X,3
2023-01-30,39.99,BUY,2023,Y,0
2023-01-17,38.92,SELL,2023,X,2
2023-01-04,36.04,BUY,2023,Y,0
2022-12-28,35.26,SHORT,2022,X,1
2022-12-12,35.88,BUY,2022,X,2
2022-12-08,36.26,SHORT,2022,Y,0
2022-11-30,37.05,BUY,2022,X,1
2022-11-16,36.59,SELL,2022,X,1
2022-11-04,32.76,BUY,2022,Y,0
2022-11-01,32.82,SELL,2022,Y,0
2022-10-04,29.71,BUY,2022,Y,0
2022-09-14,33.2,SHORT,2022,Y,0
2022-09-07,33.01,BUY,2022,Y,0
2022-08-31,33.25,SHORT,2022,Y,0
2022-08-24,33.0,BUY,2022,Y,0
2022-08-22,33.27,SELL,2022,Y,0
2022-08-11,34.96,BUY,2022,X,1
