Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,64.63,SELL,2024,,0
2024-07-26,64.8,BUY,2024,X,2
2024-07-22,64.64,SHORT,2024,X,3
2024-07-16,65.82,BUY,2024,X,1
2024-07-12,65.46,SELL,2024,X,1
2024-06-28,62.26,BUY,2024,Y,0
2024-06-21,59.99,SHORT,2024,X,2
2024-06-18,60.6,BUY,2024,X,3
2024-06-12,60.53,SHORT,2024,X,1
2024-06-05,61.71,BUY,2024,X,2
2024-05-20,63.69,SELL,2024,Y,0
2024-05-15,63.87,BUY,2024,X,1
2024-05-13,63.4,SELL,2024,X,4
2024-05-06,62.29,BUY,2024,Y,0
2024-04-25,61.79,SELL,2024,X,3
2024-04-19,58.45,BUY,2024,Y,0
2024-04-12,60.19,SHORT,2024,Y,0
2024-04-08,61.73,BUY,2024,X,1
2024-04-04,61.45,SELL,2024,X,2
2024-03-19,58.86,BUY,2024,Y,0
2024-03-12,57.45,SELL,2024,X,1
2024-03-01,55.6,BUY,2024,Y,0
2024-02-26,55.71,SELL,2024,Y,0
2024-02-15,54.43,BUY,2024,Y,0
2024-02-09,53.99,SHORT,2024,X,1
2024-02-07,54.54,BUY,2024,X,1
2024-02-02,55.54,SELL,2024,Y,0
2023-12-22,50.86,BUY,2023,Y,0
2023-12-18,49.82,SELL,2023,X,3
2023-11-29,45.4,BUY,2023,Y,0
2023-11-21,45.09,SELL,2023,X,2
2023-11-13,42.24,BUY,2023,Y,0
2023-11-09,41.66,SELL,2023,X,1
2023-10-26,39.34,BUY,2023,Y,0
2023-10-19,40.06,SHORT,2023,Y,0
2023-10-09,40.74,BUY,2023,X,7
2023-10-03,40.04,SHORT,2023,X,1
2023-09-12,40.83,BUY,2023,X,6
2023-08-31,41.29,SHORT,2023,Y,0
2023-08-29,41.72,BUY,2023,X,5
2023-08-01,47.15,SELL,2023,Y,0
2023-07-27,47.78,BUY,2023,X,4
2023-07-21,47.12,SELL,2023,X,2
2023-07-19,47.26,BUY,2023,X,3
2023-07-14,45.86,SELL,2023,X,1
2023-07-13,47.68,BUY,2023,X,2
2023-07-06,45.86,SHORT,2023,X,2
2023-06-26,46.24,BUY,2023,X,1
2023-06-16,48.19,SELL,2023,Y,0
2023-06-02,46.14,BUY,2023,Y,0
2023-05-16,45.28,SHORT,2023,X,1
2023-05-09,46.5,BUY,2023,X,1
2023-04-20,49.43,SELL,2023,Y,0
2023-04-11,46.85,BUY,2023,Y,0
2023-04-04,46.53,SELL,2023,X,1
2023-03-29,45.79,BUY,2023,Y,0
2023-03-08,50.79,SELL,2023,Y,0
2023-02-23,50.38,BUY,2023,Y,0
2023-02-21,50.54,SHORT,2023,Y,0
2023-02-14,51.35,BUY,2023,X,1
2023-02-03,50.95,SELL,2023,X,1
2022-12-27,44.39,BUY,2022,Y,0
2022-12-19,44.03,SHORT,2022,X,1
2022-12-09,44.86,BUY,2022,X,2
2022-12-02,47.24,SHORT,2022,Y,0
2022-11-30,47.75,BUY,2022,X,1
2022-11-16,48.69,SELL,2022,Y,0
2022-11-07,45.65,BUY,2022,Y,0
2022-11-02,45.67,SELL,2022,Y,0
2022-10-24,44.41,BUY,2022,Y,0
2022-10-06,43.25,SHORT,2022,X,1
2022-10-04,43.73,BUY,2022,X,2
2022-09-20,47.42,SHORT,2022,Y,0
2022-09-08,48.81,BUY,2022,X,1
2022-08-18,53.55,SELL,2022,Y,0
2022-08-05,51.66,BUY,2022,Y,0
