Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,29.94,BUY,2024,,0
2024-07-23,29.45,SELL,2024,X,1
2024-07-09,28.47,BUY,2024,Y,0
2024-06-26,28.49,SHORT,2024,Y,0
2024-06-21,28.8,BUY,2024,X,3
2024-06-06,29.62,SHORT,2024,Y,0
2024-06-04,29.99,BUY,2024,X,2
2024-05-24,30.36,SHORT,2024,Y,0
2024-05-22,30.76,BUY,2024,X,1
2024-05-15,30.84,SHORT,2024,Y,0
2024-05-08,30.83,BUY,2024,Y,0
2024-04-26,31.14,SELL,2024,Y,0
2024-04-16,30.01,BUY,2024,Y,0
2024-04-10,30.97,SELL,2024,Y,0
2024-04-05,30.82,BUY,2024,Y,0
2024-04-02,29.55,SELL,2024,X,1
2024-03-18,28.17,BUY,2024,Y,0
2024-03-14,28.08,SHORT,2024,X,2
2024-02-16,27.21,BUY,2024,Y,0
2024-01-31,29.15,SELL,2024,Y,0
2024-01-23,29.01,BUY,2024,Y,0
2024-01-11,28.87,SHORT,2024,X,1
2023-12-29,28.66,BUY,2023,Y,0
2023-12-15,29.69,SELL,2023,Y,0
2023-11-09,27.94,BUY,2023,Y,0
2023-11-06,27.6,SELL,2023,X,2
2023-11-02,27.47,BUY,2023,Y,0
2023-10-27,27.31,SELL,2023,X,1
2023-10-25,27.17,BUY,2023,Y,0
2023-10-18,27.56,SELL,2023,Y,0
2023-10-09,27.59,BUY,2023,X,8
2023-09-01,29.77,SHORT,2023,Y,0
2023-08-25,30.02,BUY,2023,X,7
2023-08-23,29.65,SHORT,2023,X,1
2023-08-18,30.19,BUY,2023,X,6
2023-08-03,32.61,SHORT,2023,Y,0
2023-07-21,33.24,BUY,2023,X,5
2023-07-18,32.19,SHORT,2023,X,1
2023-07-13,33.16,BUY,2023,X,4
2023-07-06,33.43,SHORT,2023,Y,0
2023-06-14,34.74,BUY,2023,X,3
2023-06-06,34.6,SHORT,2023,X,1
2023-05-31,34.87,BUY,2023,X,2
2023-05-22,35.77,SHORT,2023,Y,0
2023-05-17,36.69,BUY,2023,X,1
2023-05-04,37.93,SELL,2023,Y,0
2023-04-24,37.63,BUY,2023,Y,0
2023-04-14,37.2,SELL,2023,X,1
2023-03-15,35.61,BUY,2023,Y,0
2023-03-01,36.11,SHORT,2023,Y,0
2023-02-24,36.53,BUY,2023,X,3
2023-02-15,35.92,SHORT,2023,X,1
2023-02-13,36.51,BUY,2023,X,2
2023-02-01,36.94,SHORT,2023,Y,0
2023-01-30,36.97,BUY,2023,X,1
2023-01-12,40.27,SELL,2023,Y,0
2023-01-05,39.81,BUY,2023,Y,0
2022-12-28,38.65,SELL,2022,X,1
2022-11-16,34.66,BUY,2022,Y,0
2022-11-09,35.53,SELL,2022,Y,0
2022-10-10,33.33,BUY,2022,Y,0
2022-10-06,33.47,SHORT,2022,Y,0
2022-10-04,33.41,BUY,2022,Y,0
2022-09-27,33.85,SHORT,2022,Y,0
2022-09-16,33.75,BUY,2022,Y,0
2022-09-13,34.16,SHORT,2022,Y,0
2022-09-07,34.5,BUY,2022,X,2
2022-08-26,35.27,SELL,2022,Y,0
2022-08-11,34.44,BUY,2022,X,1
