Date,Price,Signal,Year,Strike,StrikeCount
2024-07-17,95.97,BUY,2024,,0
2024-06-26,102.22,SELL,2024,Y,0
2024-06-10,98.84,BUY,2024,Y,0
2024-06-05,97.96,SELL,2024,X,1
2024-05-30,96.63,BUY,2024,Y,0
2024-05-20,98.46,SHORT,2024,Y,0
2024-05-16,97.94,BUY,2024,Y,0
2024-04-29,102.91,SHORT,2024,Y,0
2024-04-19,107.44,BUY,2024,X,1
2024-04-02,111.25,SHORT,2024,Y,0
2024-03-19,111.04,BUY,2024,Y,0
2024-03-13,115.1,SELL,2024,Y,0
2024-02-20,105.35,BUY,2024,Y,0
2024-02-14,103.55,SHORT,2024,X,3
2024-02-07,104.72,BUY,2024,X,2
2024-01-22,105.34,SELL,2024,Y,0
2024-01-18,106.39,BUY,2024,X,1
2024-01-10,104.19,SHORT,2024,X,2
2024-01-02,101.19,BUY,2024,Y,0
2023-12-15,101.65,SELL,2023,Y,0
2023-12-08,106.83,BUY,2023,X,1
2023-12-06,106.52,SHORT,2023,X,1
2023-11-20,103.7,BUY,2023,Y,0
2023-11-15,102.45,SELL,2023,X,2
2023-11-01,91.57,BUY,2023,Y,0
2023-10-27,91.9,SHORT,2023,Y,0
2023-10-24,92.66,BUY,2023,X,1
2023-10-20,92.38,SELL,2023,X,1
2023-10-04,87.3,BUY,2023,Y,0
2023-09-13,88.58,SELL,2023,Y,0
2023-09-07,88.24,BUY,2023,Y,0
2023-08-31,87.7,SHORT,2023,X,1
2023-08-25,87.28,BUY,2023,Y,0
2023-08-16,90.4,SHORT,2023,Y,0
2023-08-14,92.99,BUY,2023,X,2
2023-08-08,91.76,SHORT,2023,X,2
2023-08-02,93.03,BUY,2023,X,1
2023-07-12,93.57,SELL,2023,Y,0
2023-06-09,86.77,BUY,2023,Y,0
2023-06-06,84.34,SELL,2023,X,3
2023-06-01,83.16,BUY,2023,Y,0
2023-05-30,81.86,SELL,2023,X,2
2023-04-24,80.4,BUY,2023,Y,0
2023-04-17,80.06,SELL,2023,X,1
2023-03-28,71.7,BUY,2023,Y,0
2023-03-23,69.58,SHORT,2023,X,1
2023-03-20,70.78,BUY,2023,X,2
2023-02-24,77.57,SELL,2023,Y,0
2023-02-17,78.78,BUY,2023,X,1
2023-02-14,78.95,SELL,2023,Y,0
2023-02-07,78.61,BUY,2023,Y,0
2023-02-01,76.18,SELL,2023,X,1
2023-01-26,76.24,BUY,2023,X,1
2023-01-11,77.26,SELL,2023,Y,0
2023-01-04,77.0,BUY,2023,Y,0
2022-12-27,79.68,SELL,2022,Y,0
2022-12-16,78.88,BUY,2022,Y,0
2022-12-09,79.16,SHORT,2022,Y,0
2022-11-17,75.48,BUY,2022,Y,0
2022-11-10,79.79,SELL,2022,Y,0
2022-11-04,78.05,BUY,2022,Y,0
2022-11-01,75.6,SELL,2022,X,1
2022-10-11,69.27,BUY,2022,Y,0
2022-10-07,68.52,SHORT,2022,X,2
2022-09-28,69.29,BUY,2022,X,2
2022-09-23,66.51,SHORT,2022,X,1
2022-09-19,67.13,BUY,2022,X,1
2022-09-06,69.51,SELL,2022,Y,0
2022-08-24,68.75,BUY,2022,Y,0
