Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,66.14,SHORT,2024,,0
2024-07-23,68.27,BUY,2024,X,1
2024-07-18,67.13,SELL,2024,X,3
2024-07-11,64.98,BUY,2024,Y,0
2024-06-21,63.45,SHORT,2024,X,1
2024-06-12,63.56,BUY,2024,X,2
2024-05-29,63.59,SHORT,2024,Y,0
2024-05-15,65.8,BUY,2024,X,1
2024-05-13,64.95,SELL,2024,X,2
2024-05-07,64.26,BUY,2024,Y,0
2024-05-01,61.12,SELL,2024,X,1
2024-04-23,54.33,BUY,2024,Y,0
2024-04-10,56.89,SELL,2024,Y,0
2024-04-08,57.17,BUY,2024,X,1
2024-03-11,57.14,SELL,2024,X,3
2024-03-04,56.99,BUY,2024,Y,0
2024-02-22,53.85,SHORT,2024,X,1
2024-02-09,55.42,BUY,2024,X,3
2024-02-06,54.5,SELL,2024,X,2
2024-02-02,55.95,BUY,2024,X,2
2024-01-31,55.15,SELL,2024,X,1
2024-01-19,55.78,BUY,2024,X,1
2024-01-12,56.38,SELL,2024,Y,0
2024-01-05,55.72,BUY,2024,Y,0
2024-01-02,56.52,SHORT,2024,Y,0
2023-12-26,57.44,BUY,2023,X,1
2023-12-18,56.96,SELL,2023,X,2
2023-12-11,55.67,BUY,2023,Y,0
2023-11-27,52.14,SELL,2023,X,1
2023-11-01,48.94,BUY,2023,Y,0
2023-10-12,54.75,SELL,2023,Y,0
2023-10-09,54.97,BUY,2023,X,1
2023-10-02,54.65,SHORT,2023,X,1
2023-09-25,53.27,BUY,2023,Y,0
2023-09-12,58.35,SELL,2023,Y,0
2023-08-28,55.57,BUY,2023,Y,0
2023-08-09,56.92,SHORT,2023,Y,0
2023-07-26,54.43,BUY,2023,Y,0
2023-07-21,54.23,SELL,2023,X,1
2023-05-30,41.66,BUY,2023,Y,0
2023-05-22,42.43,SELL,2023,Y,0
2023-05-05,42.21,BUY,2023,Y,0
2023-04-24,44.78,SELL,2023,Y,0
2023-04-10,42.24,BUY,2023,Y,0
2023-04-04,44.78,SHORT,2023,Y,0
2023-03-20,44.78,BUY,2023,X,1
2023-03-08,47.39,SELL,2023,Y,0
2023-03-02,45.94,BUY,2023,Y,0
2023-02-21,44.43,SHORT,2023,X,2
2023-02-15,45.48,BUY,2023,X,1
2023-02-06,46.15,SELL,2023,Y,0
2023-01-23,42.88,BUY,2023,Y,0
2023-01-18,45.12,SELL,2023,Y,0
2023-01-09,43.5,BUY,2023,Y,0
2022-12-16,41.75,SHORT,2022,X,1
2022-12-08,43.47,BUY,2022,X,2
2022-12-05,43.76,SHORT,2022,Y,0
2022-11-30,44.32,BUY,2022,X,1
2022-11-17,43.04,SELL,2022,X,1
2022-10-24,35.73,BUY,2022,Y,0
2022-10-07,35.36,SHORT,2022,X,2
2022-10-05,38.2,BUY,2022,X,2
2022-09-30,35.56,SHORT,2022,X,1
2022-09-28,35.84,BUY,2022,X,1
2022-09-13,40.88,SHORT,2022,Y,0
2022-09-06,40.07,BUY,2022,Y,0
