Date,Price,Signal,Year,Strike,StrikeCount
2024-07-15,171.94,BUY,2024,,0
2024-06-25,170.64,SHORT,2024,X,1
2024-06-20,170.95,BUY,2024,X,3
2024-06-07,173.33,SHORT,2024,Y,0
2024-06-04,175.7,BUY,2024,X,2
2024-05-29,177.49,SELL,2024,Y,0
2024-05-17,183.51,BUY,2024,X,1
2024-05-10,182.18,SELL,2024,X,3
2024-05-06,180.4,BUY,2024,Y,0
2024-05-02,179.17,SELL,2024,X,2
2024-04-30,181.13,BUY,2024,X,3
2024-04-23,178.83,SELL,2024,X,1
2024-04-19,178.99,BUY,2024,X,2
2024-04-11,178.4,SHORT,2024,X,2
2024-04-08,182.3,BUY,2024,X,1
2024-04-03,181.13,SHORT,2024,X,1
2024-03-28,180.9,BUY,2024,Y,0
2024-03-20,183.2,SHORT,2024,Y,0
2024-03-15,183.52,BUY,2024,X,2
2024-03-11,185.07,SHORT,2024,Y,0
2024-03-05,190.25,BUY,2024,X,1
2024-02-27,195.78,SELL,2024,Y,0
2024-02-07,184.46,BUY,2024,Y,0
2024-02-06,180.94,SHORT,2024,X,1
2024-02-01,184.73,BUY,2024,X,2
2024-01-30,183.67,SELL,2024,X,2
2024-01-23,186.9,BUY,2024,X,1
2024-01-19,185.38,SELL,2024,X,1
2024-01-11,177.11,BUY,2024,Y,0
2024-01-03,177.13,SELL,2024,Y,0
2023-12-28,176.75,BUY,2023,Y,0
2023-12-06,179.53,SHORT,2023,Y,0
2023-11-01,165.39,BUY,2023,Y,0
2023-10-19,162.73,SELL,2023,X,1
2023-09-18,151.47,BUY,2023,Y,0
2023-09-13,151.62,SELL,2023,Y,0
2023-09-07,151.51,BUY,2023,Y,0
2023-09-05,149.0,SELL,2023,X,1
2023-08-04,140.69,BUY,2023,Y,0
2023-07-28,141.02,SELL,2023,Y,0
2023-07-21,143.21,BUY,2023,X,4
2023-07-18,140.19,SELL,2023,X,5
2023-07-14,140.64,BUY,2023,X,3
2023-07-07,135.84,SELL,2023,X,4
2023-06-30,137.96,BUY,2023,X,2
2023-06-20,136.88,SELL,2023,X,3
2023-06-14,136.94,BUY,2023,X,1
2023-06-06,134.03,SHORT,2023,X,1
2023-06-01,133.6,BUY,2023,Y,0
2023-05-25,134.51,SHORT,2023,Y,0
2023-05-22,139.28,BUY,2023,X,1
2023-05-03,138.31,SELL,2023,X,2
2023-04-13,135.17,BUY,2023,Y,0
2023-04-10,134.12,SELL,2023,X,1
2023-03-16,122.75,BUY,2023,Y,0
2023-02-28,126.51,SELL,2023,Y,0
2023-02-15,128.54,BUY,2023,X,1
2023-02-09,126.02,SELL,2023,X,1
2023-01-26,123.26,BUY,2023,Y,0
2023-01-18,123.12,SHORT,2023,X,1
2023-01-11,123.43,BUY,2023,X,1
2023-01-04,124.96,SHORT,2023,Y,0
2022-12-21,124.64,BUY,2022,Y,0
2022-12-08,126.82,SELL,2022,Y,0
2022-12-02,127.59,BUY,2022,X,1
2022-11-28,124.67,SELL,2022,X,1
2022-11-15,119.96,BUY,2022,Y,0
2022-11-09,123.99,SELL,2022,Y,0
2022-10-28,124.27,BUY,2022,X,1
2022-10-19,120.58,SELL,2022,X,1
2022-10-13,119.18,BUY,2022,Y,0
2022-10-10,118.71,SHORT,2022,X,1
2022-10-04,119.24,BUY,2022,X,1
2022-09-12,123.73,SELL,2022,Y,0
2022-09-01,119.29,BUY,2022,Y,0
2022-08-23,123.0,SHORT,2022,Y,0
2022-08-16,119.92,BUY,2022,Y,0
2022-08-09,118.75,SHORT,2022,X,1
2022-08-05,120.18,BUY,2022,Y,0
