Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,220.6,SHORT,2024,,0
2024-07-29,230.63,BUY,2024,X,1
2024-07-18,235.39,SELL,2024,Y,0
2024-07-10,218.4,BUY,2024,Y,0
2024-06-24,232.87,SELL,2024,Y,0
2024-06-13,225.1,BUY,2024,Y,0
2024-06-06,221.81,SHORT,2024,X,2
2024-05-31,223.62,BUY,2024,X,1
2024-05-24,231.06,SELL,2024,Y,0
2024-05-16,224.14,BUY,2024,Y,0
2024-05-08,220.32,SHORT,2024,X,1
2024-05-06,220.94,BUY,2024,X,3
2024-05-01,223.06,SHORT,2024,Y,0
2024-04-29,244.36,BUY,2024,X,2
2024-04-01,254.79,SELL,2024,Y,0
2024-03-27,257.14,BUY,2024,X,1
2024-03-25,253.85,SELL,2024,X,6
2024-03-20,248.96,BUY,2024,Y,0
2024-03-15,245.51,SHORT,2024,X,7
2024-03-01,247.32,BUY,2024,X,2
2024-02-27,244.27,SELL,2024,X,5
2024-02-23,247.11,BUY,2024,X,1
2024-02-12,243.65,SELL,2024,X,4
2024-02-08,238.52,BUY,2024,Y,0
2024-02-06,230.5,SELL,2024,X,3
2024-02-02,230.69,BUY,2024,X,1
2024-01-31,228.11,SELL,2024,X,2
2024-01-18,221.57,BUY,2024,Y,0
2024-01-12,219.86,SELL,2024,X,1
2024-01-08,215.11,BUY,2024,Y,0
2024-01-04,215.08,SHORT,2024,X,6
2023-12-08,212.94,BUY,2023,Y,0
2023-12-06,209.59,SHORT,2023,X,5
2023-12-04,212.6,BUY,2023,X,1
2023-11-17,215.29,SELL,2023,Y,0
2023-11-10,210.41,BUY,2023,Y,0
2023-11-07,209.64,SELL,2023,X,1
2023-10-31,199.67,BUY,2023,Y,0
2023-10-13,210.4,SELL,2023,Y,0
2023-10-04,203.67,BUY,2023,Y,0
2023-09-26,202.44,SHORT,2023,X,4
2023-09-20,209.0,BUY,2023,X,1
2023-09-11,211.22,SELL,2023,Y,0
2023-08-28,205.42,BUY,2023,Y,0
2023-08-24,203.14,SELL,2023,X,1
2023-08-21,201.42,BUY,2023,Y,0
2023-08-16,203.88,SELL,2023,Y,0
2023-08-11,203.45,BUY,2023,Y,0
2023-08-09,201.59,SELL,2023,X,4
2023-08-03,196.33,BUY,2023,Y,0
2023-07-27,188.07,SELL,2023,X,3
2023-07-17,188.91,BUY,2023,X,1
2023-07-12,187.02,SELL,2023,X,2
2023-06-29,178.39,BUY,2023,Y,0
2023-06-26,176.92,SELL,2023,X,1
2023-06-07,170.58,BUY,2023,Y,0
2023-06-05,172.91,SELL,2023,Y,0
2023-05-26,171.67,BUY,2023,Y,0
2023-05-23,171.9,SELL,2023,Y,0
2023-05-17,172.04,BUY,2023,X,1
2023-05-03,167.2,SHORT,2023,X,3
2023-04-27,166.59,BUY,2023,Y,0
2023-04-21,164.01,SHORT,2023,X,2
2023-04-13,189.21,BUY,2023,X,1
2023-04-04,191.92,SELL,2023,Y,0
2023-03-31,191.24,BUY,2023,Y,0
2023-03-28,189.92,SHORT,2023,X,1
2023-03-21,193.44,BUY,2023,X,2
2023-03-09,198.37,SHORT,2023,Y,0
2023-03-06,202.71,BUY,2023,X,1
2023-02-21,212.19,SELL,2023,Y,0
2023-01-31,195.27,BUY,2023,Y,0
2023-01-25,193.87,SELL,2023,X,1
2023-01-09,183.96,BUY,2023,Y,0
2023-01-05,178.06,SHORT,2023,X,2
2022-12-29,179.86,BUY,2022,X,2
2022-12-28,177.13,SHORT,2022,X,1
2022-12-21,181.09,BUY,2022,X,1
2022-12-06,186.19,SELL,2022,Y,0
2022-10-17,158.5,BUY,2022,Y,0
2022-10-07,162.14,SHORT,2022,Y,0
2022-10-04,163.54,BUY,2022,X,2
2022-09-30,158.34,SHORT,2022,X,1
2022-09-28,159.54,BUY,2022,X,1
2022-09-13,173.18,SHORT,2022,Y,0
2022-09-07,171.15,BUY,2022,Y,0
2022-08-26,181.56,SHORT,2022,Y,0
2022-08-12,177.56,BUY,2022,Y,0
