Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,378.25,SELL,2024,,0
2024-07-26,358.96,BUY,2024,Y,0
2024-07-19,320.31,SELL,2024,X,4
2024-07-12,307.93,BUY,2024,Y,0
2024-07-08,298.73,SELL,2024,X,3
2024-05-30,273.23,BUY,2024,Y,0
2024-05-22,271.96,SELL,2024,X,2
2024-05-10,273.79,BUY,2024,X,1
2024-05-07,268.27,SELL,2024,X,1
2024-05-03,265.23,BUY,2024,Y,0
2024-04-30,257.31,SHORT,2024,X,1
2024-04-19,261.01,BUY,2024,X,2
2024-03-26,289.49,SELL,2024,Y,0
2024-03-19,297.31,BUY,2024,X,1
2024-03-15,295.42,SELL,2024,X,2
2024-03-08,283.08,BUY,2024,Y,0
2024-02-27,291.53,SHORT,2024,Y,0
2024-02-20,295.13,BUY,2024,X,1
2024-02-14,291.54,SHORT,2024,X,1
2024-02-09,287.91,BUY,2024,Y,0
2024-01-31,375.55,SHORT,2024,Y,0
2024-01-29,378.51,BUY,2024,X,1
2024-01-24,371.39,SELL,2024,X,1
2024-01-19,365.94,BUY,2024,Y,0
2024-01-04,384.11,SELL,2024,Y,0
2023-12-11,373.99,BUY,2023,Y,0
2023-12-06,364.11,SHORT,2023,X,1
2023-12-01,401.87,BUY,2023,X,2
2023-11-17,411.28,SHORT,2023,Y,0
2023-11-15,416.41,BUY,2023,X,1
2023-11-06,416.76,SHORT,2023,Y,0
2023-10-31,392.76,BUY,2023,Y,0
2023-10-18,450.96,SELL,2023,Y,0
2023-10-09,435.36,BUY,2023,Y,0
2023-09-22,445.21,SELL,2023,Y,0
2023-09-08,421.57,BUY,2023,Y,0
2023-08-31,438.12,SELL,2023,Y,0
2023-08-25,416.78,BUY,2023,Y,0
2023-08-17,425.0,SELL,2023,Y,0
2023-07-31,405.19,BUY,2023,Y,0
2023-07-26,396.36,SELL,2023,X,3
2023-07-19,388.57,BUY,2023,Y,0
2023-07-14,377.54,SELL,2023,X,2
2023-06-26,329.37,BUY,2023,Y,0
2023-06-22,327.29,SHORT,2023,X,1
2023-06-15,336.59,BUY,2023,X,1
2023-06-09,331.91,SELL,2023,X,1
2023-05-26,324.75,BUY,2023,Y,0
2023-05-23,338.09,SHORT,2023,Y,0
2023-05-15,343.01,BUY,2023,X,1
2023-05-03,356.9,SELL,2023,Y,0
2023-04-27,327.73,BUY,2023,Y,0
2023-04-12,348.91,SELL,2023,Y,0
2023-03-16,343.23,BUY,2023,Y,0
2023-02-27,375.05,SHORT,2023,Y,0
2023-02-23,383.23,BUY,2023,X,2
2023-02-09,404.78,SHORT,2023,Y,0
2023-02-02,406.32,BUY,2023,X,1
2023-01-30,390.94,SELL,2023,X,2
2023-01-20,385.65,BUY,2023,Y,0
2023-01-18,384.76,SELL,2023,X,1
2022-12-20,308.13,BUY,2022,Y,0
2022-12-15,323.76,SELL,2022,Y,0
2022-12-12,383.45,BUY,2022,X,3
2022-12-06,384.27,SHORT,2022,Y,0
2022-11-30,386.73,BUY,2022,X,2
2022-11-28,384.47,SELL,2022,X,2
2022-11-23,387.0,BUY,2022,X,1
2022-11-17,384.29,SELL,2022,X,1
2022-11-07,350.64,BUY,2022,Y,0
2022-11-01,359.24,SELL,2022,Y,0
2022-10-21,329.35,BUY,2022,Y,0
2022-10-19,327.64,SELL,2022,X,1
2022-10-13,319.45,BUY,2022,Y,0
2022-10-07,320.05,SHORT,2022,Y,0
2022-10-04,324.71,BUY,2022,X,5
2022-09-30,311.42,SHORT,2022,X,1
2022-09-28,314.97,BUY,2022,X,4
2022-09-13,394.47,SHORT,2022,Y,0
2022-09-09,404.03,BUY,2022,X,3
2022-09-06,404.82,SHORT,2022,Y,0
2022-09-01,417.39,BUY,2022,X,2
2022-08-23,436.01,SHORT,2022,Y,0
2022-08-12,474.54,BUY,2022,X,1
