Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,121.43,BUY,2024,,0
2024-07-19,125.55,SELL,2024,Y,0
2024-07-12,122.34,BUY,2024,Y,0
2024-07-05,115.91,SELL,2024,X,2
2024-07-01,119.19,BUY,2024,X,1
2024-06-26,114.94,SELL,2024,X,1
2024-06-20,114.64,BUY,2024,Y,0
2024-06-04,115.52,SHORT,2024,Y,0
2024-05-31,116.63,BUY,2024,X,1
2024-05-23,117.51,SELL,2024,Y,0
2024-04-30,114.99,BUY,2024,Y,0
2024-04-25,118.71,SELL,2024,Y,0
2024-04-19,118.65,BUY,2024,Y,0
2024-04-11,119.58,SHORT,2024,Y,0
2024-04-05,121.52,BUY,2024,X,1
2024-04-02,121.72,SELL,2024,Y,0
2024-03-21,118.84,BUY,2024,Y,0
2024-03-18,118.22,SELL,2024,X,2
2024-03-08,117.29,BUY,2024,Y,0
2024-03-04,112.71,SELL,2024,X,1
2024-02-22,111.74,BUY,2024,Y,0
2024-02-20,111.2,SHORT,2024,X,2
2024-02-09,108.05,BUY,2024,Y,0
2024-01-26,112.21,SELL,2024,Y,0
2024-01-22,111.95,BUY,2024,Y,0
2024-01-16,107.29,SELL,2024,X,1
2023-12-26,102.24,BUY,2023,Y,0
2023-12-15,104.36,SELL,2023,Y,0
2023-12-08,102.8,BUY,2023,Y,0
2023-12-06,102.75,SELL,2023,X,2
2023-12-04,103.07,BUY,2023,X,1
2023-11-28,101.8,SELL,2023,X,1
2023-11-14,100.54,BUY,2023,Y,0
2023-11-08,99.84,SHORT,2023,X,1
2023-10-30,100.04,BUY,2023,X,2
2023-10-19,102.16,SHORT,2023,Y,0
2023-10-16,103.1,BUY,2023,X,1
2023-10-12,101.35,SHORT,2023,X,1
2023-10-05,101.25,BUY,2023,Y,0
2023-09-22,107.01,SELL,2023,Y,0
2023-08-28,104.42,BUY,2023,Y,0
2023-08-10,108.6,SELL,2023,Y,0
2023-06-27,97.18,BUY,2023,Y,0
2023-06-14,102.09,SELL,2023,Y,0
2023-05-30,98.77,BUY,2023,Y,0
2023-05-25,99.43,SHORT,2023,Y,0
2023-05-18,103.78,BUY,2023,X,2
2023-05-11,103.95,SHORT,2023,Y,0
2023-05-03,104.44,BUY,2023,X,1
2023-04-04,111.68,SHORT,2023,Y,0
2023-03-29,110.73,BUY,2023,Y,0
2023-02-21,125.32,SELL,2023,Y,0
2023-01-23,103.73,BUY,2023,Y,0
2023-01-12,109.03,SELL,2023,Y,0
2023-01-04,105.19,BUY,2023,Y,0
2022-12-28,103.3,SHORT,2022,X,1
2022-12-21,103.17,BUY,2022,Y,0
2022-12-15,103.66,SHORT,2022,Y,0
2022-12-12,106.6,BUY,2022,X,1
2022-11-15,108.53,SELL,2022,Y,0
2022-11-07,100.26,BUY,2022,Y,0
2022-11-03,97.53,SELL,2022,X,1
2022-10-11,96.1,BUY,2022,Y,0
2022-10-07,94.76,SHORT,2022,X,2
2022-10-04,94.01,BUY,2022,Y,0
2022-09-30,91.49,SHORT,2022,X,1
2022-09-28,91.48,BUY,2022,Y,0
2022-09-13,99.82,SELL,2022,Y,0
2022-09-07,97.82,BUY,2022,Y,0
2022-08-29,100.22,SELL,2022,Y,0
2022-08-25,101.93,BUY,2022,X,1
2022-08-19,104.88,SELL,2022,Y,0
2022-08-05,97.05,BUY,2022,Y,0
