Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,99.39,BUY,2024,,0
2024-07-19,98.24,SELL,2024,X,1
2024-07-11,97.66,BUY,2024,Y,0
2024-06-28,97.8,SELL,2024,Y,0
2024-06-14,94.62,BUY,2024,Y,0
2024-06-12,93.23,SHORT,2024,X,1
2024-05-31,91.35,BUY,2024,Y,0
2024-05-17,94.2,SELL,2024,Y,0
2024-04-17,86.75,BUY,2024,Y,0
2024-04-03,88.39,SHORT,2024,Y,0
2024-02-20,84.49,BUY,2024,Y,0
2024-02-05,84.09,SELL,2024,X,5
2024-01-23,81.41,BUY,2024,Y,0
2024-01-16,80.43,SELL,2024,X,4
2023-12-12,78.04,BUY,2023,Y,0
2023-12-06,77.47,SELL,2023,X,3
2023-10-31,74.43,BUY,2023,Y,0
2023-10-27,72.88,SELL,2023,X,2
2023-10-25,73.04,BUY,2023,X,1
2023-10-23,72.79,SELL,2023,X,1
2023-10-13,70.07,BUY,2023,Y,0
2023-09-22,73.01,SELL,2023,Y,0
2023-09-07,73.53,BUY,2023,X,3
2023-08-29,73.47,SHORT,2023,X,2
2023-08-25,73.83,BUY,2023,X,2
2023-08-10,76.28,SELL,2023,Y,0
2023-08-07,76.9,BUY,2023,X,1
2023-07-27,77.44,SELL,2023,Y,0
2023-07-14,76.36,BUY,2023,Y,0
2023-06-26,76.64,SELL,2023,Y,0
2023-06-15,76.06,BUY,2023,Y,0
2023-06-07,75.2,SHORT,2023,X,1
2023-06-02,75.11,BUY,2023,Y,0
2023-05-16,80.85,SELL,2023,Y,0
2023-05-11,81.63,BUY,2023,X,1
2023-05-05,80.59,SELL,2023,X,2
2023-04-24,76.99,BUY,2023,Y,0
2023-04-18,75.54,SELL,2023,X,1
2023-03-24,72.6,BUY,2023,Y,0
2023-03-17,72.75,SELL,2023,Y,0
2023-03-14,71.9,BUY,2023,Y,0
2023-03-06,73.5,SELL,2023,Y,0
2023-02-27,73.6,BUY,2023,X,6
2023-02-23,73.66,SHORT,2023,Y,0
2023-02-17,73.75,BUY,2023,X,5
2023-02-09,73.31,SHORT,2023,X,1
2023-01-31,73.58,BUY,2023,X,4
2023-01-19,75.56,SHORT,2023,Y,0
2023-01-17,78.23,BUY,2023,X,3
2023-01-10,78.51,SELL,2023,Y,0
2023-01-04,79.42,BUY,2023,X,2
2022-12-28,79.11,SELL,2022,X,3
2022-12-22,79.28,BUY,2022,X,1
2022-12-20,77.69,SHORT,2022,X,1
2022-12-07,77.55,BUY,2022,Y,0
2022-12-05,77.26,SELL,2022,X,2
2022-11-07,73.5,BUY,2022,Y,0
2022-11-02,72.94,SELL,2022,X,1
2022-10-25,72.2,BUY,2022,Y,0
2022-10-19,72.33,SELL,2022,Y,0
2022-10-13,69.77,BUY,2022,Y,0
2022-10-06,70.77,SHORT,2022,Y,0
2022-10-04,71.48,BUY,2022,X,4
2022-09-27,74.79,SHORT,2022,Y,0
2022-09-23,75.53,BUY,2022,X,3
2022-09-21,74.95,SHORT,2022,X,1
2022-09-19,75.94,BUY,2022,X,2
2022-09-13,77.35,SHORT,2022,Y,0
2022-09-07,78.55,BUY,2022,X,1
2022-08-23,81.18,SHORT,2022,Y,0
2022-08-15,80.72,BUY,2022,Y,0
