Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,51.39,BUY,2024,,0
2024-07-09,59.39,SHORT,2024,Y,0
2024-07-05,61.83,BUY,2024,X,2
2024-07-01,62.44,SHORT,2024,Y,0
2024-06-26,65.86,BUY,2024,X,1
2024-06-20,65.07,SELL,2024,X,1
2024-06-12,63.0,BUY,2024,Y,0
2024-06-10,63.12,SHORT,2024,Y,0
2024-05-31,62.59,BUY,2024,Y,0
2024-05-01,62.77,SELL,2024,Y,0
2024-04-25,60.48,BUY,2024,Y,0
2024-04-15,58.91,SELL,2024,X,1
2024-04-05,58.11,BUY,2024,Y,0
2024-03-28,58.23,SELL,2024,Y,0
2024-03-12,54.36,BUY,2024,Y,0
2024-03-06,53.87,SELL,2024,X,3
2024-02-28,52.9,BUY,2024,Y,0
2024-02-16,52.08,SELL,2024,X,2
2024-01-29,46.76,BUY,2024,Y,0
2024-01-25,46.31,SELL,2024,X,1
2024-01-17,45.99,BUY,2024,Y,0
2023-12-14,46.38,SELL,2023,Y,0
2023-12-01,44.22,BUY,2023,Y,0
2023-11-28,44.13,SELL,2023,X,4
2023-11-20,43.64,BUY,2023,Y,0
2023-11-15,43.12,SELL,2023,X,3
2023-10-30,37.95,BUY,2023,Y,0
2023-10-26,36.69,SELL,2023,X,2
2023-10-24,36.87,BUY,2023,X,1
2023-10-20,36.63,SELL,2023,X,1
2023-10-17,36.36,BUY,2023,Y,0
2023-10-06,36.59,SHORT,2023,Y,0
2023-10-02,36.92,BUY,2023,X,1
2023-09-14,38.72,SELL,2023,Y,0
2023-08-16,37.15,BUY,2023,Y,0
2023-08-02,38.74,SHORT,2023,Y,0
2023-07-31,38.67,BUY,2023,Y,0
2023-07-19,42.78,SELL,2023,Y,0
2023-07-17,41.51,BUY,2023,Y,0
2023-07-13,41.25,SHORT,2023,X,3
2023-07-10,41.75,BUY,2023,X,1
2023-07-03,42.47,SELL,2023,Y,0
2023-06-29,42.21,BUY,2023,Y,0
2023-06-26,40.73,SHORT,2023,X,2
2023-06-21,41.49,BUY,2023,X,3
2023-06-02,41.24,SHORT,2023,X,1
2023-05-17,41.24,BUY,2023,X,2
2023-05-04,40.67,SELL,2023,X,2
2023-04-27,40.73,BUY,2023,X,1
2023-04-25,35.76,SELL,2023,X,1
2023-04-11,34.02,BUY,2023,Y,0
2023-04-05,34.38,SELL,2023,Y,0
2023-03-02,29.91,BUY,2023,Y,0
2023-02-16,32.71,SHORT,2023,Y,0
2023-02-14,32.42,BUY,2023,Y,0
2023-02-08,32.75,SELL,2023,Y,0
2023-01-06,27.55,BUY,2023,Y,0
2022-12-05,31.75,SELL,2022,Y,0
2022-11-11,30.13,BUY,2022,Y,0
2022-10-26,30.04,SELL,2022,X,1
2022-10-12,30.13,BUY,2022,X,2
2022-10-03,30.16,SHORT,2022,Y,0
2022-09-28,31.06,BUY,2022,X,1
2022-09-13,34.02,SELL,2022,Y,0
2022-09-06,32.41,BUY,2022,Y,0
2022-08-30,32.43,SHORT,2022,Y,0
2022-08-25,33.18,BUY,2022,Y,0
