Date,Price,Signal,Year,Strike,StrikeCount
2024-07-24,835.93,SHORT,2024,,0
2024-07-16,850.77,BUY,2024,X,3
2024-07-11,848.07,SHORT,2024,X,1
2024-07-03,860.81,BUY,2024,X,2
2024-06-28,849.99,SELL,2024,X,1
2024-06-25,852.44,BUY,2024,X,1
2024-06-20,866.82,SELL,2024,Y,0
2024-06-17,858.14,BUY,2024,Y,0
2024-06-13,845.96,SELL,2024,X,6
2024-05-24,806.86,BUY,2024,Y,0
2024-05-20,793.0,SELL,2024,X,5
2024-05-10,781.29,BUY,2024,Y,0
2024-05-08,763.41,SELL,2024,X,4
2024-05-02,731.26,BUY,2024,Y,0
2024-04-16,715.97,SELL,2024,X,3
2024-04-05,709.88,BUY,2024,Y,0
2024-04-02,717.92,SHORT,2024,Y,0
2024-03-19,732.17,BUY,2024,X,1
2024-03-08,753.78,SHORT,2024,Y,0
2024-02-15,724.26,BUY,2024,Y,0
2024-02-13,719.31,SELL,2024,X,2
2024-01-29,691.88,BUY,2024,Y,0
2024-01-25,679.9,SELL,2024,X,1
2024-01-08,657.69,BUY,2024,Y,0
2023-12-29,660.08,SELL,2023,Y,0
2023-12-22,655.01,BUY,2023,Y,0
2023-12-20,654.95,SELL,2023,X,5
2023-12-18,651.57,BUY,2023,Y,0
2023-12-14,621.97,SELL,2023,X,4
2023-11-24,578.21,BUY,2023,Y,0
2023-11-17,564.32,SELL,2023,X,3
2023-11-13,563.84,BUY,2023,Y,0
2023-11-09,553.17,SELL,2023,X,2
2023-11-01,544.42,BUY,2023,Y,0
2023-10-23,540.01,SHORT,2023,X,1
2023-10-16,558.62,BUY,2023,X,1
2023-10-06,550.87,SELL,2023,X,1
2023-09-27,548.68,BUY,2023,Y,0
2023-09-21,548.89,SELL,2023,Y,0
2023-09-19,550.73,BUY,2023,X,1
2023-09-15,544.78,SELL,2023,X,1
2023-08-23,528.83,BUY,2023,Y,0
2023-08-15,547.0,SHORT,2023,Y,0
2023-08-03,543.15,BUY,2023,Y,0
2023-07-31,548.2,SELL,2023,Y,0
2023-07-11,517.86,BUY,2023,Y,0
2023-07-06,525.42,SELL,2023,Y,0
2023-06-28,520.03,BUY,2023,Y,0
2023-06-20,508.87,SELL,2023,X,4
2023-06-12,508.83,BUY,2023,Y,0
2023-06-07,501.61,SELL,2023,X,3
2023-05-26,477.1,BUY,2023,Y,0
2023-05-22,484.08,SHORT,2023,Y,0
2023-05-11,490.73,BUY,2023,X,2
2023-05-02,483.81,SELL,2023,X,2
2023-04-28,492.03,BUY,2023,X,1
2023-04-26,487.88,SELL,2023,X,1
2023-03-20,478.41,BUY,2023,Y,0
2023-03-10,466.99,SHORT,2023,X,1
2023-03-08,475.23,BUY,2023,X,2
2023-02-22,491.31,SHORT,2023,Y,0
2023-02-13,491.99,BUY,2023,X,1
2023-02-08,498.47,SELL,2023,Y,0
2023-01-06,454.03,BUY,2023,Y,0
2022-12-28,446.09,SHORT,2022,X,1
2022-12-23,452.36,BUY,2022,X,1
2022-12-14,475.99,SHORT,2022,Y,0
2022-12-12,473.62,BUY,2022,Y,0
2022-12-01,506.1,SELL,2022,Y,0
2022-11-08,481.17,BUY,2022,Y,0
2022-10-27,486.25,SELL,2022,Y,0
2022-10-18,462.75,BUY,2022,Y,0
2022-10-10,457.95,SHORT,2022,X,2
2022-10-04,474.39,BUY,2022,X,4
2022-09-30,467.01,SHORT,2022,X,1
2022-09-28,472.14,BUY,2022,X,3
2022-09-13,511.67,SELL,2022,Y,0
2022-09-07,517.86,BUY,2022,X,2
2022-08-30,520.95,SHORT,2022,Y,0
2022-08-25,535.09,BUY,2022,X,1
2022-08-22,539.19,SELL,2022,Y,0
2022-08-15,527.23,BUY,2022,Y,0
