Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,291.82,SELL,2024,,0
2024-07-26,288.2,BUY,2024,Y,0
2024-07-18,294.6,SELL,2024,Y,0
2024-07-08,271.53,BUY,2024,Y,0
2024-06-27,269.24,SELL,2024,X,1
2024-06-18,252.45,BUY,2024,Y,0
2024-05-15,282.2,SHORT,2024,Y,0
2024-05-13,287.21,BUY,2024,X,3
2024-05-09,287.82,SHORT,2024,Y,0
2024-04-23,303.3,BUY,2024,X,2
2024-04-04,304.83,SELL,2024,Y,0
2024-03-28,308.43,BUY,2024,X,1
2024-03-22,303.32,SELL,2024,X,4
2024-03-06,283.97,BUY,2024,Y,0
2024-02-28,275.66,SHORT,2024,X,1
2024-02-15,275.38,BUY,2024,Y,0
2024-02-06,289.75,SHORT,2024,Y,0
2024-02-02,295.68,BUY,2024,X,1
2024-01-31,293.8,SELL,2024,X,3
2024-01-23,288.46,BUY,2024,Y,0
2024-01-10,282.4,SELL,2024,X,2
2023-11-30,238.89,BUY,2023,Y,0
2023-11-27,231.68,SELL,2023,X,1
2023-11-14,234.01,BUY,2023,X,1
2023-11-06,235.75,SHORT,2023,Y,0
2023-11-01,226.63,BUY,2023,Y,0
2023-10-19,246.81,SHORT,2023,Y,0
2023-10-05,252.07,BUY,2023,X,1
2023-09-08,271.84,SELL,2023,Y,0
2023-08-22,262.24,BUY,2023,Y,0
2023-08-15,265.19,SELL,2023,Y,0
2023-07-31,248.91,BUY,2023,Y,0
2023-07-19,257.99,SELL,2023,Y,0
2023-05-26,233.75,BUY,2023,Y,0
2023-05-24,234.09,SELL,2023,Y,0
2023-05-17,231.02,BUY,2023,Y,0
2023-05-12,227.04,SELL,2023,X,3
2023-05-04,223.6,BUY,2023,Y,0
2023-04-19,219.74,SELL,2023,X,2
2023-04-03,211.13,BUY,2023,Y,0
2023-03-23,201.38,SELL,2023,X,1
2023-03-21,204.54,BUY,2023,X,1
2023-03-02,212.5,SELL,2023,Y,0
2023-02-28,211.05,BUY,2023,Y,0
2023-02-21,209.68,SHORT,2023,X,3
2023-02-13,210.34,BUY,2023,X,1
2023-02-06,214.91,SELL,2023,Y,0
2023-02-01,208.49,BUY,2023,Y,0
2023-01-30,201.01,SELL,2023,X,3
2023-01-23,199.28,BUY,2023,Y,0
2023-01-18,193.95,SELL,2023,X,2
2023-01-06,185.37,BUY,2023,Y,0
2023-01-03,183.19,SHORT,2023,X,2
2022-12-21,180.76,BUY,2022,Y,0
2022-12-19,180.57,SHORT,2022,X,1
2022-12-14,190.9,BUY,2022,X,2
2022-12-08,186.67,SELL,2022,X,1
2022-11-30,191.0,BUY,2022,X,1
2022-11-16,192.24,SELL,2022,Y,0
2022-11-07,179.55,BUY,2022,Y,0
2022-10-31,186.12,SELL,2022,Y,0
2022-10-17,171.72,BUY,2022,Y,0
2022-10-07,179.59,SHORT,2022,Y,0
2022-09-29,180.41,BUY,2022,X,3
2022-09-21,198.16,SHORT,2022,Y,0
2022-09-19,203.0,BUY,2022,X,2
2022-09-14,211.23,SHORT,2022,Y,0
2022-09-07,212.37,BUY,2022,X,1
2022-08-29,218.3,SHORT,2022,Y,0
2022-08-25,231.71,BUY,2022,Y,0
