Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,234.46,BUY,2024,,0
2024-07-18,220.49,SELL,2024,X,1
2024-07-11,207.33,BUY,2024,Y,0
2024-07-01,205.49,SHORT,2024,X,1
2024-06-27,207.35,BUY,2024,X,2
2024-06-25,208.25,SHORT,2024,Y,0
2024-06-18,209.8,BUY,2024,X,1
2024-06-11,211.84,SHORT,2024,Y,0
2024-06-05,211.58,BUY,2024,Y,0
2024-05-10,229.1,SHORT,2024,Y,0
2024-05-08,235.29,BUY,2024,X,1
2024-03-11,265.82,SELL,2024,Y,0
2024-02-22,243.16,BUY,2024,Y,0
2024-02-20,241.81,SELL,2024,X,1
2024-02-09,219.94,BUY,2024,Y,0
2024-01-31,221.02,SELL,2024,Y,0
2024-01-29,220.34,BUY,2024,Y,0
2024-01-24,213.13,SHORT,2024,X,1
2024-01-19,207.5,BUY,2024,Y,0
2024-01-10,214.42,SHORT,2024,Y,0
2024-01-08,224.84,BUY,2024,X,2
2024-01-03,229.06,SHORT,2024,Y,0
2023-12-21,235.72,BUY,2023,X,1
2023-12-18,229.07,SELL,2023,X,2
2023-12-08,203.56,BUY,2023,Y,0
2023-12-05,198.34,SELL,2023,X,1
2023-11-14,176.68,BUY,2023,Y,0
2023-11-08,178.22,SELL,2023,Y,0
2023-11-02,170.37,BUY,2023,Y,0
2023-10-20,186.2,SHORT,2023,Y,0
2023-10-16,192.74,BUY,2023,X,2
2023-10-12,190.71,SHORT,2023,X,1
2023-10-06,193.35,BUY,2023,X,1
2023-09-21,204.11,SELL,2023,Y,0
2023-09-13,202.85,BUY,2023,Y,0
2023-09-05,205.93,SHORT,2023,Y,0
2023-08-23,202.0,BUY,2023,Y,0
2023-08-15,213.54,SELL,2023,Y,0
2023-08-04,204.56,BUY,2023,Y,0
2023-08-02,206.73,SELL,2023,Y,0
2023-07-17,209.34,BUY,2023,X,1
2023-07-05,207.25,SELL,2023,X,3
2023-06-29,206.8,BUY,2023,Y,0
2023-06-22,204.17,SELL,2023,X,2
2023-06-12,202.84,BUY,2023,Y,0
2023-05-26,194.12,SELL,2023,X,1
2023-05-18,198.1,BUY,2023,X,3
2023-05-16,190.11,SHORT,2023,X,2
2023-05-03,191.23,BUY,2023,X,2
2023-04-27,186.24,SHORT,2023,X,1
2023-04-24,202.8,BUY,2023,X,1
2023-04-19,204.18,SELL,2023,Y,0
2023-04-13,203.48,BUY,2023,Y,0
2023-04-04,199.42,SELL,2023,X,6
2023-03-27,197.46,BUY,2023,Y,0
2023-03-07,224.08,SHORT,2023,Y,0
2023-03-01,222.92,BUY,2023,Y,0
2023-02-21,245.38,SHORT,2023,Y,0
2023-02-16,254.25,BUY,2023,X,1
2023-02-09,249.82,SELL,2023,X,5
2023-02-01,244.26,BUY,2023,Y,0
2023-01-25,242.03,SELL,2023,X,4
2022-12-29,221.2,BUY,2022,Y,0
2022-12-20,214.53,SHORT,2022,X,1
2022-12-07,212.77,BUY,2022,Y,0
2022-11-30,237.28,SHORT,2022,Y,0
2022-11-25,242.92,BUY,2022,X,1
2022-11-16,241.96,SELL,2022,X,3
2022-11-03,216.1,BUY,2022,Y,0
2022-11-01,210.81,SELL,2022,X,2
2022-10-25,214.02,BUY,2022,X,1
2022-10-19,204.15,SELL,2022,X,1
2022-10-13,199.04,BUY,2022,Y,0
2022-10-07,207.13,SELL,2022,Y,0
2022-09-29,188.19,BUY,2022,Y,0
2022-09-20,195.73,SHORT,2022,Y,0
2022-09-08,209.24,BUY,2022,X,2
2022-08-17,224.31,SHORT,2022,Y,0
2022-08-12,228.33,BUY,2022,X,1
2022-08-05,223.38,SHORT,2022,X,1
