Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,257.93,SELL,2024,,0
2024-07-22,250.79,BUY,2024,Y,0
2024-07-09,255.01,SELL,2024,Y,0
2024-06-20,233.82,BUY,2024,Y,0
2024-06-11,240.99,SHORT,2024,Y,0
2024-06-03,235.6,BUY,2024,Y,0
2024-05-28,271.96,SHORT,2024,Y,0
2024-05-07,276.79,BUY,2024,X,2
2024-03-13,304.68,SELL,2024,Y,0
2024-03-08,305.28,BUY,2024,X,1
2024-03-05,309.98,SELL,2024,Y,0
2024-02-26,296.83,BUY,2024,Y,0
2024-02-20,288.28,SHORT,2024,X,1
2024-02-02,285.66,BUY,2024,Y,0
2024-01-31,282.84,SELL,2024,X,3
2024-01-18,274.15,BUY,2024,Y,0
2024-01-16,269.19,SELL,2024,X,2
2024-01-08,253.27,BUY,2024,Y,0
2024-01-02,259.14,SHORT,2024,Y,0
2023-12-08,250.04,BUY,2023,Y,0
2023-12-06,249.6,SELL,2023,X,1
2023-11-10,210.52,BUY,2023,Y,0
2023-10-20,203.95,SHORT,2023,X,2
2023-10-02,203.71,BUY,2023,Y,0
2023-09-12,222.5,SELL,2023,Y,0
2023-08-25,209.47,BUY,2023,Y,0
2023-08-16,206.99,SHORT,2023,X,1
2023-08-14,209.58,BUY,2023,X,1
2023-07-17,228.0,SELL,2023,Y,0
2023-07-12,222.83,BUY,2023,Y,0
2023-07-06,210.14,SELL,2023,X,5
2023-06-28,209.7,BUY,2023,Y,0
2023-06-21,210.84,SHORT,2023,Y,0
2023-05-26,213.69,BUY,2023,X,2
2023-05-23,206.64,SELL,2023,X,4
2023-05-17,207.36,BUY,2023,X,1
2023-05-12,202.16,SELL,2023,X,3
2023-05-09,198.43,BUY,2023,Y,0
2023-05-02,196.42,SELL,2023,X,2
2023-04-27,194.98,BUY,2023,Y,0
2023-04-24,195.65,SHORT,2023,Y,0
2023-04-21,199.03,BUY,2023,X,1
2023-04-05,195.66,SELL,2023,X,1
2023-02-28,163.61,BUY,2023,Y,0
2023-02-10,167.03,SELL,2023,Y,0
2022-12-30,132.59,BUY,2022,Y,0
2022-12-28,128.58,SHORT,2022,X,1
2022-12-12,131.66,BUY,2022,X,2
2022-12-01,147.0,SELL,2022,Y,0
2022-11-23,149.88,BUY,2022,X,1
2022-11-17,149.69,SELL,2022,X,1
2022-11-08,145.7,BUY,2022,Y,0
2022-11-01,160.59,SELL,2022,Y,0
2022-10-13,143.04,BUY,2022,Y,0
2022-10-07,151.15,SHORT,2022,Y,0
2022-10-04,152.32,BUY,2022,X,3
2022-09-30,145.4,SHORT,2022,X,1
2022-09-28,149.51,BUY,2022,X,2
2022-09-16,151.51,SHORT,2022,Y,0
2022-09-08,153.92,BUY,2022,X,1
2022-08-26,173.24,SHORT,2022,Y,0
2022-08-24,177.4,BUY,2022,Y,0
