Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,78.02,SHORT,2024,,0
2024-07-24,75.83,BUY,2024,Y,0
2024-07-18,75.27,SELL,2024,X,1
2024-07-11,73.79,BUY,2024,Y,0
2024-06-25,73.9,SHORT,2024,Y,0
2024-06-21,73.62,BUY,2024,Y,0
2024-06-14,74.68,SHORT,2024,Y,0
2024-06-11,76.71,BUY,2024,X,2
2024-06-06,77.49,SHORT,2024,Y,0
2024-06-04,78.62,BUY,2024,X,1
2024-05-02,90.24,SHORT,2024,Y,0
2024-04-22,85.31,BUY,2024,Y,0
2024-04-12,91.64,SHORT,2024,Y,0
2024-04-05,94.19,BUY,2024,X,2
2024-03-26,95.31,SELL,2024,Y,0
2024-03-21,97.73,BUY,2024,X,1
2024-03-19,95.74,SELL,2024,X,1
2024-03-12,87.13,BUY,2024,Y,0
2024-03-05,88.05,SELL,2024,Y,0
2024-02-21,83.07,BUY,2024,Y,0
2024-02-16,81.94,SELL,2024,X,2
2024-02-07,84.94,BUY,2024,X,1
2024-01-31,84.85,SELL,2024,X,1
2024-01-18,81.83,BUY,2024,Y,0
2024-01-11,82.11,SHORT,2024,Y,0
2024-01-08,82.65,BUY,2024,X,2
2024-01-03,84.89,SHORT,2024,Y,0
2023-12-22,87.47,BUY,2023,X,1
2023-12-15,87.57,SELL,2023,Y,0
2023-12-12,84.88,BUY,2023,Y,0
2023-12-06,83.79,SELL,2023,X,2
2023-12-01,84.49,BUY,2023,X,1
2023-11-28,83.78,SELL,2023,X,1
2023-11-01,73.67,BUY,2023,Y,0
2023-10-20,73.84,SHORT,2023,Y,0
2023-10-05,77.0,BUY,2023,X,3
2023-09-22,78.06,SHORT,2023,Y,0
2023-09-19,80.06,BUY,2023,X,2
2023-09-11,82.41,SELL,2023,Y,0
2023-09-07,83.44,BUY,2023,X,1
2023-08-31,82.12,SELL,2023,X,3
2023-08-28,81.1,BUY,2023,Y,0
2023-08-16,79.53,SHORT,2023,X,2
2023-08-14,81.19,BUY,2023,X,4
2023-08-10,80.9,SHORT,2023,X,1
2023-08-08,81.76,BUY,2023,X,3
2023-08-02,82.54,SHORT,2023,Y,0
2023-07-31,82.7,BUY,2023,X,2
2023-07-27,84.17,SHORT,2023,Y,0
2023-07-25,91.23,BUY,2023,X,1
2023-07-20,91.03,SELL,2023,X,2
2023-07-11,88.33,BUY,2023,Y,0
2023-07-03,87.86,SELL,2023,X,1
2023-06-13,81.1,BUY,2023,Y,0
2023-06-07,81.55,SELL,2023,Y,0
2023-05-31,78.97,BUY,2023,Y,0
2023-05-25,78.14,SELL,2023,X,6
2023-05-12,75.37,BUY,2023,Y,0
2023-05-09,74.0,SELL,2023,X,5
2023-04-27,72.85,BUY,2023,Y,0
2023-04-25,68.92,SELL,2023,X,4
2023-04-24,70.26,BUY,2023,X,3
2023-04-20,69.01,SELL,2023,X,3
2023-04-13,69.39,BUY,2023,X,2
2023-04-04,68.16,SELL,2023,X,2
2023-03-31,68.65,BUY,2023,X,1
2023-03-28,67.4,SHORT,2023,X,1
2023-03-24,66.21,BUY,2023,Y,0
2023-03-20,66.76,SHORT,2023,Y,0
2023-03-15,67.26,BUY,2023,X,1
2023-03-07,71.47,SHORT,2023,Y,0
2023-03-02,71.03,BUY,2023,Y,0
2023-02-08,76.51,SHORT,2023,Y,0
2023-02-02,80.01,BUY,2023,X,2
2023-01-25,77.37,SELL,2023,X,1
2023-01-23,78.75,BUY,2023,X,1
2023-01-18,79.28,SELL,2023,Y,0
2023-01-10,77.45,BUY,2023,Y,0
2022-12-06,81.43,SHORT,2022,Y,0
2022-11-30,78.85,BUY,2022,Y,0
2022-11-14,82.82,SELL,2022,Y,0
2022-11-10,83.71,BUY,2022,X,1
2022-11-01,82.09,SELL,2022,X,1
2022-10-25,72.11,BUY,2022,Y,0
2022-10-10,73.16,SHORT,2022,Y,0
2022-10-04,73.64,BUY,2022,X,2
2022-09-21,70.48,SHORT,2022,X,1
2022-09-19,71.06,BUY,2022,X,1
2022-09-13,76.64,SELL,2022,Y,0
2022-09-02,70.89,BUY,2022,Y,0
