Date,Price,Signal,Year,Strike,StrikeCount
2024-07-17,27.01,SELL,2024,,0
2024-07-02,26.78,BUY,2024,Y,0
2024-06-26,27.18,SELL,2024,Y,0
2024-06-20,26.83,BUY,2024,Y,0
2024-06-05,27.56,SHORT,2024,Y,0
2024-05-28,27.48,BUY,2024,Y,0
2024-05-23,27.38,SHORT,2024,X,4
2024-05-17,28.19,BUY,2024,X,2
2024-05-13,27.97,SELL,2024,X,1
2024-05-06,28.35,BUY,2024,X,1
2024-04-30,28.11,SHORT,2024,X,3
2024-04-19,27.38,BUY,2024,Y,0
2024-04-05,28.32,SELL,2024,Y,0
2024-03-19,26.83,BUY,2024,Y,0
2024-03-15,26.42,SELL,2024,X,3
2024-03-11,26.46,BUY,2024,X,1
2024-03-07,26.16,SELL,2024,X,2
2024-03-01,25.96,BUY,2024,Y,0
2024-02-26,25.92,SELL,2024,X,1
2024-02-15,24.44,BUY,2024,Y,0
2024-02-14,23.97,SHORT,2024,X,2
2024-02-08,24.44,BUY,2024,X,1
2024-01-29,25.06,SELL,2024,Y,0
2024-01-24,24.94,BUY,2024,Y,0
2024-01-11,25.24,SELL,2024,Y,0
2024-01-09,25.75,BUY,2024,X,1
2023-12-29,25.52,SHORT,2023,X,1
2023-12-11,24.86,BUY,2023,Y,0
2023-11-28,26.14,SHORT,2023,Y,0
2023-11-24,26.77,BUY,2023,X,2
2023-11-09,26.91,SHORT,2023,Y,0
2023-11-01,27.55,BUY,2023,X,1
2023-10-20,29.01,SELL,2023,Y,0
2023-10-06,26.58,BUY,2023,Y,0
2023-10-02,26.81,SHORT,2023,Y,0
2023-09-27,26.97,BUY,2023,X,1
2023-09-19,27.61,SHORT,2023,Y,0
2023-07-18,26.04,BUY,2023,Y,0
2023-07-14,26.21,SELL,2023,Y,0
2023-07-07,25.13,BUY,2023,Y,0
2023-07-03,25.17,SELL,2023,Y,0
2023-06-27,24.27,BUY,2023,Y,0
2023-06-20,24.44,SELL,2023,Y,0
2023-06-16,25.21,BUY,2023,X,1
2023-06-14,24.42,SHORT,2023,X,1
2023-06-02,23.38,BUY,2023,Y,0
2023-05-30,23.68,SHORT,2023,Y,0
2023-05-22,25.67,BUY,2023,X,3
2023-05-17,24.65,SHORT,2023,X,3
2023-05-15,25.23,BUY,2023,X,2
2023-05-02,24.91,SELL,2023,X,1
2023-04-28,25.29,BUY,2023,X,1
2023-04-17,25.68,SELL,2023,Y,0
2023-03-27,23.76,BUY,2023,Y,0
2023-03-23,23.38,SHORT,2023,X,2
2023-03-20,23.59,BUY,2023,X,2
2023-03-08,25.53,SELL,2023,Y,0
2023-03-03,25.76,BUY,2023,X,1
2023-02-28,24.97,SELL,2023,X,1
2023-02-22,23.26,BUY,2023,Y,0
2023-02-16,24.78,SELL,2023,Y,0
2023-02-09,24.36,BUY,2023,Y,0
2023-01-24,25.55,SELL,2023,Y,0
2023-01-19,25.23,BUY,2023,Y,0
2023-01-11,24.69,SELL,2023,X,1
2023-01-06,24.1,BUY,2023,Y,0
2022-12-28,24.38,SELL,2022,Y,0
2022-12-21,25.07,BUY,2022,X,4
2022-12-19,24.31,SHORT,2022,X,1
2022-12-15,24.97,BUY,2022,X,3
2022-11-16,27.17,SHORT,2022,Y,0
2022-11-11,28.22,BUY,2022,X,2
2022-11-08,29.13,SELL,2022,Y,0
2022-10-31,30.43,BUY,2022,X,1
2022-10-21,29.67,SELL,2022,X,2
2022-10-18,29.4,BUY,2022,Y,0
2022-10-14,28.42,SELL,2022,X,1
2022-09-28,25.78,BUY,2022,Y,0
2022-09-16,29.95,SHORT,2022,Y,0
2022-09-14,31.06,BUY,2022,X,2
2022-08-26,31.11,SELL,2022,Y,0
2022-08-10,28.25,BUY,2022,X,1
