Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,157.1,SELL,2024,,0
2024-07-25,155.9,BUY,2024,Y,0
2024-07-22,157.67,SELL,2024,Y,0
2024-07-10,154.86,BUY,2024,Y,0
2024-06-13,153.24,SHORT,2024,X,8
2024-06-07,156.08,BUY,2024,X,2
2024-06-05,155.62,SHORT,2024,X,7
2024-05-31,159.18,BUY,2024,X,1
2024-05-13,165.07,SELL,2024,Y,0
2024-05-09,163.58,BUY,2024,Y,0
2024-05-03,160.25,SHORT,2024,X,6
2024-04-24,163.41,BUY,2024,X,1
2024-04-12,161.33,SHORT,2024,X,5
2024-03-25,156.02,BUY,2024,Y,0
2024-03-20,154.55,SELL,2024,X,1
2024-03-08,149.88,BUY,2024,Y,0
2024-02-23,154.66,SELL,2024,Y,0
2024-02-15,152.13,BUY,2024,Y,0
2024-02-09,151.6,SELL,2024,X,1
2024-02-02,151.37,BUY,2024,Y,0
2024-01-31,148.07,SHORT,2024,X,4
2024-01-25,146.72,BUY,2024,Y,0
2024-01-05,150.4,SELL,2024,Y,0
2024-01-03,150.12,BUY,2024,Y,0
2023-12-28,149.77,SELL,2023,X,1
2023-12-13,144.61,BUY,2023,Y,0
2023-12-07,142.42,SHORT,2023,X,3
2023-12-04,144.87,BUY,2023,X,5
2023-11-30,143.6,SHORT,2023,X,2
2023-11-24,144.9,BUY,2023,X,4
2023-11-07,144.65,SHORT,2023,X,1
2023-11-02,148.04,BUY,2023,X,3
2023-10-24,160.33,SHORT,2023,Y,0
2023-10-13,164.06,BUY,2023,X,2
2023-10-12,161.23,SHORT,2023,X,1
2023-10-09,166.72,BUY,2023,X,1
2023-09-29,169.62,SELL,2023,Y,0
2023-08-18,160.3,BUY,2023,Y,0
2023-08-15,161.76,SHORT,2023,Y,0
2023-08-11,161.39,BUY,2023,Y,0
2023-07-27,161.53,SELL,2023,Y,0
2023-07-18,153.75,BUY,2023,Y,0
2023-07-14,156.46,SELL,2023,Y,0
2023-07-10,154.76,BUY,2023,Y,0
2023-07-06,154.65,SELL,2023,X,2
2023-06-29,155.97,BUY,2023,X,1
2023-06-20,155.6,SELL,2023,X,1
2023-06-02,155.11,BUY,2023,Y,0
2023-05-31,151.01,SHORT,2023,X,1
2023-05-23,156.24,BUY,2023,X,2
2023-05-02,164.74,SHORT,2023,Y,0
2023-04-28,167.68,BUY,2023,X,1
2023-04-17,171.67,SELL,2023,Y,0
2023-04-11,169.22,BUY,2023,Y,0
2023-04-06,168.45,SELL,2023,X,1
2023-03-27,157.65,BUY,2023,Y,0
2023-03-23,155.53,SHORT,2023,X,1
2023-03-21,157.7,BUY,2023,X,1
2023-03-08,162.99,SHORT,2023,Y,0
2023-03-02,162.56,BUY,2023,Y,0
2023-02-28,162.06,SHORT,2023,X,1
2023-02-24,161.33,BUY,2023,Y,0
2023-02-16,167.61,SHORT,2023,Y,0
2023-02-14,172.32,BUY,2023,X,2
2023-02-09,169.42,SHORT,2023,X,1
2023-02-07,170.65,BUY,2023,X,1
2023-01-30,177.38,SELL,2023,Y,0
2023-01-12,176.59,BUY,2023,Y,0
2023-01-03,176.36,SELL,2023,X,2
2022-12-15,171.04,BUY,2022,Y,0
2022-12-02,181.03,SHORT,2022,Y,0
2022-11-11,184.67,BUY,2022,X,1
2022-11-09,182.98,SELL,2022,X,1
2022-10-04,154.95,BUY,2022,Y,0
2022-09-30,143.67,SHORT,2022,X,1
2022-09-28,142.75,BUY,2022,Y,0
2022-08-26,163.41,SELL,2022,Y,0
2022-08-11,158.64,BUY,2022,X,1
