Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,901.94,BUY,2024,,0
2024-07-01,963.13,SHORT,2024,Y,0
2024-06-26,981.26,BUY,2024,X,1
2024-06-04,1075.77,SELL,2024,Y,0
2024-05-28,1045.15,BUY,2024,Y,0
2024-05-22,892.94,SELL,2024,X,3
2024-05-15,892.4,BUY,2024,Y,0
2024-05-08,853.48,SELL,2024,X,2
2024-04-23,820.37,BUY,2024,Y,0
2024-04-02,915.16,SHORT,2024,Y,0
2024-03-13,920.14,BUY,2024,X,1
2024-03-11,902.31,SELL,2024,X,1
2024-02-09,842.53,BUY,2024,Y,0
2024-02-06,847.16,SELL,2024,Y,0
2024-02-01,772.17,BUY,2024,Y,0
2024-01-23,756.42,SELL,2024,X,3
2024-01-03,678.34,BUY,2024,Y,0
2023-12-26,688.92,SHORT,2023,Y,0
2023-12-08,695.38,BUY,2023,X,1
2023-12-06,687.73,SELL,2023,X,2
2023-11-20,623.6,BUY,2023,Y,0
2023-11-16,621.35,SELL,2023,X,1
2023-10-27,547.61,BUY,2023,Y,0
2023-10-12,506.03,SHORT,2023,X,1
2023-10-02,515.98,BUY,2023,X,1
2023-09-15,531.26,SHORT,2023,Y,0
2023-08-31,529.09,BUY,2023,Y,0
2023-08-09,557.94,SELL,2023,Y,0
2023-07-25,553.74,BUY,2023,Y,0
2023-07-19,543.72,SELL,2023,X,7
2023-07-11,543.26,BUY,2023,Y,0
2023-07-07,527.18,SELL,2023,X,6
2023-06-30,523.62,BUY,2023,Y,0
2023-06-20,508.35,SELL,2023,X,5
2023-06-14,502.91,BUY,2023,Y,0
2023-06-09,488.54,SELL,2023,X,4
2023-06-05,479.73,BUY,2023,Y,0
2023-06-01,469.64,SELL,2023,X,3
2023-05-26,452.24,BUY,2023,Y,0
2023-05-16,481.26,SHORT,2023,Y,0
2023-05-09,492.97,BUY,2023,X,2
2023-05-04,478.77,SELL,2023,X,2
2023-05-01,483.82,BUY,2023,X,1
2023-04-25,476.28,SELL,2023,X,1
2023-03-21,425.23,BUY,2023,Y,0
2023-03-08,430.47,SELL,2023,Y,0
2023-02-27,406.38,BUY,2023,Y,0
2023-02-16,408.84,SELL,2023,Y,0
2023-02-07,417.61,BUY,2023,X,3
2023-02-03,414.36,SHORT,2023,X,3
2023-02-01,427.34,BUY,2023,X,2
2023-01-30,420.35,SELL,2023,X,4
2023-01-24,421.23,BUY,2023,X,1
2023-01-19,416.94,SELL,2023,X,3
2023-01-09,397.07,BUY,2023,Y,0
2023-01-03,389.23,SELL,2023,X,2
2022-12-23,390.87,BUY,2022,X,1
2022-12-05,384.41,SELL,2022,X,1
2022-11-17,348.99,BUY,2022,Y,0
2022-11-14,334.04,SHORT,2022,X,2
2022-11-10,344.85,BUY,2022,X,2
2022-10-27,359.93,SELL,2022,Y,0
2022-10-25,366.79,BUY,2022,X,1
2022-10-20,352.79,SELL,2022,X,1
2022-10-12,338.42,BUY,2022,Y,0
2022-10-10,334.18,SHORT,2022,X,1
2022-09-28,322.4,BUY,2022,Y,0
2022-09-21,335.25,SELL,2022,Y,0
2022-09-07,326.23,BUY,2022,Y,0
2022-08-30,326.42,SHORT,2022,Y,0
2022-08-12,331.0,BUY,2022,Y,0
