Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,145.38,BUY,2024,,0
2024-07-23,143.34,SELL,2024,X,1
2024-07-03,140.41,BUY,2024,Y,0
2024-06-10,141.47,SHORT,2024,Y,0
2024-05-30,138.99,BUY,2024,Y,0
2024-05-21,143.34,SELL,2024,Y,0
2024-05-09,137.37,BUY,2024,Y,0
2024-04-26,134.57,SELL,2024,X,1
2024-04-22,129.16,BUY,2024,Y,0
2024-04-04,131.87,SELL,2024,Y,0
2024-03-04,125.31,BUY,2024,Y,0
2024-02-14,127.72,SHORT,2024,Y,0
2024-02-09,126.74,BUY,2024,Y,0
2024-01-10,141.02,SELL,2024,Y,0
2023-12-19,136.45,BUY,2023,Y,0
2023-12-15,135.88,SHORT,2023,X,2
2023-12-13,140.55,BUY,2023,X,1
2023-12-05,135.73,SELL,2023,X,3
2023-11-14,133.24,BUY,2023,Y,0
2023-11-07,132.88,SELL,2023,X,2
2023-10-25,123.97,BUY,2023,Y,0
2023-10-23,122.16,SELL,2023,X,1
2023-10-16,122.81,BUY,2023,X,1
2023-10-11,122.73,SHORT,2023,X,1
2023-10-04,121.67,BUY,2023,Y,0
2023-09-01,131.43,SHORT,2023,Y,0
2023-08-30,133.48,BUY,2023,X,2
2023-08-16,133.0,SHORT,2023,X,1
2023-08-14,135.16,BUY,2023,X,1
2023-08-08,135.22,SHORT,2023,Y,0
2023-07-31,135.21,BUY,2023,Y,0
2023-07-26,137.8,SELL,2023,Y,0
2023-07-21,144.08,BUY,2023,X,1
2023-07-17,139.91,SHORT,2023,X,1
2023-07-10,139.76,BUY,2023,Y,0
2023-06-30,141.14,SELL,2023,Y,0
2023-05-15,131.41,BUY,2023,Y,0
2023-04-28,139.46,SELL,2023,Y,0
2023-04-19,143.55,BUY,2023,X,1
2023-04-12,143.11,SELL,2023,X,1
2023-03-21,134.23,BUY,2023,Y,0
2023-03-07,139.82,SHORT,2023,Y,0
2023-03-01,138.95,BUY,2023,Y,0
2023-02-21,144.12,SELL,2023,Y,0
2023-02-07,145.85,BUY,2023,X,3
2023-02-02,145.47,SELL,2023,X,1
2023-01-23,146.76,BUY,2023,X,2
2023-01-10,152.54,SHORT,2023,Y,0
2023-01-06,155.64,BUY,2023,X,1
2022-12-30,156.44,SELL,2022,Y,0
2022-12-08,149.89,BUY,2022,Y,0
2022-12-02,150.46,SELL,2022,Y,0
2022-11-23,147.76,BUY,2022,Y,0
2022-11-15,149.79,SELL,2022,Y,0
2022-11-07,144.26,BUY,2022,Y,0
2022-11-01,143.19,SELL,2022,X,1
2022-10-11,124.36,BUY,2022,Y,0
2022-10-06,126.7,SELL,2022,Y,0
2022-10-04,126.52,BUY,2022,Y,0
2022-09-30,123.92,SHORT,2022,X,1
2022-09-28,123.85,BUY,2022,Y,0
2022-09-21,123.94,SHORT,2022,Y,0
2022-09-19,125.13,BUY,2022,X,2
2022-09-14,125.37,SHORT,2022,Y,0
2022-09-07,126.52,BUY,2022,X,1
2022-08-29,126.63,SHORT,2022,Y,0
2022-08-25,129.56,BUY,2022,Y,0
