Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,278.51,SELL,2024,,0
2024-07-24,262.76,BUY,2024,Y,0
2024-07-18,245.09,SELL,2024,X,4
2024-07-10,241.45,BUY,2024,Y,0
2024-06-27,251.76,SHORT,2024,Y,0
2024-06-24,255.81,BUY,2024,X,2
2024-06-13,260.37,SHORT,2024,Y,0
2024-06-05,265.16,BUY,2024,X,1
2024-05-23,264.75,SELL,2024,X,3
2024-04-24,249.87,BUY,2024,Y,0
2024-04-12,241.57,SHORT,2024,X,1
2024-04-09,247.38,BUY,2024,X,2
2024-03-20,251.68,SHORT,2024,Y,0
2024-03-13,255.35,BUY,2024,X,1
2024-03-05,254.39,SELL,2024,X,2
2024-02-14,247.63,BUY,2024,Y,0
2024-02-08,245.87,SELL,2024,X,1
2024-01-19,227.34,BUY,2024,Y,0
2024-01-03,230.81,SELL,2024,Y,0
2023-11-21,215.12,BUY,2023,Y,0
2023-11-17,207.96,SELL,2023,X,1
2023-11-14,201.0,BUY,2023,Y,0
2023-11-09,196.18,SHORT,2023,X,1
2023-11-02,192.98,BUY,2023,Y,0
2023-10-13,209.43,SHORT,2023,Y,0
2023-10-09,218.37,BUY,2023,X,1
2023-09-21,223.82,SHORT,2023,Y,0
2023-09-13,222.3,BUY,2023,Y,0
2023-09-12,220.12,SHORT,2023,X,2
2023-08-23,224.31,BUY,2023,X,2
2023-08-11,226.4,SELL,2023,Y,0
2023-08-08,227.65,BUY,2023,X,1
2023-07-31,226.08,SELL,2023,X,6
2023-06-30,212.73,BUY,2023,Y,0
2023-06-22,210.68,SELL,2023,X,5
2023-06-13,211.69,BUY,2023,X,1
2023-06-09,208.63,SELL,2023,X,4
2023-06-06,207.77,BUY,2023,Y,0
2023-05-30,203.08,SHORT,2023,X,1
2023-05-18,200.71,BUY,2023,Y,0
2023-05-12,204.44,SHORT,2023,Y,0
2023-05-01,212.69,BUY,2023,X,6
2023-04-27,205.79,SHORT,2023,X,1
2023-04-10,220.83,BUY,2023,X,5
2023-03-28,218.81,SELL,2023,X,3
2023-03-16,220.52,BUY,2023,X,4
2023-03-07,220.76,SHORT,2023,Y,0
2023-03-03,223.94,BUY,2023,X,3
2023-02-09,231.44,SHORT,2023,Y,0
2023-01-27,235.76,BUY,2023,X,2
2023-01-25,234.33,SELL,2023,X,2
2023-01-20,242.37,BUY,2023,X,1
2023-01-18,242.31,SELL,2023,X,1
2023-01-10,229.94,BUY,2023,Y,0
2023-01-03,233.98,SHORT,2023,Y,0
2022-12-29,233.64,BUY,2022,Y,0
2022-12-16,235.64,SELL,2022,Y,0
2022-12-08,239.0,BUY,2022,X,6
2022-12-06,235.2,SELL,2022,X,2
2022-12-02,240.08,BUY,2022,X,5
2022-11-29,229.59,SELL,2022,X,1
2022-11-25,235.59,BUY,2022,X,4
2022-11-16,235.92,SELL,2022,Y,0
2022-11-11,239.22,BUY,2022,X,3
2022-11-09,222.23,SELL,2022,X,1
2022-11-01,225.62,BUY,2022,X,2
2022-10-25,223.26,SHORT,2022,X,1
2022-10-17,228.74,BUY,2022,X,1
2022-10-07,242.59,SHORT,2022,Y,0
2022-10-03,236.71,BUY,2022,Y,0
2022-09-14,249.72,SHORT,2022,Y,0
2022-09-07,242.48,BUY,2022,Y,0
2022-08-29,245.81,SHORT,2022,Y,0
2022-08-25,255.3,BUY,2022,X,1
2022-08-17,264.08,SELL,2022,Y,0
2022-08-10,257.83,BUY,2022,Y,0
