Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,150.81,BUY,2024,,0
2024-07-25,151.09,SELL,2024,Y,0
2024-07-22,155.56,BUY,2024,X,3
2024-07-18,155.79,SELL,2024,Y,0
2024-07-11,157.73,BUY,2024,X,2
2024-07-05,151.44,SELL,2024,X,5
2024-07-01,152.13,BUY,2024,X,1
2024-06-25,146.44,SELL,2024,X,4
2024-05-30,143.65,BUY,2024,Y,0
2024-05-20,143.35,SELL,2024,X,3
2024-05-16,144.94,BUY,2024,X,2
2024-05-08,140.25,SELL,2024,X,2
2024-05-07,144.63,BUY,2024,X,1
2024-04-30,140.5,SELL,2024,X,1
2024-04-23,137.16,BUY,2024,Y,0
2024-04-10,141.4,SELL,2024,Y,0
2024-04-05,141.46,BUY,2024,X,1
2024-04-01,143.28,SHORT,2024,Y,0
2024-03-27,141.01,BUY,2024,Y,0
2024-03-06,149.81,SELL,2024,Y,0
2024-03-04,151.39,BUY,2024,X,2
2024-02-16,139.46,SELL,2024,X,4
2024-02-02,144.38,BUY,2024,X,1
2024-01-31,143.69,SELL,2024,X,3
2024-01-26,143.2,BUY,2024,Y,0
2024-01-24,138.51,SELL,2024,X,2
2024-01-22,139.07,BUY,2024,X,1
2024-01-18,135.06,SELL,2024,X,1
2024-01-10,134.49,BUY,2024,Y,0
2024-01-05,130.83,SHORT,2024,X,2
2023-12-26,135.58,BUY,2023,X,2
2023-12-18,132.32,SHORT,2023,X,1
2023-12-13,135.49,BUY,2023,X,1
2023-12-06,137.27,SELL,2023,Y,0
2023-11-14,132.63,BUY,2023,Y,0
2023-11-06,131.83,SELL,2023,X,1
2023-10-24,118.23,BUY,2023,Y,0
2023-10-18,121.43,SELL,2023,Y,0
2023-10-05,117.7,BUY,2023,Y,0
2023-09-13,129.51,SHORT,2023,Y,0
2023-08-31,131.72,BUY,2023,X,1
2023-08-25,125.95,SELL,2023,X,4
2023-08-14,121.33,BUY,2023,Y,0
2023-08-03,121.57,SHORT,2023,Y,0
2023-07-31,123.22,BUY,2023,X,1
2023-07-26,120.18,SELL,2023,X,3
2023-07-21,119.6,BUY,2023,Y,0
2023-07-18,117.47,SELL,2023,X,2
2023-06-27,108.28,BUY,2023,Y,0
2023-06-21,104.34,SELL,2023,X,1
2023-05-25,92.06,BUY,2023,Y,0
2023-05-12,97.32,SELL,2023,Y,0
2023-05-04,95.88,BUY,2023,Y,0
2023-05-01,98.3,SELL,2023,Y,0
2023-04-24,97.49,BUY,2023,Y,0
2023-04-20,95.19,SELL,2023,X,1
2023-04-18,96.54,BUY,2023,X,3
2023-04-04,92.78,SHORT,2023,X,1
2023-03-31,94.22,BUY,2023,X,2
2023-03-10,103.82,SHORT,2023,Y,0
2023-03-03,104.21,BUY,2023,X,1
2023-02-08,112.61,SELL,2023,Y,0
2023-01-20,105.65,BUY,2023,Y,0
2023-01-18,105.62,SELL,2023,X,1
2023-01-03,101.85,BUY,2023,Y,0
2022-12-28,99.7,SHORT,2022,X,1
2022-12-21,99.42,BUY,2022,Y,0
2022-12-06,108.78,SHORT,2022,Y,0
2022-11-30,109.13,BUY,2022,X,1
2022-11-22,109.5,SELL,2022,Y,0
2022-11-11,108.85,BUY,2022,Y,0
2022-11-01,99.9,SELL,2022,X,1
2022-10-17,93.24,BUY,2022,Y,0
2022-10-06,98.21,SHORT,2022,Y,0
2022-10-03,100.45,BUY,2022,X,2
2022-09-14,117.27,SHORT,2022,Y,0
2022-09-07,121.15,BUY,2022,X,1
2022-08-18,131.73,SELL,2022,Y,0
2022-08-10,132.5,BUY,2022,Y,0
