Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,145.65,SELL,2024,,0
2024-07-29,142.87,BUY,2024,Y,0
2024-07-18,143.74,SELL,2024,Y,0
2024-07-12,141.33,BUY,2024,Y,0
2024-06-26,152.13,SELL,2024,Y,0
2024-06-24,154.13,BUY,2024,X,2
2024-06-07,148.54,SELL,2024,X,1
2024-05-31,148.75,BUY,2024,X,1
2024-05-21,151.32,SELL,2024,Y,0
2024-05-10,148.25,BUY,2024,Y,0
2024-04-29,155.49,SHORT,2024,Y,0
2024-04-22,153.94,BUY,2024,Y,0
2024-04-18,152.3,SHORT,2024,X,1
2024-04-16,154.14,BUY,2024,X,3
2024-04-11,155.57,SHORT,2024,Y,0
2024-04-09,158.31,BUY,2024,X,2
2024-04-05,157.41,SHORT,2024,X,1
2024-03-27,164.56,BUY,2024,X,1
2024-03-08,171.99,SELL,2024,Y,0
2024-02-16,162.46,BUY,2024,Y,0
2024-02-13,162.62,SHORT,2024,Y,0
2024-02-08,167.77,BUY,2024,X,1
2024-02-05,164.51,SELL,2024,X,3
2024-01-17,157.71,BUY,2024,Y,0
2024-01-11,159.99,SHORT,2024,Y,0
2023-12-15,162.37,BUY,2023,X,1
2023-12-08,159.33,SELL,2023,X,2
2023-11-10,149.27,BUY,2023,Y,0
2023-11-07,148.54,SELL,2023,X,1
2023-10-10,138.21,BUY,2023,Y,0
2023-09-18,149.4,SHORT,2023,Y,0
2023-09-14,150.4,BUY,2023,X,3
2023-09-05,154.72,SHORT,2023,Y,0
2023-08-30,157.14,BUY,2023,X,2
2023-08-01,166.77,SHORT,2023,Y,0
2023-07-27,169.77,BUY,2023,X,1
2023-07-24,170.08,SELL,2023,Y,0
2023-07-17,169.12,BUY,2023,Y,0
2023-07-05,166.26,SELL,2023,X,1
2023-05-15,149.96,BUY,2023,Y,0
2023-05-08,152.13,SELL,2023,Y,0
2023-04-27,150.04,BUY,2023,Y,0
2023-04-19,151.55,SHORT,2023,Y,0
2023-04-11,152.2,BUY,2023,X,1
2023-04-04,153.09,SELL,2023,Y,0
2023-03-15,146.91,BUY,2023,Y,0
2023-03-07,146.58,SELL,2023,X,1
2023-03-02,144.29,BUY,2023,Y,0
2023-02-08,148.45,SELL,2023,Y,0
2023-02-06,148.63,BUY,2023,X,2
2023-01-30,147.35,SELL,2023,X,5
2023-01-26,148.87,BUY,2023,X,1
2023-01-18,148.16,SELL,2023,X,4
2022-12-29,140.08,BUY,2022,Y,0
2022-12-05,143.54,SHORT,2022,Y,0
2022-11-10,144.45,BUY,2022,X,1
2022-11-02,142.12,SELL,2022,X,3
2022-10-11,127.55,BUY,2022,Y,0
2022-10-07,127.54,SELL,2022,X,2
2022-10-05,132.8,BUY,2022,X,2
2022-09-22,128.42,SHORT,2022,X,2
2022-09-15,130.43,BUY,2022,X,1
2022-09-13,129.72,SELL,2022,X,1
2022-09-01,124.96,BUY,2022,Y,0
2022-08-30,124.42,SHORT,2022,X,1
2022-08-25,128.79,BUY,2022,X,1
2022-08-18,132.37,SELL,2022,Y,0
2022-08-09,125.79,BUY,2022,Y,0
