Date,Price,Signal,Year,Strike,StrikeCount
2024-07-24,117.57,BUY,2024,,0
2024-07-19,116.09,SELL,2024,X,1
2024-07-11,110.2,BUY,2024,Y,0
2024-06-28,111.1,SHORT,2024,Y,0
2024-06-24,112.8,BUY,2024,X,1
2024-06-05,114.54,SELL,2024,Y,0
2024-05-31,113.52,BUY,2024,Y,0
2024-05-29,111.94,SELL,2024,X,2
2024-05-01,111.17,BUY,2024,Y,0
2024-04-26,109.98,SELL,2024,X,1
2024-04-18,105.99,BUY,2024,Y,0
2024-04-03,110.39,SELL,2024,Y,0
2024-03-28,111.66,BUY,2024,X,1
2024-03-21,109.7,SHORT,2024,X,2
2024-03-18,109.48,BUY,2024,Y,0
2024-03-12,111.93,SELL,2024,Y,0
2024-02-28,107.66,BUY,2024,Y,0
2024-02-22,107.15,SELL,2024,X,1
2024-02-07,104.82,BUY,2024,Y,0
2024-02-05,103.92,SHORT,2024,X,1
2024-01-29,103.84,BUY,2024,Y,0
2024-01-11,110.12,SELL,2024,Y,0
2023-12-01,104.61,BUY,2023,Y,0
2023-11-29,104.54,SELL,2023,X,2
2023-11-24,105.08,BUY,2023,X,1
2023-11-20,102.87,SELL,2023,X,1
2023-11-02,96.95,BUY,2023,Y,0
2023-10-27,97.65,SELL,2023,Y,0
2023-10-24,97.28,BUY,2023,Y,0
2023-10-18,97.8,SHORT,2023,Y,0
2023-10-11,97.84,BUY,2023,X,1
2023-09-21,106.09,SELL,2023,Y,0
2023-09-07,101.88,BUY,2023,Y,0
2023-09-01,103.69,SHORT,2023,Y,0
2023-08-18,105.39,BUY,2023,X,1
2023-07-28,113.99,SELL,2023,Y,0
2023-07-20,112.04,BUY,2023,Y,0
2023-07-17,112.59,SELL,2023,Y,0
2023-07-13,113.21,BUY,2023,X,3
2023-07-07,109.99,SELL,2023,X,1
2023-07-05,111.98,BUY,2023,X,2
2023-06-22,112.94,SELL,2023,Y,0
2023-06-14,112.95,BUY,2023,X,1
2023-06-12,111.16,SELL,2023,X,1
2023-06-05,109.37,BUY,2023,Y,0
2023-05-25,107.67,SHORT,2023,X,2
2023-05-23,109.16,BUY,2023,X,1
2023-05-15,112.75,SELL,2023,Y,0
2023-05-04,112.68,BUY,2023,Y,0
2023-04-28,112.62,SELL,2023,X,3
2023-04-20,113.37,BUY,2023,X,2
2023-04-17,112.94,SELL,2023,X,2
2023-04-06,113.11,BUY,2023,X,1
2023-04-03,108.99,SELL,2023,X,1
2023-03-29,107.11,BUY,2023,Y,0
2023-03-21,106.71,SHORT,2023,X,1
2023-03-15,107.65,BUY,2023,X,3
2023-03-07,108.5,SHORT,2023,Y,0
2023-03-03,108.69,BUY,2023,X,2
2023-02-21,113.24,SELL,2023,Y,0
2023-02-13,114.04,BUY,2023,X,1
2023-02-02,115.39,SHORT,2023,Y,0
2023-01-27,113.59,BUY,2023,Y,0
2023-01-12,119.45,SELL,2023,Y,0
2023-01-04,118.76,BUY,2023,Y,0
2022-12-30,117.86,SELL,2022,X,5
2022-12-12,118.5,BUY,2022,X,4
2022-12-07,114.41,SELL,2022,X,4
2022-12-06,115.77,BUY,2022,X,3
2022-11-29,114.29,SELL,2022,X,3
2022-11-23,114.29,BUY,2022,X,2
2022-11-21,113.0,SELL,2022,X,2
2022-11-16,114.83,BUY,2022,X,1
2022-11-14,113.91,SELL,2022,X,1
2022-11-04,112.39,BUY,2022,Y,0
2022-11-02,111.3,SHORT,2022,X,1
2022-10-25,107.87,BUY,2022,Y,0
2022-10-20,108.2,SHORT,2022,Y,0
2022-10-17,106.83,BUY,2022,Y,0
2022-10-06,115.14,SHORT,2022,Y,0
2022-10-04,117.31,BUY,2022,X,1
2022-09-13,133.22,SELL,2022,Y,0
2022-09-07,132.38,BUY,2022,Y,0
2022-08-30,132.41,SHORT,2022,Y,0
2022-08-25,134.79,BUY,2022,X,2
2022-08-22,134.64,SELL,2022,X,1
2022-08-09,130.71,BUY,2022,X,1
