Date,Price,Signal,Year,Strike,StrikeCount
2024-07-24,506.85,BUY,2024,,0
2024-07-15,530.91,SELL,2024,Y,0
2024-07-10,531.3,BUY,2024,X,4
2024-07-01,534.55,SELL,2024,Y,0
2024-06-24,541.71,BUY,2024,X,3
2024-05-28,519.19,SHORT,2024,X,2
2024-05-22,547.75,BUY,2024,X,2
2024-05-20,541.79,SELL,2024,X,2
2024-05-16,543.01,BUY,2024,X,1
2024-05-14,536.74,SELL,2024,X,1
2024-05-03,526.96,BUY,2024,Y,0
2024-04-29,535.16,SELL,2024,Y,0
2024-04-18,522.57,BUY,2024,Y,0
2024-04-11,505.75,SHORT,2024,X,1
2024-04-05,507.35,BUY,2024,X,1
2024-03-28,518.54,SELL,2024,Y,0
2024-03-11,506.74,BUY,2024,Y,0
2024-02-26,506.9,SELL,2024,Y,0
2024-01-23,472.16,BUY,2024,Y,0
2024-01-16,476.71,SHORT,2024,Y,0
2023-12-22,466.59,BUY,2023,Y,0
2023-12-15,472.58,SHORT,2023,Y,0
2023-12-13,485.15,BUY,2023,X,2
2023-12-07,476.96,SELL,2023,X,3
2023-12-01,481.38,BUY,2023,X,1
2023-11-28,475.49,SELL,2023,X,2
2023-11-14,461.75,BUY,2023,Y,0
2023-11-09,453.06,SELL,2023,X,1
2023-10-31,450.09,BUY,2023,Y,0
2023-10-20,453.78,SELL,2023,Y,0
2023-10-17,464.92,BUY,2023,X,1
2023-10-12,453.53,SELL,2023,X,1
2023-10-05,439.67,BUY,2023,Y,0
2023-09-12,445.3,SHORT,2023,Y,0
2023-09-07,450.33,BUY,2023,X,4
2023-09-01,444.09,SHORT,2023,X,1
2023-08-29,457.14,BUY,2023,X,3
2023-08-23,461.48,SHORT,2023,Y,0
2023-08-18,462.78,BUY,2023,X,2
2023-08-15,467.82,SELL,2023,Y,0
2023-08-11,472.65,BUY,2023,X,1
2023-07-26,469.59,SELL,2023,X,1
2023-07-11,434.2,BUY,2023,Y,0
2023-07-07,433.88,SHORT,2023,X,2
2023-06-30,441.83,BUY,2023,X,3
2023-06-28,438.95,SHORT,2023,X,1
2023-06-21,442.29,BUY,2023,X,2
2023-06-16,451.27,SHORT,2023,Y,0
2023-06-09,469.1,BUY,2023,X,1
2023-06-06,474.52,SELL,2023,Y,0
2023-05-31,443.97,BUY,2023,Y,0
2023-05-25,450.87,SHORT,2023,Y,0
2023-05-17,459.74,BUY,2023,X,2
2023-05-10,459.35,SHORT,2023,X,2
2023-05-08,465.19,BUY,2023,X,1
2023-05-03,464.49,SHORT,2023,X,1
2023-04-24,459.04,BUY,2023,Y,0
2023-04-19,465.95,SELL,2023,Y,0
2023-03-30,458.92,BUY,2023,Y,0
2023-03-23,463.56,SHORT,2023,Y,0
2023-03-16,460.74,BUY,2023,Y,0
2023-03-09,464.97,SHORT,2023,Y,0
2023-03-06,472.84,BUY,2023,X,1
2023-02-21,489.55,SELL,2023,Y,0
2023-02-08,479.74,BUY,2023,Y,0
2023-01-30,489.88,SHORT,2023,Y,0
2023-01-25,484.87,BUY,2023,Y,0
2023-01-18,473.73,SHORT,2023,X,1
2023-01-11,480.54,BUY,2023,X,1
2022-12-09,526.52,SELL,2022,Y,0
2022-11-18,485.37,BUY,2022,Y,0
2022-11-02,540.2,SELL,2022,Y,0
2022-10-11,470.73,BUY,2022,Y,0
2022-10-07,472.13,SHORT,2022,Y,0
2022-09-29,455.61,BUY,2022,Y,0
2022-09-20,476.51,SHORT,2022,Y,0
2022-09-08,486.93,BUY,2022,X,2
2022-09-06,479.26,SELL,2022,X,2
2022-09-01,490.17,BUY,2022,X,1
2022-08-26,490.11,SELL,2022,X,1
2022-08-15,491.81,BUY,2022,Y,0
