Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,115.3,SHORT,2024,,0
2024-07-26,116.04,BUY,2024,X,1
2024-07-18,116.75,SELL,2024,Y,0
2024-06-10,108.35,BUY,2024,Y,0
2024-05-28,112.1,SELL,2024,Y,0
2024-05-20,113.7,BUY,2024,X,1
2024-05-13,115.08,SELL,2024,Y,0
2024-05-07,107.17,BUY,2024,Y,0
2024-05-01,107.16,SHORT,2024,X,1
2024-04-23,109.47,BUY,2024,X,2
2024-04-04,113.04,SELL,2024,Y,0
2024-04-01,113.54,BUY,2024,X,1
2024-03-25,111.93,SELL,2024,X,2
2024-03-04,108.55,BUY,2024,Y,0
2024-02-20,105.35,SELL,2024,X,1
2024-02-02,93.98,BUY,2024,Y,0
2024-01-31,94.29,SHORT,2024,Y,0
2024-01-19,94.0,BUY,2024,Y,0
2024-01-16,94.04,SHORT,2024,Y,0
2024-01-05,95.47,BUY,2024,X,1
2023-12-28,97.21,SELL,2023,Y,0
2023-12-22,96.27,BUY,2023,Y,0
2023-12-20,94.66,SELL,2023,X,2
2023-12-08,89.22,BUY,2023,Y,0
2023-12-05,88.35,SELL,2023,X,1
2023-11-30,88.9,BUY,2023,X,2
2023-11-08,85.2,SHORT,2023,X,1
2023-10-31,88.75,BUY,2023,X,1
2023-10-12,96.05,SELL,2023,Y,0
2023-10-09,95.36,BUY,2023,Y,0
2023-10-02,96.03,SHORT,2023,Y,0
2023-09-25,97.47,BUY,2023,X,2
2023-09-20,98.48,SELL,2023,Y,0
2023-09-15,98.86,BUY,2023,X,1
2023-09-13,98.61,SHORT,2023,X,1
2023-08-14,95.9,BUY,2023,Y,0
2023-08-09,96.17,SELL,2023,Y,0
2023-08-07,96.64,BUY,2023,X,2
2023-07-27,91.87,SELL,2023,X,4
2023-07-25,92.29,BUY,2023,X,1
2023-07-21,91.23,SELL,2023,X,3
2023-07-10,89.43,BUY,2023,Y,0
2023-07-06,88.36,SELL,2023,X,2
2023-06-27,88.8,BUY,2023,X,1
2023-06-23,86.68,SELL,2023,X,1
2023-06-01,78.3,BUY,2023,Y,0
2023-05-24,80.33,SHORT,2023,Y,0
2023-05-18,82.3,BUY,2023,X,1
2023-04-19,86.37,SELL,2023,Y,0
2023-04-14,85.99,BUY,2023,Y,0
2023-04-04,86.85,SELL,2023,Y,0
2023-03-20,82.19,BUY,2023,Y,0
2023-03-15,81.24,SHORT,2023,X,2
2023-03-01,83.06,BUY,2023,X,2
2023-02-23,82.73,SHORT,2023,X,1
2023-02-13,86.16,BUY,2023,X,1
2023-02-06,90.43,SHORT,2023,Y,0
2023-01-23,88.54,BUY,2023,Y,0
2023-01-18,90.66,SELL,2023,Y,0
2023-01-06,96.63,BUY,2023,X,3
2022-12-15,95.82,SELL,2022,X,1
2022-12-13,98.07,BUY,2022,X,2
2022-12-06,94.83,SHORT,2022,X,2
2022-11-30,94.85,BUY,2022,X,1
2022-11-18,94.91,SELL,2022,Y,0
2022-11-04,89.09,BUY,2022,Y,0
2022-11-01,86.11,SELL,2022,X,1
2022-10-13,78.65,BUY,2022,Y,0
2022-10-07,78.68,SELL,2022,Y,0
2022-10-04,77.44,BUY,2022,Y,0
2022-09-30,73.93,SHORT,2022,X,1
2022-09-28,74.27,BUY,2022,X,3
2022-09-14,82.3,SHORT,2022,Y,0
2022-09-08,82.52,BUY,2022,X,2
2022-08-30,84.71,SHORT,2022,Y,0
2022-08-25,87.97,BUY,2022,X,1
2022-08-19,88.68,SELL,2022,Y,0
2022-08-16,89.52,BUY,2022,Y,0
