Date,Price,Signal,Year,Strike,StrikeCount
2024-07-25,297.67,SHORT,2024,,0
2024-07-22,317.61,BUY,2024,X,1
2024-07-15,327.03,SELL,2024,Y,0
2024-07-10,323.21,BUY,2024,Y,0
2024-06-27,313.94,SHORT,2024,X,4
2024-06-25,322.76,BUY,2024,X,1
2024-06-21,321.79,SHORT,2024,X,3
2024-06-10,320.35,BUY,2024,Y,0
2024-05-29,334.1,SELL,2024,Y,0
2024-05-15,333.18,BUY,2024,Y,0
2024-05-13,329.39,SELL,2024,X,1
2024-05-03,319.63,BUY,2024,Y,0
2024-05-01,317.13,SHORT,2024,X,2
2024-04-23,312.84,BUY,2024,Y,0
2024-04-09,323.79,SELL,2024,Y,0
2024-04-05,325.07,BUY,2024,X,1
2024-04-01,312.03,SELL,2024,X,5
2024-03-20,305.64,BUY,2024,Y,0
2024-03-15,297.9,SELL,2024,X,4
2024-03-13,298.8,BUY,2024,X,1
2024-03-05,293.3,SELL,2024,X,3
2024-01-29,245.28,BUY,2024,Y,0
2024-01-24,241.57,SELL,2024,X,2
2023-12-08,228.99,BUY,2023,Y,0
2023-12-05,226.61,SHORT,2023,X,1
2023-11-30,227.69,BUY,2023,X,1
2023-11-28,225.91,SELL,2023,X,1
2023-10-24,198.18,BUY,2023,Y,0
2023-10-18,206.15,SHORT,2023,Y,0
2023-10-09,211.03,BUY,2023,X,2
2023-10-02,212.52,SHORT,2023,Y,0
2023-09-25,213.43,BUY,2023,X,1
2023-09-12,228.72,SELL,2023,Y,0
2023-08-21,215.74,BUY,2023,Y,0
2023-08-09,218.43,SELL,2023,Y,0
2023-07-31,205.32,BUY,2023,Y,0
2023-07-21,209.59,SELL,2023,Y,0
2023-06-30,200.52,BUY,2023,Y,0
2023-06-28,194.75,SELL,2023,X,4
2023-06-21,194.84,BUY,2023,X,1
2023-06-16,191.26,SELL,2023,X,3
2023-05-18,171.61,BUY,2023,Y,0
2023-05-10,169.27,SELL,2023,X,2
2023-05-01,168.56,BUY,2023,Y,0
2023-04-26,161.92,SELL,2023,X,1
2023-04-11,158.54,BUY,2023,Y,0
2023-04-04,169.93,SELL,2023,Y,0
2023-03-21,166.67,BUY,2023,Y,0
2023-03-10,173.75,SHORT,2023,Y,0
2023-02-23,172.78,BUY,2023,Y,0
2023-02-21,172.31,SELL,2023,X,1
2023-01-06,159.6,BUY,2023,Y,0
2022-12-28,156.51,SHORT,2022,X,2
2022-12-21,158.1,BUY,2022,X,3
2022-12-19,154.5,SHORT,2022,X,1
2022-12-08,158.45,BUY,2022,X,2
2022-12-05,160.54,SHORT,2022,Y,0
2022-11-30,162.93,BUY,2022,X,1
2022-11-28,164.1,SELL,2022,Y,0
2022-10-13,136.9,BUY,2022,Y,0
2022-10-07,139.92,SELL,2022,Y,0
2022-09-29,134.15,BUY,2022,Y,0
2022-09-15,142.0,SHORT,2022,Y,0
2022-09-07,139.26,BUY,2022,Y,0
2022-08-19,151.41,SELL,2022,Y,0
2022-08-12,150.69,BUY,2022,Y,0
