Date,Price,Signal,Year,Strike,StrikeCount
2024-07-19,62.76,SELL,2024,,0
2024-07-05,58.45,BUY,2024,Y,0
2024-06-27,58.98,SHORT,2024,Y,0
2024-06-21,59.46,BUY,2024,X,1
2024-06-12,64.8,SELL,2024,Y,0
2024-05-15,64.57,BUY,2024,Y,0
2024-05-03,59.97,SELL,2024,X,1
2024-04-16,67.48,BUY,2024,X,3
2024-04-04,65.56,SHORT,2024,X,3
2024-03-27,67.31,BUY,2024,X,2
2024-02-13,74.39,SELL,2024,Y,0
2024-02-09,75.04,BUY,2024,X,1
2024-02-07,73.41,SHORT,2024,X,2
2024-02-02,72.76,BUY,2024,Y,0
2024-01-31,68.78,SHORT,2024,X,1
2024-01-29,70.16,BUY,2024,X,3
2024-01-10,74.9,SHORT,2024,Y,0
2024-01-08,76.56,BUY,2024,X,2
2023-12-26,82.96,SELL,2023,Y,0
2023-12-19,85.72,BUY,2023,X,1
2023-12-14,83.35,SELL,2023,X,4
2023-12-04,82.61,BUY,2023,Y,0
2023-11-30,75.81,SELL,2023,X,3
2023-11-28,74.28,BUY,2023,Y,0
2023-11-21,70.59,SELL,2023,X,2
2023-11-15,69.65,BUY,2023,Y,0
2023-11-09,63.51,SELL,2023,X,1
2023-11-03,64.08,BUY,2023,X,1
2023-10-19,67.2,SELL,2023,Y,0
2023-10-17,66.27,BUY,2023,Y,0
2023-10-13,64.16,SELL,2023,X,1
2023-10-02,64.65,BUY,2023,X,2
2023-09-22,64.01,SHORT,2023,X,1
2023-09-19,65.74,BUY,2023,X,1
2023-09-05,73.01,SHORT,2023,Y,0
2023-08-29,72.85,BUY,2023,Y,0
2023-08-02,96.07,SELL,2023,Y,0
2023-07-10,85.83,BUY,2023,Y,0
2023-06-29,85.73,SELL,2023,X,1
2023-06-27,87.24,BUY,2023,X,1
2023-06-22,93.08,SELL,2023,Y,0
2023-06-02,83.95,BUY,2023,Y,0
2023-05-16,93.96,SELL,2023,Y,0
2023-05-10,94.84,BUY,2023,X,2
2023-04-21,102.05,SHORT,2023,Y,0
2023-04-17,103.12,BUY,2023,X,1
2023-04-05,107.44,SHORT,2023,Y,0
2023-03-29,107.24,BUY,2023,Y,0
2023-03-23,110.14,SHORT,2023,Y,0
2023-03-21,110.75,BUY,2023,X,3
2023-03-07,117.91,SHORT,2023,Y,0
2023-03-03,120.25,BUY,2023,X,2
2023-02-17,129.68,SHORT,2023,Y,0
2023-02-15,135.73,BUY,2023,X,1
2023-02-06,144.54,SELL,2023,Y,0
2023-01-27,137.8,BUY,2023,Y,0
2023-01-18,131.54,SELL,2023,X,1
2022-12-29,122.68,BUY,2022,Y,0
2022-12-27,125.1,SHORT,2022,Y,0
2022-12-20,127.1,BUY,2022,X,1
2022-12-06,136.2,SELL,2022,Y,0
2022-11-29,121.88,BUY,2022,Y,0
2022-11-16,119.72,SELL,2022,X,1
2022-11-08,101.0,BUY,2022,Y,0
2022-10-27,101.92,SELL,2022,Y,0
2022-10-21,98.15,BUY,2022,Y,0
2022-10-14,95.7,SHORT,2022,X,2
2022-10-03,102.88,BUY,2022,X,3
2022-09-22,102.11,SELL,2022,X,1
2022-09-08,108.14,BUY,2022,X,2
2022-09-06,103.86,SHORT,2022,X,1
2022-08-24,105.9,BUY,2022,X,1
