Date,Price,Signal,Year,Strike,StrikeCount
2024-07-17,55.18,BUY,2024,,0
2024-07-15,54.3,SELL,2024,X,1
2024-07-08,52.9,BUY,2024,Y,0
2024-07-01,52.8,SHORT,2024,X,1
2024-06-27,53.0,BUY,2024,X,2
2024-06-05,53.93,SHORT,2024,Y,0
2024-05-31,54.18,BUY,2024,X,1
2024-05-20,55.09,SELL,2024,Y,0
2024-05-01,52.88,BUY,2024,Y,0
2024-04-26,51.96,SELL,2024,X,1
2024-04-18,50.96,BUY,2024,Y,0
2024-04-03,52.72,SELL,2024,Y,0
2024-03-28,53.29,BUY,2024,X,3
2024-03-22,51.63,SELL,2024,X,3
2024-03-18,51.76,BUY,2024,X,2
2024-03-12,51.27,SELL,2024,X,2
2024-03-07,51.3,BUY,2024,X,1
2024-02-26,49.94,SELL,2024,X,1
2024-02-12,49.24,BUY,2024,Y,0
2024-02-05,49.97,SHORT,2024,Y,0
2024-01-25,50.08,BUY,2024,X,1
2024-01-11,53.43,SELL,2024,Y,0
2023-12-26,51.61,BUY,2023,Y,0
2023-12-08,51.56,SELL,2023,X,1
2023-11-15,50.09,BUY,2023,Y,0
2023-11-13,49.0,SHORT,2023,X,1
2023-10-26,49.15,BUY,2023,X,1
2023-10-18,49.21,SHORT,2023,Y,0
2023-10-09,48.97,BUY,2023,Y,0
2023-09-21,53.96,SHORT,2023,Y,0
2023-09-08,53.94,BUY,2023,Y,0
2023-08-31,55.56,SHORT,2023,Y,0
2023-08-25,56.62,BUY,2023,X,2
2023-08-14,57.82,SHORT,2023,Y,0
2023-08-08,57.94,BUY,2023,X,1
2023-07-25,61.0,SELL,2023,Y,0
2023-07-20,60.31,BUY,2023,Y,0
2023-07-17,59.72,SELL,2023,X,2
2023-07-12,59.32,BUY,2023,Y,0
2023-07-07,59.03,SELL,2023,X,1
2023-06-27,58.72,BUY,2023,Y,0
2023-06-20,59.12,SELL,2023,Y,0
2023-06-15,59.61,BUY,2023,X,1
2023-06-09,59.53,SELL,2023,X,1
2023-05-31,57.84,BUY,2023,Y,0
2023-05-12,62.37,SELL,2023,Y,0
2023-05-04,62.04,BUY,2023,Y,0
2023-05-02,61.91,SELL,2023,X,1
2023-03-29,59.64,BUY,2023,Y,0
2023-03-21,59.68,SHORT,2023,Y,0
2023-03-14,59.46,BUY,2023,Y,0
2023-03-07,58.98,SHORT,2023,X,1
2023-03-03,59.0,BUY,2023,X,2
2023-02-23,60.76,SHORT,2023,Y,0
2023-02-13,61.35,BUY,2023,X,1
2023-02-03,62.68,SELL,2023,Y,0
2023-01-31,62.17,BUY,2023,Y,0
2023-01-13,63.2,SELL,2023,Y,0
2023-01-10,64.01,BUY,2023,X,2
2023-01-05,63.2,SHORT,2023,X,1
2023-01-04,63.76,BUY,2023,X,1
2022-12-28,63.23,SELL,2022,X,2
2022-12-21,62.52,BUY,2022,Y,0
2022-12-16,62.02,SELL,2022,X,1
2022-12-07,58.87,BUY,2022,Y,0
2022-11-09,61.03,SELL,2022,Y,0
2022-11-04,62.04,BUY,2022,X,1
2022-11-02,60.77,SELL,2022,X,1
2022-10-17,57.11,BUY,2022,Y,0
2022-10-06,59.76,SHORT,2022,Y,0
2022-10-04,61.45,BUY,2022,X,3
2022-09-13,69.9,SHORT,2022,Y,0
2022-09-07,69.95,BUY,2022,X,2
2022-08-22,70.82,SELL,2022,Y,0
2022-08-12,69.96,BUY,2022,X,1
