Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,36.75,BUY,2024,,0
2024-07-23,36.0,SELL,2024,X,6
2024-07-10,34.69,BUY,2024,Y,0
2024-06-27,34.7,SHORT,2024,Y,0
2024-06-24,35.19,BUY,2024,X,1
2024-06-05,37.08,SHORT,2024,Y,0
2024-05-31,36.96,BUY,2024,Y,0
2024-05-22,38.29,SHORT,2024,Y,0
2024-05-15,38.73,BUY,2024,X,2
2024-05-10,37.68,SELL,2024,X,5
2024-05-01,37.84,BUY,2024,X,1
2024-04-26,37.32,SELL,2024,X,4
2024-04-18,36.68,BUY,2024,Y,0
2024-04-10,37.09,SHORT,2024,Y,0
2024-04-08,37.54,BUY,2024,X,1
2024-04-03,37.21,SELL,2024,X,3
2024-03-27,37.1,BUY,2024,Y,0
2024-03-14,36.84,SELL,2024,X,2
2024-03-04,36.04,BUY,2024,Y,0
2024-02-26,35.84,SELL,2024,X,1
2024-02-12,34.01,BUY,2024,Y,0
2024-01-31,34.94,SHORT,2024,Y,0
2024-01-26,35.01,BUY,2024,X,1
2024-01-11,36.26,SHORT,2024,Y,0
2023-12-22,35.26,BUY,2023,Y,0
2023-12-14,38.6,SELL,2023,Y,0
2023-12-11,39.47,BUY,2023,X,3
2023-12-05,38.61,SHORT,2023,X,1
2023-12-01,38.95,BUY,2023,X,2
2023-11-17,39.36,SELL,2023,Y,0
2023-11-15,39.67,BUY,2023,X,1
2023-11-13,39.13,SELL,2023,X,1
2023-10-31,38.84,BUY,2023,Y,0
2023-10-20,39.55,SHORT,2023,Y,0
2023-10-09,38.22,BUY,2023,Y,0
2023-09-27,39.0,SHORT,2023,Y,0
2023-09-07,40.35,BUY,2023,X,1
2023-08-31,40.28,SHORT,2023,X,1
2023-08-09,40.22,BUY,2023,Y,0
2023-07-27,42.64,SELL,2023,Y,0
2023-07-20,41.94,BUY,2023,Y,0
2023-07-17,41.87,SELL,2023,X,4
2023-07-11,41.24,BUY,2023,Y,0
2023-07-07,40.96,SELL,2023,X,3
2023-06-27,40.76,BUY,2023,Y,0
2023-06-22,40.62,SELL,2023,X,2
2023-06-16,40.98,BUY,2023,X,1
2023-06-09,40.08,SELL,2023,X,1
2023-05-31,39.59,BUY,2023,Y,0
2023-05-25,39.64,SHORT,2023,Y,0
2023-05-18,39.39,BUY,2023,Y,0
2023-05-16,40.64,SHORT,2023,Y,0
2023-05-05,42.73,BUY,2023,X,1
2023-04-27,42.78,SELL,2023,Y,0
2023-03-27,40.52,BUY,2023,Y,0
2023-03-20,41.82,SELL,2023,Y,0
2023-03-13,41.39,BUY,2023,Y,0
2023-03-07,41.29,SELL,2023,X,1
2023-03-03,40.61,BUY,2023,Y,0
2023-02-22,42.0,SELL,2023,Y,0
2023-02-13,40.84,BUY,2023,Y,0
2023-02-03,41.39,SHORT,2023,Y,0
2023-01-27,41.69,BUY,2023,X,1
2023-01-12,43.56,SELL,2023,Y,0
2022-12-30,43.23,BUY,2022,Y,0
2022-12-28,42.97,SELL,2022,X,3
2022-12-14,42.82,BUY,2022,Y,0
2022-12-08,42.09,SELL,2022,X,2
2022-11-10,39.0,BUY,2022,Y,0
2022-11-02,38.14,SELL,2022,X,1
2022-10-25,36.98,BUY,2022,Y,0
2022-10-06,38.44,SHORT,2022,Y,0
2022-10-04,38.87,BUY,2022,X,2
2022-09-21,42.69,SHORT,2022,Y,0
2022-09-19,43.37,BUY,2022,X,1
2022-09-13,45.47,SELL,2022,Y,0
2022-09-08,45.24,BUY,2022,Y,0
2022-09-06,43.95,SHORT,2022,X,1
2022-09-01,44.45,BUY,2022,X,3
2022-08-30,44.8,SHORT,2022,Y,0
2022-08-25,45.82,BUY,2022,X,2
2022-08-17,46.25,SELL,2022,Y,0
2022-08-09,45.26,BUY,2022,X,1
