Date,Price,Signal,Year,Strike,StrikeCount
2024-07-19,206.68,SELL,2024,,0
2024-06-18,188.87,BUY,2024,Y,0
2024-06-13,191.18,SHORT,2024,Y,0
2024-06-10,192.21,BUY,2024,X,3
2024-06-03,193.79,SELL,2024,Y,0
2024-05-28,196.43,BUY,2024,X,2
2024-05-23,192.84,SHORT,2024,X,1
2024-05-20,197.83,BUY,2024,X,1
2024-05-13,200.94,SHORT,2024,Y,0
2024-05-03,200.73,BUY,2024,Y,0
2024-04-30,203.31,SHORT,2024,Y,0
2024-04-22,202.08,BUY,2024,Y,0
2024-04-15,205.35,SELL,2024,Y,0
2024-02-27,177.95,BUY,2024,Y,0
2024-02-20,178.06,SELL,2024,Y,0
2024-02-06,151.33,BUY,2024,Y,0
2023-12-28,155.33,SHORT,2023,Y,0
2023-12-08,148.73,BUY,2023,Y,0
2023-10-24,164.76,SELL,2023,Y,0
2023-10-12,161.68,BUY,2023,Y,0
2023-09-29,155.23,SHORT,2023,X,3
2023-09-27,157.23,BUY,2023,X,1
2023-09-11,153.84,SELL,2023,X,4
2023-07-31,146.57,BUY,2023,Y,0
2023-07-27,144.35,SELL,2023,X,3
2023-07-19,138.9,BUY,2023,Y,0
2023-07-14,137.75,SELL,2023,X,2
2023-07-10,133.42,BUY,2023,Y,0
2023-06-09,132.28,SELL,2023,X,1
2023-05-18,128.4,BUY,2023,Y,0
2023-05-12,128.0,SHORT,2023,X,2
2023-05-09,132.91,BUY,2023,X,2
2023-04-20,141.94,SELL,2023,Y,0
2023-04-14,146.74,BUY,2023,X,1
2023-04-06,140.73,SELL,2023,X,1
2023-03-31,134.39,BUY,2023,Y,0
2023-03-23,127.14,SHORT,2023,X,1
2023-03-20,125.61,BUY,2023,Y,0
2023-03-09,142.15,SHORT,2023,Y,0
2023-03-03,145.54,BUY,2023,X,1
2023-02-15,145.71,SELL,2023,Y,0
2023-02-07,141.14,BUY,2023,Y,0
2023-01-25,147.08,SELL,2023,Y,0
2022-12-30,136.78,BUY,2022,Y,0
2022-12-28,136.44,SELL,2022,X,1
2022-12-13,136.32,BUY,2022,Y,0
2022-12-06,139.46,SHORT,2022,Y,0
2022-11-29,146.74,BUY,2022,X,1
2022-11-18,156.22,SELL,2022,Y,0
2022-10-18,141.85,BUY,2022,Y,0
2022-10-10,140.31,SELL,2022,X,1
2022-09-28,114.96,BUY,2022,Y,0
2022-09-01,130.3,SELL,2022,Y,0
2022-08-08,120.06,BUY,2022,Y,0
