Date,Price,Signal,Year,Strike,StrikeCount
2024-07-09,50.8,SELL,2024,,0
2024-07-03,49.68,BUY,2024,Y,0
2024-06-26,49.59,SHORT,2024,X,4
2024-06-20,48.75,BUY,2024,Y,0
2024-06-17,47.26,SHORT,2024,X,3
2024-06-06,50.94,BUY,2024,X,2
2024-06-03,52.23,SELL,2024,Y,0
2024-05-28,53.34,BUY,2024,X,1
2024-05-22,51.51,SELL,2024,X,5
2024-05-07,51.28,BUY,2024,Y,0
2024-05-01,49.91,SHORT,2024,X,2
2024-03-27,45.84,BUY,2024,Y,0
2024-03-22,45.61,SELL,2024,X,4
2024-03-04,38.21,BUY,2024,Y,0
2024-02-20,38.21,SHORT,2024,X,1
2024-02-15,37.89,BUY,2024,Y,0
2024-01-31,39.75,SHORT,2024,Y,0
2024-01-29,39.95,BUY,2024,X,2
2024-01-10,41.3,SHORT,2024,Y,0
2023-12-27,43.2,BUY,2023,X,1
2023-12-20,41.34,SELL,2023,X,3
2023-12-14,40.51,BUY,2023,Y,0
2023-12-12,37.42,SELL,2023,X,2
2023-12-08,37.25,BUY,2023,Y,0
2023-12-05,37.12,SELL,2023,X,1
2023-11-14,34.73,BUY,2023,Y,0
2023-11-13,33.43,SHORT,2023,X,2
2023-11-02,34.49,BUY,2023,X,6
2023-10-27,33.67,SHORT,2023,X,1
2023-10-24,33.81,BUY,2023,X,5
2023-10-19,35.32,SHORT,2023,Y,0
2023-10-17,36.08,BUY,2023,X,4
2023-10-12,36.77,SHORT,2023,Y,0
2023-10-09,36.83,BUY,2023,X,3
2023-10-04,36.22,SHORT,2023,X,1
2023-09-28,37.33,BUY,2023,X,2
2023-09-08,39.29,SHORT,2023,Y,0
2023-08-29,39.47,BUY,2023,X,1
2023-07-27,43.29,SELL,2023,Y,0
2023-07-25,43.21,BUY,2023,Y,0
2023-07-14,41.41,SELL,2023,X,2
2023-07-10,38.85,BUY,2023,Y,0
2023-07-05,39.18,SHORT,2023,Y,0
2023-07-03,40.63,BUY,2023,X,1
2023-06-23,38.37,SELL,2023,X,1
2023-05-31,33.92,BUY,2023,Y,0
2023-05-11,34.54,SHORT,2023,Y,0
2023-05-09,36.66,BUY,2023,X,1
2023-04-17,42.62,SELL,2023,Y,0
2023-04-11,41.13,BUY,2023,Y,0
2023-04-04,40.53,SELL,2023,X,1
2023-03-31,40.48,BUY,2023,Y,0
2023-03-23,37.79,SHORT,2023,X,1
2023-03-20,37.18,BUY,2023,Y,0
2023-02-03,43.16,SHORT,2023,Y,0
2023-02-01,44.81,BUY,2023,X,3
2023-01-27,44.82,SELL,2023,Y,0
2023-01-25,45.61,BUY,2023,X,2
2023-01-23,44.95,SELL,2023,X,2
2023-01-20,45.41,BUY,2023,X,1
2023-01-12,45.1,SELL,2023,X,1
2022-12-21,38.45,BUY,2022,Y,0
2022-12-06,38.65,SELL,2022,Y,0
2022-11-30,38.54,BUY,2022,Y,0
2022-11-18,36.34,SELL,2022,X,3
2022-11-08,34.99,BUY,2022,Y,0
2022-10-31,31.69,SELL,2022,X,2
2022-10-20,28.98,BUY,2022,Y,0
2022-10-14,28.68,SELL,2022,X,1
2022-10-03,29.17,BUY,2022,X,2
2022-09-21,29.34,SELL,2022,Y,0
2022-09-19,29.98,BUY,2022,X,1
2022-09-14,30.35,SELL,2022,Y,0
2022-09-08,28.73,BUY,2022,Y,0
2022-08-30,30.97,SELL,2022,Y,0
2022-08-24,31.24,BUY,2022,X,1
2022-08-22,29.86,SELL,2022,X,1
2022-08-05,29.31,BUY,2022,Y,0
