Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,411.35,SHORT,2024,,0
2024-07-26,414.18,BUY,2024,X,1
2024-07-18,434.52,SELL,2024,Y,0
2024-07-16,431.23,BUY,2024,Y,0
2024-07-09,416.46,SELL,2024,X,1
2024-07-02,413.05,BUY,2024,Y,0
2024-06-25,423.0,SELL,2024,Y,0
2024-06-18,407.17,BUY,2024,Y,0
2024-06-13,403.7,SHORT,2024,X,2
2024-06-05,398.79,BUY,2024,Y,0
2024-05-22,447.79,SELL,2024,Y,0
2024-04-29,422.94,BUY,2024,Y,0
2024-04-25,420.57,SHORT,2024,X,1
2024-04-19,432.97,BUY,2024,X,2
2024-04-02,439.6,SHORT,2024,Y,0
2024-03-28,450.86,BUY,2024,X,1
2024-03-18,477.66,SELL,2024,Y,0
2024-03-11,469.45,BUY,2024,Y,0
2024-03-01,461.32,SHORT,2024,X,2
2024-02-22,458.87,BUY,2024,Y,0
2024-02-08,475.77,SELL,2024,Y,0
2023-12-13,458.98,BUY,2023,Y,0
2023-12-05,451.15,SHORT,2023,X,1
2023-11-24,460.11,BUY,2023,X,1
2023-11-20,456.0,SELL,2023,X,2
2023-10-31,429.5,BUY,2023,Y,0
2023-10-19,441.54,SHORT,2023,Y,0
2023-10-17,449.69,BUY,2023,X,1
2023-10-12,448.34,SELL,2023,X,1
2023-09-22,428.19,BUY,2023,Y,0
2023-09-19,426.31,SHORT,2023,X,2
2023-09-14,431.66,BUY,2023,X,1
2023-09-01,435.48,SELL,2023,Y,0
2023-08-30,432.25,BUY,2023,Y,0
2023-08-25,437.64,SELL,2023,Y,0
2023-08-17,428.38,BUY,2023,Y,0
2023-07-31,435.04,SELL,2023,Y,0
2023-07-11,396.76,BUY,2023,Y,0
2023-06-23,396.23,SELL,2023,X,3
2023-06-02,395.23,BUY,2023,Y,0
2023-05-31,385.12,SHORT,2023,X,1
2023-05-19,396.19,BUY,2023,X,1
2023-05-11,401.35,SHORT,2023,Y,0
2023-05-05,399.62,BUY,2023,Y,0
2023-05-02,406.84,SHORT,2023,Y,0
2023-04-28,411.53,BUY,2023,X,2
2023-04-26,407.97,SELL,2023,X,2
2023-04-19,416.53,BUY,2023,X,1
2023-04-05,408.4,SELL,2023,X,1
2023-03-29,402.81,BUY,2023,Y,0
2023-02-28,418.03,SHORT,2023,Y,0
2023-02-23,426.48,BUY,2023,X,1
2023-02-09,427.56,SELL,2023,Y,0
2023-01-27,421.89,BUY,2023,Y,0
2023-01-19,425.03,SHORT,2023,Y,0
2023-01-10,405.79,BUY,2023,Y,0
2022-12-05,465.98,SELL,2022,Y,0
2022-12-01,465.18,BUY,2022,Y,0
2022-11-29,449.12,SELL,2022,X,1
2022-11-08,415.64,BUY,2022,Y,0
2022-11-02,423.08,SELL,2022,Y,0
2022-10-21,407.09,BUY,2022,Y,0
2022-10-10,415.35,SHORT,2022,Y,0
2022-09-29,392.43,BUY,2022,Y,0
2022-09-15,446.67,SHORT,2022,Y,0
2022-09-07,439.3,BUY,2022,Y,0
2022-08-19,451.19,SELL,2022,Y,0
2022-08-10,432.32,BUY,2022,X,1
