Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,292.3,SHORT,2024,,0
2024-07-26,300.14,BUY,2024,X,1
2024-07-18,307.78,SELL,2024,Y,0
2024-07-11,296.13,BUY,2024,Y,0
2024-07-03,295.71,SELL,2024,X,2
2024-06-20,251.02,BUY,2024,Y,0
2024-06-12,249.38,SELL,2024,X,1
2024-06-10,253.16,BUY,2024,X,2
2024-06-04,247.03,SHORT,2024,X,1
2024-05-31,253.17,BUY,2024,X,1
2024-05-14,265.27,SHORT,2024,Y,0
2024-05-09,259.74,BUY,2024,Y,0
2024-04-02,275.29,SELL,2024,Y,0
2024-03-20,257.62,BUY,2024,Y,0
2024-03-18,253.18,SELL,2024,X,1
2024-02-20,238.51,BUY,2024,Y,0
2024-02-13,239.8,SHORT,2024,Y,0
2024-02-02,242.36,BUY,2024,X,4
2024-01-29,249.88,SELL,2024,Y,0
2024-01-25,252.82,BUY,2024,X,3
2024-01-16,246.28,SHORT,2024,X,1
2024-01-05,246.81,BUY,2024,X,2
2023-12-20,246.25,SELL,2023,X,2
2023-12-01,260.16,BUY,2023,X,1
2023-11-27,253.94,SELL,2023,X,1
2023-11-10,246.03,BUY,2023,Y,0
2023-11-06,246.17,SELL,2023,Y,0
2023-10-30,232.07,BUY,2023,Y,0
2023-10-23,238.76,SHORT,2023,Y,0
2023-10-17,248.03,BUY,2023,X,2
2023-10-03,260.35,SELL,2023,Y,0
2023-09-25,261.31,BUY,2023,X,1
2023-09-01,260.97,SHORT,2023,X,5
2023-08-29,260.58,BUY,2023,Y,0
2023-08-15,265.55,SELL,2023,Y,0
2023-07-26,263.89,BUY,2023,Y,0
2023-07-14,257.45,SELL,2023,X,3
2023-07-10,251.69,BUY,2023,Y,0
2023-06-30,248.23,SELL,2023,X,2
2023-06-15,230.67,BUY,2023,Y,0
2023-06-09,223.76,SELL,2023,X,1
2023-06-02,219.39,BUY,2023,Y,0
2023-05-22,228.68,SELL,2023,Y,0
2023-05-18,229.99,BUY,2023,X,2
2023-05-16,221.27,SHORT,2023,X,4
2023-04-28,226.83,BUY,2023,X,1
2023-04-17,229.31,SELL,2023,Y,0
2023-03-31,225.88,BUY,2023,Y,0
2023-03-23,216.92,SELL,2023,X,2
2023-03-21,219.07,BUY,2023,X,3
2023-03-14,198.81,SHORT,2023,X,3
2023-03-02,205.99,BUY,2023,X,2
2023-02-21,205.65,SHORT,2023,X,2
2023-02-13,210.2,BUY,2023,X,1
2023-02-09,209.27,SELL,2023,X,1
2023-02-01,193.94,BUY,2023,Y,0
2023-01-30,187.3,SHORT,2023,X,1
2023-01-23,187.94,BUY,2023,X,1
2023-01-13,189.69,SELL,2023,Y,0
2023-01-03,176.23,BUY,2023,Y,0
2022-12-28,175.0,SELL,2022,X,1
2022-12-22,168.72,BUY,2022,Y,0
2022-12-16,171.72,SELL,2022,Y,0
2022-12-12,173.35,BUY,2022,X,1
2022-12-05,178.84,SELL,2022,Y,0
2022-11-30,178.52,BUY,2022,Y,0
2022-11-16,170.77,SELL,2022,X,2
2022-11-11,167.55,BUY,2022,Y,0
2022-11-01,158.33,SELL,2022,X,1
2022-10-24,153.83,BUY,2022,Y,0
2022-10-06,155.78,SHORT,2022,Y,0
2022-09-28,146.29,BUY,2022,Y,0
2022-09-20,160.53,SHORT,2022,Y,0
2022-09-09,205.6,BUY,2022,X,1
2022-08-19,232.5,SHORT,2022,Y,0
2022-08-15,232.27,BUY,2022,Y,0
