Date,Price,Signal,Year,Strike,StrikeCount
2024-07-05,38.58,BUY,2024,,0
2024-05-23,39.5,SHORT,2024,Y,0
2024-05-21,40.25,BUY,2024,X,2
2024-05-17,40.04,SELL,2024,X,3
2024-05-15,40.26,BUY,2024,X,1
2024-05-13,39.76,SELL,2024,X,2
2024-04-18,37.63,BUY,2024,Y,0
2024-04-03,38.24,SHORT,2024,Y,0
2024-03-27,38.46,BUY,2024,X,1
2024-03-22,38.21,SELL,2024,X,1
2024-03-04,36.7,BUY,2024,Y,0
2024-02-26,37.13,SELL,2024,Y,0
2024-02-16,37.39,BUY,2024,X,2
2024-02-05,36.29,SHORT,2024,X,1
2024-01-29,36.62,BUY,2024,X,1
2024-01-11,38.5,SELL,2024,Y,0
2023-12-28,36.59,BUY,2023,Y,0
2023-12-08,37.15,SHORT,2023,Y,0
2023-12-06,37.45,BUY,2023,X,1
2023-11-27,37.5,SELL,2023,Y,0
2023-11-15,36.65,BUY,2023,Y,0
2023-11-13,35.17,SHORT,2023,X,2
2023-10-24,35.48,BUY,2023,X,1
2023-10-18,35.83,SELL,2023,Y,0
2023-10-05,33.72,BUY,2023,Y,0
2023-09-20,36.65,SELL,2023,Y,0
2023-09-07,35.46,BUY,2023,Y,0
2023-09-05,35.32,SHORT,2023,X,1
2023-08-23,36.38,BUY,2023,X,1
2023-08-15,36.49,SHORT,2023,Y,0
2023-08-08,36.33,BUY,2023,Y,0
2023-07-27,39.76,SELL,2023,Y,0
2023-07-20,39.47,BUY,2023,Y,0
2023-07-07,38.77,SELL,2023,X,1
2023-06-30,38.88,BUY,2023,X,1
2023-06-23,39.09,SELL,2023,Y,0
2023-05-31,37.2,BUY,2023,Y,0
2023-05-09,38.91,SHORT,2023,Y,0
2023-05-05,39.06,BUY,2023,X,2
2023-05-01,39.12,SHORT,2023,Y,0
2023-04-24,40.85,BUY,2023,X,1
2023-04-17,40.86,SELL,2023,Y,0
2023-03-29,39.29,BUY,2023,Y,0
2023-03-21,39.65,SELL,2023,Y,0
2023-03-14,39.19,BUY,2023,Y,0
2023-03-09,39.15,SELL,2023,X,1
2023-03-03,39.49,BUY,2023,X,2
2023-01-31,41.03,SHORT,2023,Y,0
2023-01-26,41.39,BUY,2023,X,1
2023-01-13,42.84,SELL,2023,Y,0
2023-01-04,42.34,BUY,2023,Y,0
2022-12-30,41.94,SHORT,2022,X,2
2022-12-20,41.25,BUY,2022,Y,0
2022-12-09,41.48,SELL,2022,Y,0
2022-11-18,38.27,BUY,2022,Y,0
2022-11-14,37.84,SELL,2022,X,2
2022-11-10,38.26,BUY,2022,X,1
2022-11-04,37.9,SELL,2022,X,1
2022-10-28,37.52,BUY,2022,Y,0
2022-10-20,36.08,SHORT,2022,X,1
2022-10-13,36.92,BUY,2022,X,3
2022-10-06,37.47,SHORT,2022,Y,0
2022-10-04,38.79,BUY,2022,X,2
2022-09-21,41.25,SELL,2022,Y,0
2022-09-19,41.33,BUY,2022,X,1
2022-09-15,41.02,SHORT,2022,X,1
2022-09-01,40.11,BUY,2022,Y,0
2022-08-23,40.48,SELL,2022,Y,0
2022-08-19,41.27,BUY,2022,X,1
2022-08-16,41.02,SELL,2022,X,1
2022-08-10,39.29,BUY,2022,Y,0
