Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,174.76,BUY,2024,,0
2024-07-18,179.75,SELL,2024,Y,0
2024-07-08,172.8,BUY,2024,Y,0
2024-07-03,170.54,SELL,2024,X,1
2024-06-13,167.96,BUY,2024,Y,0
2024-05-24,169.9,SHORT,2024,Y,0
2024-05-08,169.21,BUY,2024,Y,0
2024-05-02,166.91,SHORT,2024,X,3
2024-04-23,180.23,BUY,2024,X,2
2024-04-12,189.44,SELL,2024,Y,0
2024-03-20,189.53,BUY,2024,X,1
2024-03-18,187.35,SHORT,2024,X,2
2024-02-08,184.77,BUY,2024,Y,0
2024-02-06,184.24,SELL,2024,X,3
2024-01-17,177.13,BUY,2024,Y,0
2024-01-04,172.37,SHORT,2024,X,1
2023-12-08,170.31,BUY,2023,Y,0
2023-12-06,169.43,SELL,2023,X,2
2023-11-22,167.07,BUY,2023,Y,0
2023-11-16,161.32,SELL,2023,X,1
2023-10-25,148.8,BUY,2023,Y,0
2023-10-12,155.03,SHORT,2023,Y,0
2023-10-06,156.16,BUY,2023,X,1
2023-10-04,158.73,SHORT,2023,Y,0
2023-09-28,158.18,BUY,2023,Y,0
2023-09-26,156.59,SHORT,2023,X,4
2023-09-19,161.27,BUY,2023,X,1
2023-09-07,161.88,SELL,2023,Y,0
2023-08-21,156.17,BUY,2023,Y,0
2023-08-17,155.48,SHORT,2023,X,3
2023-08-14,157.95,BUY,2023,X,1
2023-08-09,159.13,SELL,2023,Y,0
2023-07-31,156.78,BUY,2023,Y,0
2023-07-20,149.61,SELL,2023,X,5
2023-07-18,148.69,BUY,2023,Y,0
2023-07-14,147.76,SELL,2023,X,4
2023-07-11,148.69,BUY,2023,X,4
2023-07-06,144.27,SHORT,2023,X,2
2023-06-27,145.9,BUY,2023,X,3
2023-06-21,145.69,SELL,2023,X,3
2023-06-13,150.15,BUY,2023,X,2
2023-06-05,145.7,SELL,2023,X,2
2023-05-26,145.87,BUY,2023,X,1
2023-05-24,143.1,SELL,2023,X,1
2023-05-05,133.22,BUY,2023,Y,0
2023-05-02,132.52,SHORT,2023,X,1
2023-04-27,132.06,BUY,2023,Y,0
2023-04-11,145.75,SELL,2023,Y,0
2023-03-29,141.64,BUY,2023,Y,0
2023-03-23,140.3,SELL,2023,X,1
2023-03-21,143.81,BUY,2023,X,1
2023-03-07,144.65,SELL,2023,Y,0
2023-03-01,143.51,BUY,2023,Y,0
2023-02-21,145.09,SHORT,2023,Y,0
2023-02-13,146.96,BUY,2023,X,1
2023-02-06,150.39,SELL,2023,Y,0
2023-02-01,148.21,BUY,2023,Y,0
2023-01-30,146.11,SELL,2023,X,3
2023-01-23,146.2,BUY,2023,X,1
2023-01-18,145.37,SELL,2023,X,2
2023-01-09,142.87,BUY,2023,Y,0
2023-01-05,143.3,SHORT,2023,Y,0
2022-12-29,143.15,BUY,2022,Y,0
2022-12-28,140.15,SHORT,2022,X,1
2022-12-20,142.97,BUY,2022,X,2
2022-12-16,144.17,SHORT,2022,Y,0
2022-12-12,152.53,BUY,2022,X,1
2022-12-05,151.87,SELL,2022,X,1
2022-11-10,141.09,BUY,2022,Y,0
2022-10-27,143.06,SELL,2022,Y,0
2022-10-13,140.36,BUY,2022,Y,0
2022-10-07,150.39,SHORT,2022,Y,0
2022-10-04,152.69,BUY,2022,X,4
2022-09-30,146.27,SHORT,2022,X,1
2022-09-28,147.13,BUY,2022,X,3
2022-09-14,155.47,SHORT,2022,Y,0
2022-09-07,156.77,BUY,2022,X,2
2022-08-30,160.28,SHORT,2022,Y,0
2022-08-25,167.4,BUY,2022,X,1
2022-08-22,168.43,SHORT,2022,Y,0
2022-08-18,173.7,BUY,2022,Y,0
