Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,1589.0,SELL,2024,,0
2024-07-26,1598.0,BUY,2024,X,1
2024-07-24,1615.0,SHORT,2024,Y,0
2024-07-22,1605.0,BUY,2024,Y,0
2024-07-18,1596.0,SELL,2024,X,1
2024-06-13,1379.0,BUY,2024,Y,0
2024-06-07,1324.0,SHORT,2024,X,3
2024-06-04,1300.0,BUY,2024,Y,0
2024-05-29,1360.0,SELL,2024,Y,0
2024-05-24,1385.0,BUY,2024,X,1
2024-05-21,1393.0,SELL,2024,Y,0
2024-04-23,1160.0,BUY,2024,Y,0
2024-03-11,1283.0,SELL,2024,Y,0
2024-03-04,1301.0,BUY,2024,X,2
2024-02-27,1276.0,SELL,2024,X,1
2024-02-22,1283.0,BUY,2024,X,1
2024-02-20,1273.0,SHORT,2024,X,2
2024-02-01,1212.0,BUY,2024,Y,0
2024-01-24,1276.0,SELL,2024,Y,0
2024-01-18,1243.0,BUY,2024,Y,0
2024-01-16,1224.0,SELL,2024,X,4
2024-01-10,1176.0,BUY,2024,Y,0
2023-12-14,1158.0,SELL,2023,X,3
2023-11-02,884.0,BUY,2023,Y,0
2023-10-31,846.0,SHORT,2023,X,1
2023-10-27,839.0,BUY,2023,Y,0
2023-10-24,908.0,SHORT,2023,Y,0
2023-10-19,912.0,BUY,2023,X,1
2023-10-16,888.0,SELL,2023,X,2
2023-10-05,863.0,BUY,2023,Y,0
2023-10-02,864.0,SHORT,2023,Y,0
2023-09-28,887.0,BUY,2023,X,2
2023-09-21,896.0,SHORT,2023,Y,0
2023-09-14,904.0,BUY,2023,X,1
2023-09-12,894.0,SELL,2023,X,1
2023-08-23,853.0,BUY,2023,Y,0
2023-08-16,867.0,SELL,2023,Y,0
2023-07-31,835.0,BUY,2023,Y,0
2023-07-24,841.0,SELL,2023,Y,0
2023-07-10,797.0,BUY,2023,Y,0
2023-07-06,784.0,SELL,2023,X,4
2023-06-28,779.0,BUY,2023,Y,0
2023-06-23,776.0,SELL,2023,X,3
2023-06-15,800.0,BUY,2023,X,1
2023-06-07,784.0,SHORT,2023,X,1
2023-05-18,759.0,BUY,2023,Y,0
2023-05-12,746.0,SELL,2023,X,2
2023-05-09,737.0,BUY,2023,Y,0
2023-05-05,733.0,SELL,2023,X,1
2023-04-10,678.0,BUY,2023,Y,0
2023-04-05,684.0,SHORT,2023,Y,0
2023-03-20,683.0,BUY,2023,Y,0
2023-03-09,696.0,SELL,2023,Y,0
2023-03-03,694.0,BUY,2023,Y,0
2023-02-21,665.0,SHORT,2023,X,1
2023-02-01,665.0,BUY,2023,X,1
2023-01-30,644.0,SELL,2023,X,1
2023-01-12,602.0,BUY,2023,Y,0
2022-12-28,612.0,SELL,2022,Y,0
2022-12-20,591.0,BUY,2022,Y,0
2022-12-14,613.0,SHORT,2022,Y,0
2022-11-25,584.0,BUY,2022,Y,0
2022-11-17,590.0,SELL,2022,Y,0
2022-11-11,586.0,BUY,2022,Y,0
2022-11-01,477.0,SELL,2022,X,2
2022-10-26,432.0,BUY,2022,Y,0
2022-10-19,412.0,SELL,2022,X,1
2022-10-17,408.0,BUY,2022,Y,0
2022-10-06,429.0,SHORT,2022,Y,0
2022-10-04,432.0,BUY,2022,X,2
2022-09-30,420.0,SHORT,2022,X,1
2022-09-28,432.0,BUY,2022,X,1
2022-09-19,456.0,SHORT,2022,Y,0
2022-09-12,459.0,BUY,2022,Y,0
