Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,74.36,SHORT,2024,,0
2024-07-24,75.33,BUY,2024,X,1
2024-07-18,76.04,SELL,2024,Y,0
2024-07-03,75.81,BUY,2024,Y,0
2024-06-21,75.96,SELL,2024,Y,0
2024-06-13,77.07,BUY,2024,X,1
2024-06-11,76.51,SHORT,2024,X,2
2024-06-03,76.04,BUY,2024,Y,0
2024-05-22,77.44,SELL,2024,Y,0
2024-05-03,70.23,BUY,2024,Y,0
2024-04-29,69.54,SHORT,2024,X,1
2024-04-22,71.3,BUY,2024,X,2
2024-04-15,71.44,SHORT,2024,Y,0
2024-04-08,72.87,BUY,2024,X,1
2024-04-01,73.58,SELL,2024,Y,0
2024-03-26,71.6,BUY,2024,Y,0
2024-03-22,71.35,SELL,2024,X,3
2024-03-11,69.75,BUY,2024,Y,0
2024-03-07,69.55,SELL,2024,X,2
2024-02-22,63.74,BUY,2024,Y,0
2024-02-20,62.96,SELL,2024,X,1
2024-02-12,62.17,BUY,2024,Y,0
2024-01-31,62.57,SELL,2024,Y,0
2024-01-19,59.58,BUY,2024,Y,0
2024-01-12,61.95,SELL,2024,Y,0
2023-12-18,60.04,BUY,2023,Y,0
2023-12-06,59.38,SELL,2023,X,2
2023-11-14,53.62,BUY,2023,Y,0
2023-11-07,51.1,SELL,2023,X,1
2023-10-30,47.79,BUY,2023,Y,0
2023-10-19,51.86,SHORT,2023,Y,0
2023-10-17,53.53,BUY,2023,X,3
2023-10-06,53.68,SHORT,2023,Y,0
2023-10-04,54.3,BUY,2023,X,2
2023-09-29,55.27,SHORT,2023,Y,0
2023-09-11,55.52,BUY,2023,X,1
2023-09-05,55.67,SHORT,2023,Y,0
2023-08-28,55.62,BUY,2023,Y,0
2023-08-03,58.96,SELL,2023,Y,0
2023-07-19,60.63,BUY,2023,X,2
2023-07-17,58.62,SELL,2023,X,2
2023-07-13,59.55,BUY,2023,X,1
2023-07-10,58.71,SELL,2023,X,1
2023-06-30,54.03,BUY,2023,Y,0
2023-06-15,54.05,SELL,2023,Y,0
2023-05-31,54.57,BUY,2023,X,1
2023-05-23,56.65,SELL,2023,Y,0
2023-05-18,56.17,BUY,2023,Y,0
2023-05-12,55.07,SHORT,2023,X,1
2023-05-05,54.21,BUY,2023,Y,0
2023-04-19,56.47,SELL,2023,Y,0
2023-03-29,51.47,BUY,2023,Y,0
2023-02-21,68.87,SHORT,2023,Y,0
2023-02-10,75.43,BUY,2023,X,1
2023-02-03,76.37,SELL,2023,Y,0
2022-12-27,67.14,BUY,2022,Y,0
2022-12-21,67.74,SHORT,2022,Y,0
2022-12-09,70.02,BUY,2022,X,1
2022-12-05,72.87,SELL,2022,Y,0
2022-11-29,66.16,BUY,2022,Y,0
2022-11-15,64.31,SHORT,2022,X,1
2022-11-08,62.43,BUY,2022,Y,0
2022-10-31,83.83,SELL,2022,Y,0
2022-10-21,76.49,BUY,2022,Y,0
2022-10-10,76.89,SHORT,2022,Y,0
2022-10-04,78.12,BUY,2022,X,3
2022-09-14,88.59,SHORT,2022,Y,0
2022-09-09,91.19,BUY,2022,X,2
2022-08-30,93.46,SHORT,2022,Y,0
2022-08-25,95.56,BUY,2022,X,1
