Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,35.27,SELL,2024,,0
2024-07-23,34.55,BUY,2024,Y,0
2024-07-19,34.36,SELL,2024,X,1
2024-06-18,31.21,BUY,2024,Y,0
2024-06-06,31.98,SELL,2024,Y,0
2024-05-20,30.58,BUY,2024,Y,0
2024-05-16,30.47,SELL,2024,X,3
2024-05-14,30.96,BUY,2024,X,1
2024-05-07,29.85,SELL,2024,X,2
2024-05-02,29.11,BUY,2024,Y,0
2024-04-26,29.03,SELL,2024,X,1
2024-04-16,27.95,BUY,2024,Y,0
2024-04-12,28.02,SELL,2024,Y,0
2024-04-09,28.8,BUY,2024,X,1
2024-04-01,28.59,SELL,2024,X,2
2024-03-26,27.71,BUY,2024,Y,0
2024-03-22,27.42,SELL,2024,X,1
2024-03-18,27.0,BUY,2024,Y,0
2024-03-14,26.71,SHORT,2024,X,1
2024-03-08,26.28,BUY,2024,Y,0
2024-02-27,27.11,SHORT,2024,Y,0
2024-02-23,27.68,BUY,2024,X,1
2024-02-20,27.71,SHORT,2024,Y,0
2024-02-12,27.59,BUY,2024,Y,0
2024-02-02,29.59,SELL,2024,Y,0
2024-01-02,27.95,BUY,2024,Y,0
2023-12-18,27.63,SHORT,2023,X,5
2023-12-14,28.0,BUY,2023,X,4
2023-12-12,27.49,SHORT,2023,X,4
2023-12-08,27.57,BUY,2023,X,3
2023-12-05,27.89,SELL,2023,Y,0
2023-12-01,27.91,BUY,2023,X,2
2023-11-27,28.24,SELL,2023,Y,0
2023-11-15,28.45,BUY,2023,X,1
2023-11-07,28.7,SELL,2023,Y,0
2023-10-31,27.41,BUY,2023,Y,0
2023-10-19,28.8,SELL,2023,Y,0
2023-10-09,28.26,BUY,2023,Y,0
2023-10-05,27.98,SHORT,2023,X,3
2023-09-28,28.76,BUY,2023,X,2
2023-09-25,28.76,SHORT,2023,X,2
2023-09-21,29.54,BUY,2023,X,1
2023-09-18,29.17,SHORT,2023,X,1
2023-09-11,29.03,BUY,2023,Y,0
2023-09-01,30.38,SHORT,2023,Y,0
2023-08-30,30.88,BUY,2023,X,4
2023-08-17,31.31,SELL,2023,Y,0
2023-08-08,32.8,BUY,2023,X,3
2023-08-03,31.09,SHORT,2023,X,1
2023-07-26,31.17,BUY,2023,X,2
2023-07-21,31.48,SHORT,2023,Y,0
2023-07-18,31.53,BUY,2023,X,1
2023-07-11,31.7,SELL,2023,Y,0
2023-05-23,28.98,BUY,2023,Y,0
2023-05-09,29.13,SHORT,2023,Y,0
2023-04-27,29.97,BUY,2023,X,2
2023-04-14,30.87,SELL,2023,Y,0
2023-04-11,31.33,BUY,2023,X,1
2023-04-06,30.74,SHORT,2023,X,2
2023-03-20,30.7,BUY,2023,Y,0
2023-02-21,33.58,SELL,2023,Y,0
2023-02-10,33.2,BUY,2023,Y,0
2023-02-06,31.97,SELL,2023,X,1
2023-01-23,29.88,BUY,2023,Y,0
2023-01-17,29.9,SELL,2023,Y,0
2023-01-04,28.71,BUY,2023,Y,0
2022-12-28,28.52,SHORT,2022,X,1
2022-12-21,28.35,BUY,2022,Y,0
2022-12-19,28.43,SHORT,2022,Y,0
2022-12-09,29.41,BUY,2022,X,1
2022-12-06,30.01,SELL,2022,Y,0
2022-11-23,29.25,BUY,2022,Y,0
2022-11-21,28.85,SELL,2022,X,1
2022-11-11,28.04,BUY,2022,Y,0
2022-11-04,28.04,SHORT,2022,X,2
2022-11-01,28.22,BUY,2022,X,2
2022-10-26,27.26,SHORT,2022,X,1
2022-10-19,27.66,BUY,2022,X,1
2022-10-06,29.11,SHORT,2022,Y,0
2022-10-03,29.0,BUY,2022,Y,0
2022-09-14,31.03,SHORT,2022,Y,0
2022-09-12,32.3,BUY,2022,Y,0
