Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,81.07,BUY,2024,,0
2024-07-18,81.15,SELL,2024,Y,0
2024-07-10,77.3,BUY,2024,Y,0
2024-07-01,77.54,SELL,2024,Y,0
2024-06-13,76.34,BUY,2024,Y,0
2024-05-28,78.98,SHORT,2024,Y,0
2024-05-21,81.94,BUY,2024,X,1
2024-05-14,80.52,SHORT,2024,X,2
2024-05-03,79.02,BUY,2024,Y,0
2024-04-30,80.6,SELL,2024,Y,0
2024-04-23,86.24,BUY,2024,X,3
2024-04-15,86.13,SHORT,2024,X,1
2024-04-11,86.9,BUY,2024,X,2
2024-04-02,88.41,SHORT,2024,Y,0
2024-03-27,90.31,BUY,2024,X,1
2024-03-12,91.82,SELL,2024,Y,0
2024-02-06,77.12,BUY,2024,Y,0
2024-01-31,73.36,SHORT,2024,X,1
2024-01-26,73.15,BUY,2024,Y,0
2024-01-23,74.01,SHORT,2024,Y,0
2024-01-19,73.89,BUY,2024,Y,0
2024-01-16,74.97,SHORT,2024,Y,0
2023-12-22,77.58,BUY,2023,X,1
2023-12-15,75.01,SELL,2023,X,1
2023-12-08,68.52,BUY,2023,Y,0
2023-12-05,68.52,SHORT,2023,X,2
2023-12-01,68.82,BUY,2023,X,1
2023-11-27,71.14,SELL,2023,Y,0
2023-11-01,67.11,BUY,2023,Y,0
2023-10-26,63.91,SHORT,2023,X,1
2023-10-24,64.37,BUY,2023,X,1
2023-10-02,67.84,SHORT,2023,Y,0
2023-09-15,66.43,BUY,2023,Y,0
2023-09-05,68.75,SHORT,2023,Y,0
2023-08-28,69.31,BUY,2023,X,2
2023-08-04,75.9,SHORT,2023,Y,0
2023-07-31,78.0,BUY,2023,X,1
2023-07-24,81.27,SELL,2023,Y,0
2023-06-29,77.97,BUY,2023,Y,0
2023-06-26,78.17,SELL,2023,Y,0
2023-06-14,78.53,BUY,2023,X,5
2023-06-09,77.63,SELL,2023,X,4
2023-06-01,79.83,BUY,2023,X,4
2023-05-30,77.96,SELL,2023,X,3
2023-05-25,79.47,BUY,2023,X,3
2023-05-24,76.53,SHORT,2023,X,2
2023-05-17,79.48,BUY,2023,X,2
2023-05-10,76.01,SHORT,2023,X,1
2023-05-08,79.42,BUY,2023,X,1
2023-04-25,82.92,SHORT,2023,Y,0
2023-04-17,82.72,BUY,2023,Y,0
2023-04-06,80.43,SELL,2023,X,2
2023-03-24,76.35,BUY,2023,Y,0
2023-03-20,75.2,SELL,2023,X,1
2023-03-14,77.14,BUY,2023,Y,0
