Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,25.64,BUY,2024,,0
2024-07-19,25.48,SELL,2024,X,4
2024-07-11,24.75,BUY,2024,Y,0
2024-07-03,24.75,SELL,2024,X,3
2024-06-21,23.88,BUY,2024,Y,0
2024-06-11,24.36,SHORT,2024,Y,0
2024-06-05,24.99,BUY,2024,X,1
2024-05-20,24.93,SELL,2024,X,2
2024-05-08,20.02,BUY,2024,Y,0
2024-05-01,20.12,SHORT,2024,Y,0
2024-04-23,20.68,BUY,2024,X,2
2024-04-15,21.01,SHORT,2024,Y,0
2024-04-08,22.27,BUY,2024,X,1
2024-03-25,21.92,SELL,2024,X,1
2024-03-20,21.51,BUY,2024,Y,0
2024-03-14,21.94,SELL,2024,Y,0
2024-03-07,21.76,BUY,2024,Y,0
2024-02-26,21.61,SELL,2024,X,1
2024-02-20,21.49,BUY,2024,Y,0
2024-02-14,21.32,SHORT,2024,X,1
2024-02-09,21.09,BUY,2024,Y,0
2024-01-31,23.87,SELL,2024,Y,0
2024-01-05,22.4,BUY,2024,Y,0
2023-12-28,22.98,SELL,2023,Y,0
2023-12-26,23.22,BUY,2023,X,1
2023-12-20,22.99,SELL,2023,X,3
2023-12-12,22.36,BUY,2023,Y,0
2023-12-06,22.16,SELL,2023,X,2
2023-11-15,19.73,BUY,2023,Y,0
2023-11-13,18.92,SELL,2023,X,1
2023-11-02,16.79,BUY,2023,Y,0
2023-10-19,17.47,SHORT,2023,Y,0
2023-10-10,17.42,BUY,2023,Y,0
2023-08-31,20.25,SELL,2023,Y,0
2023-08-29,20.51,BUY,2023,X,2
2023-08-24,20.45,SHORT,2023,X,1
2023-08-21,20.49,BUY,2023,X,1
2023-08-16,20.58,SELL,2023,Y,0
2023-08-04,19.55,BUY,2023,Y,0
2023-07-28,19.48,SELL,2023,X,2
2023-07-21,19.26,BUY,2023,Y,0
2023-07-17,18.87,SELL,2023,X,1
2023-07-10,18.15,BUY,2023,Y,0
2023-07-05,18.19,SHORT,2023,Y,0
2023-06-27,18.13,BUY,2023,Y,0
2023-06-21,18.28,SELL,2023,Y,0
2023-06-12,18.02,BUY,2023,Y,0
2023-06-07,17.77,SELL,2023,X,1
2023-05-18,16.1,BUY,2023,Y,0
2023-05-12,16.85,SHORT,2023,Y,0
2023-05-10,17.2,BUY,2023,X,1
2023-05-02,17.46,SELL,2023,Y,0
2023-03-31,16.86,BUY,2023,Y,0
2023-03-23,16.37,SHORT,2023,X,1
2023-03-20,16.49,BUY,2023,X,1
2023-02-03,23.02,SELL,2023,Y,0
2022-12-30,21.33,BUY,2022,Y,0
2022-12-16,21.74,SHORT,2022,Y,0
2022-12-12,22.98,BUY,2022,X,1
2022-12-06,23.51,SELL,2022,Y,0
2022-11-18,22.62,BUY,2022,Y,0
2022-11-15,22.61,SELL,2022,X,5
2022-11-09,22.35,BUY,2022,Y,0
2022-11-03,21.94,SELL,2022,X,4
2022-11-01,22.74,BUY,2022,X,1
2022-10-27,22.05,SELL,2022,X,3
2022-10-19,21.48,BUY,2022,Y,0
2022-10-14,20.78,SELL,2022,X,2
2022-10-11,20.92,BUY,2022,X,5
2022-10-07,20.77,SHORT,2022,X,2
2022-10-04,20.85,BUY,2022,X,4
2022-09-30,20.29,SHORT,2022,X,1
2022-09-28,20.68,BUY,2022,X,3
2022-09-13,22.33,SHORT,2022,Y,0
2022-09-07,22.86,BUY,2022,X,2
2022-08-18,23.77,SHORT,2022,Y,0
2022-08-16,24.21,BUY,2022,X,1
2022-08-11,24.05,SELL,2022,X,1
2022-08-09,24.29,BUY,2022,Y,0
