Date,Price,Signal,Year,Strike,StrikeCount
2024-07-18,44.99,SELL,2024,,0
2024-07-08,41.04,BUY,2024,Y,0
2024-07-01,38.66,SELL,2024,X,3
2024-06-18,39.14,BUY,2024,X,2
2024-06-14,37.25,SELL,2024,X,2
2024-06-13,37.66,BUY,2024,X,1
2024-06-07,37.07,SELL,2024,X,1
2024-04-19,31.27,BUY,2024,Y,0
2024-03-25,32.47,SHORT,2024,Y,0
2024-03-20,32.67,BUY,2024,X,2
2024-03-13,32.73,SELL,2024,Y,0
2024-03-06,32.81,BUY,2024,X,1
2024-02-26,32.51,SELL,2024,X,1
2024-02-09,31.88,BUY,2024,Y,0
2024-02-01,32.23,SELL,2024,Y,0
2024-01-25,30.71,BUY,2024,Y,0
2024-01-16,30.22,SHORT,2024,X,1
2023-12-26,30.29,BUY,2023,X,1
2023-12-18,30.1,SELL,2023,X,3
2023-12-08,29.11,BUY,2023,Y,0
2023-12-05,28.61,SELL,2023,X,2
2023-11-13,27.72,BUY,2023,Y,0
2023-11-06,27.72,SELL,2023,X,1
2023-11-02,26.93,BUY,2023,Y,0
2023-09-21,31.27,SHORT,2023,Y,0
2023-09-14,31.48,BUY,2023,X,1
2023-09-05,32.42,SELL,2023,Y,0
2023-08-25,32.37,BUY,2023,Y,0
2023-08-22,31.96,SHORT,2023,X,1
2023-08-17,32.03,BUY,2023,X,3
2023-07-28,33.76,SHORT,2023,Y,0
2023-07-25,33.83,BUY,2023,X,2
2023-07-19,33.6,SHORT,2023,X,2
2023-06-27,34.58,BUY,2023,X,1
2023-06-21,34.62,SELL,2023,Y,0
2023-06-02,31.34,BUY,2023,Y,0
2023-05-23,31.2,SHORT,2023,X,1
2023-05-15,31.2,BUY,2023,X,2
2023-05-02,32.68,SHORT,2023,Y,0
2023-04-28,32.87,BUY,2023,X,1
2023-04-03,35.0,SELL,2023,Y,0
2023-03-28,33.48,BUY,2023,Y,0
2023-03-23,32.66,SHORT,2023,X,1
2023-03-21,33.67,BUY,2023,X,1
2023-03-07,35.23,SELL,2023,Y,0
2023-03-02,34.46,BUY,2023,Y,0
2023-02-21,34.96,SHORT,2023,Y,0
2023-02-10,35.25,BUY,2023,X,2
2023-01-31,36.25,SELL,2023,Y,0
2023-01-26,36.4,BUY,2023,X,1
2023-01-13,36.2,SELL,2023,X,1
2022-12-27,31.9,BUY,2022,Y,0
2022-12-16,32.3,SHORT,2022,Y,0
2022-11-30,33.58,BUY,2022,X,2
2022-11-16,33.86,SELL,2022,Y,0
2022-11-11,34.3,BUY,2022,X,1
2022-11-09,32.66,SELL,2022,X,1
2022-10-19,31.38,BUY,2022,Y,0
2022-10-07,30.88,SHORT,2022,X,1
2022-10-04,30.69,BUY,2022,Y,0
2022-09-15,32.66,SHORT,2022,Y,0
2022-09-08,33.11,BUY,2022,X,2
2022-08-31,34.54,SHORT,2022,Y,0
2022-08-25,35.38,BUY,2022,X,1
2022-08-15,37.18,SELL,2022,Y,0
2022-08-10,36.23,BUY,2022,Y,0
