Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,169.53,BUY,2024,,0
2024-07-17,182.3,SHORT,2024,Y,0
2024-07-15,186.0,BUY,2024,X,1
2024-07-11,187.54,SELL,2024,Y,0
2024-06-11,176.62,BUY,2024,Y,0
2024-05-30,174.56,SHORT,2024,X,1
2024-05-28,175.94,BUY,2024,X,1
2024-05-23,175.55,SELL,2024,X,1
2024-04-18,156.01,BUY,2024,Y,0
2024-04-15,157.16,SELL,2024,Y,0
2024-04-08,153.33,BUY,2024,Y,0
2024-04-04,152.53,SELL,2024,X,1
2024-03-08,134.87,BUY,2024,Y,0
2024-02-14,145.94,SELL,2024,Y,0
2024-02-02,142.37,BUY,2024,Y,0
2024-01-31,143.07,SHORT,2024,Y,0
2024-01-09,139.34,BUY,2024,Y,0
2023-12-28,140.23,SELL,2023,Y,0
2023-12-05,130.34,BUY,2023,Y,0
2023-11-29,136.2,SELL,2023,Y,0
2023-11-13,132.09,BUY,2023,Y,0
2023-11-09,130.24,SELL,2023,X,6
2023-11-01,124.9,BUY,2023,Y,0
2023-10-26,122.82,SHORT,2023,X,1
2023-10-24,138.32,BUY,2023,X,2
2023-10-19,137.75,SELL,2023,X,5
2023-10-17,139.6,BUY,2023,X,1
2023-10-13,138.47,SELL,2023,X,4
2023-09-28,131.0,BUY,2023,Y,0
2023-09-20,136.92,SHORT,2023,Y,0
2023-09-14,138.1,BUY,2023,X,1
2023-09-12,135.77,SELL,2023,X,3
2023-09-08,135.74,BUY,2023,Y,0
2023-09-01,135.66,SELL,2023,X,2
2023-08-22,129.08,BUY,2023,Y,0
2023-08-18,128.05,SHORT,2023,X,2
2023-08-14,130.02,BUY,2023,X,1
2023-08-02,128.99,SELL,2023,X,1
2023-07-25,121.79,BUY,2023,Y,0
2023-07-18,124.16,SELL,2023,Y,0
2023-07-14,125.24,BUY,2023,X,1
2023-07-07,119.68,SHORT,2023,X,1
2023-06-28,118.75,BUY,2023,Y,0
2023-06-08,122.14,SHORT,2023,Y,0
2023-06-01,123.7,BUY,2023,X,1
2023-05-23,122.56,SELL,2023,X,4
2023-05-08,105.94,BUY,2023,Y,0
2023-05-02,105.64,SELL,2023,X,3
2023-04-27,105.65,BUY,2023,X,3
2023-04-26,103.71,SELL,2023,X,2
2023-04-24,105.97,BUY,2023,X,2
2023-04-18,104.5,SHORT,2023,X,2
2023-04-13,106.21,BUY,2023,X,1
2023-04-05,104.47,SELL,2023,X,1
2023-03-31,101.65,BUY,2023,Y,0
2023-03-27,102.72,SELL,2023,Y,0
2023-03-16,96.54,BUY,2023,Y,0
2023-03-09,93.53,SHORT,2023,X,1
2023-03-01,90.36,BUY,2023,Y,0
2023-02-17,94.52,SHORT,2023,Y,0
2023-02-15,95.01,BUY,2023,X,1
2023-02-09,99.02,SELL,2023,Y,0
2023-01-20,95.42,BUY,2023,Y,0
2023-01-18,91.12,SELL,2023,X,1
2023-01-10,87.65,BUY,2023,Y,0
2022-12-27,87.9,SHORT,2022,Y,0
2022-12-21,89.58,BUY,2022,X,3
2022-12-06,98.95,SELL,2022,Y,0
2022-12-02,99.4,BUY,2022,X,2
2022-11-28,96.7,SELL,2022,X,1
2022-11-23,97.43,BUY,2022,X,1
2022-11-21,96.95,SHORT,2022,X,4
2022-11-11,95.01,BUY,2022,Y,0
2022-11-09,88.14,SHORT,2022,X,3
2022-11-07,87.58,BUY,2022,Y,0
2022-10-27,94.19,SELL,2022,Y,0
2022-10-21,100.32,BUY,2022,X,1
2022-10-07,99.5,SHORT,2022,X,2
2022-10-03,98.64,BUY,2022,Y,0
2022-09-30,96.72,SHORT,2022,X,1
2022-09-28,98.79,BUY,2022,X,3
2022-09-21,100.79,SHORT,2022,Y,0
2022-09-19,103.07,BUY,2022,X,2
2022-09-13,107.42,SHORT,2022,Y,0
2022-09-09,109.82,BUY,2022,X,1
2022-08-29,109.61,SHORT,2022,X,1
2022-08-25,114.82,BUY,2022,Y,0
