Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,174.88,SHORT,2024,,0
2024-07-24,172.84,BUY,2024,Y,0
2024-07-18,171.82,SELL,2024,X,2
2024-06-18,160.72,BUY,2024,Y,0
2024-06-14,160.0,SHORT,2024,X,6
2024-06-12,163.6,BUY,2024,X,2
2024-05-28,162.4,SHORT,2024,X,5
2024-05-14,169.91,BUY,2024,X,1
2024-05-10,168.93,SELL,2024,X,1
2024-04-23,141.47,BUY,2024,Y,0
2024-04-10,146.35,SELL,2024,Y,0
2024-04-05,147.53,BUY,2024,X,2
2024-04-04,146.05,SHORT,2024,X,4
2024-03-27,147.98,BUY,2024,X,1
2024-03-25,146.68,SELL,2024,X,3
2024-03-01,137.43,BUY,2024,Y,0
2024-02-27,134.69,SELL,2024,X,2
2024-02-15,123.37,BUY,2024,Y,0
2024-02-13,121.12,SELL,2024,X,1
2024-02-06,121.4,BUY,2024,X,1
2024-01-24,125.97,SELL,2024,Y,0
2024-01-18,124.28,BUY,2024,Y,0
2024-01-03,125.14,SELL,2024,Y,0
2023-10-31,101.82,BUY,2023,Y,0
2023-10-13,106.99,SELL,2023,Y,0
2023-10-11,108.43,BUY,2023,X,2
2023-10-02,104.31,SELL,2023,X,1
2023-09-28,104.43,BUY,2023,X,1
2023-09-21,106.09,SELL,2023,Y,0
2023-09-11,103.3,BUY,2023,Y,0
2023-09-05,105.0,SELL,2023,Y,0
2023-08-28,103.96,BUY,2023,Y,0
2023-08-04,106.13,SELL,2023,Y,0
2023-08-01,106.23,BUY,2023,X,2
2023-07-27,105.31,SHORT,2023,X,3
2023-07-25,106.26,BUY,2023,X,1
2023-07-20,106.62,SELL,2023,Y,0
2023-06-27,102.81,BUY,2023,Y,0
2023-06-16,106.0,SELL,2023,Y,0
2023-06-12,106.27,BUY,2023,X,3
2023-06-06,105.43,SELL,2023,X,4
2023-06-02,105.55,BUY,2023,X,2
2023-05-24,103.11,SELL,2023,X,3
2023-05-18,104.26,BUY,2023,X,1
2023-05-11,103.56,SELL,2023,X,2
2023-05-04,100.56,BUY,2023,Y,0
2023-05-02,97.62,SELL,2023,X,1
2023-04-28,97.25,BUY,2023,Y,0
2023-04-19,98.15,SELL,2023,Y,0
2023-04-10,98.26,BUY,2023,X,1
2023-04-04,100.08,SELL,2023,Y,0
2023-03-28,96.74,BUY,2023,Y,0
2023-03-07,98.28,SELL,2023,Y,0
2023-03-03,99.15,BUY,2023,X,4
2023-03-01,97.46,SELL,2023,X,2
2023-02-23,99.19,BUY,2023,X,3
2023-02-21,95.59,SHORT,2023,X,2
2023-02-15,98.06,BUY,2023,X,2
2023-02-08,97.37,SHORT,2023,X,1
2023-02-01,99.14,BUY,2023,X,1
2023-01-30,97.37,SELL,2023,X,1
2023-01-23,97.16,BUY,2023,Y,0
2023-01-12,98.15,SELL,2023,Y,0
2022-12-21,91.55,BUY,2022,Y,0
2022-12-15,94.35,SHORT,2022,Y,0
2022-11-25,91.08,BUY,2022,Y,0
2022-11-16,90.99,SELL,2022,X,2
2022-11-10,89.37,BUY,2022,Y,0
2022-11-02,86.81,SELL,2022,X,1
2022-10-25,83.1,BUY,2022,Y,0
2022-10-20,80.94,SHORT,2022,X,2
2022-10-17,81.21,BUY,2022,X,4
2022-10-07,81.05,SHORT,2022,X,1
2022-10-05,82.63,BUY,2022,X,3
2022-09-13,88.97,SELL,2022,Y,0
2022-09-07,89.67,BUY,2022,X,2
2022-08-29,90.57,SHORT,2022,Y,0
2022-08-25,94.62,BUY,2022,X,1
2022-08-19,98.15,SHORT,2022,Y,0
2022-08-08,98.55,BUY,2022,Y,0
